,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MTD,MTD_6m,MTD_12m,MTD_6m_ret,MTD_12m_ret
0,0,0,0,2019-02-05,652.8400268554688,,,,
1,1,1,1,2019-02-06,655.1500244140625,,,,
2,2,2,2,2019-02-07,648.1300048828125,,,,
3,3,3,3,2019-02-08,662.2999877929688,,,,
4,4,4,4,2019-02-11,662.489990234375,,,,
5,5,5,5,2019-02-12,672.489990234375,,,,
6,6,6,6,2019-02-13,668.6099853515625,652.8400268554688,,0.02415593077534295,
7,7,7,7,2019-02-14,662.9099731445312,655.1500244140625,,0.011844537039296998,
8,8,8,8,2019-02-15,668.8599853515625,648.1300048828125,,0.03198429375677203,
9,9,9,9,2019-02-19,671.8599853515625,662.2999877929688,,0.014434542857914234,
10,10,10,10,2019-02-20,673.0499877929688,662.489990234375,,0.015939859792987843,
11,11,11,11,2019-02-21,674.2100219726562,672.489990234375,,0.002557706082259692,
12,12,12,12,2019-02-22,678.8300170898438,668.6099853515625,652.8400268554688,0.015285490737783958,0.03981065676925599
13,13,13,13,2019-02-25,689.969970703125,662.9099731445312,655.1500244140625,0.040820018788122914,0.0531480500519006
14,14,14,14,2019-02-26,676.97998046875,668.8599853515625,648.1300048828125,0.012140052170888316,0.04451263692251661
15,15,15,15,2019-02-27,686.0,671.8599853515625,662.2999877929688,0.021046073522355213,0.03578440683051887
16,16,16,16,2019-02-28,680.9099731445312,673.0499877929688,662.489990234375,0.011678159860512904,0.027804167884317277
17,17,17,17,2019-03-01,698.760009765625,674.2100219726562,672.489990234375,0.03641296775912428,0.03906380751049454
18,18,18,18,2019-03-04,689.1900024414062,678.8300170898438,668.6099853515625,0.015261531002968898,0.030780301731543114
19,19,19,19,2019-03-05,693.4099731445312,689.969970703125,662.9099731445312,0.004985727767109482,0.04600926405635808
20,20,20,20,2019-03-06,681.9400024414062,676.97998046875,668.8599853515625,0.007326689290312327,0.01955568785142492
21,21,21,21,2019-03-07,683.8400268554688,686.0,671.8599853515625,-0.0031486488987335637,0.017831157927402863
22,22,22,22,2019-03-08,680.9500122070312,680.9099731445312,673.0499877929688,5.880228529342446e-05,0.011737648848294091
23,23,23,23,2019-03-11,688.9299926757812,698.760009765625,674.2100219726562,-0.014067801466115526,0.021832915891781157
24,24,24,24,2019-03-12,691.47998046875,689.1900024414062,678.8300170898438,0.003322709295305648,0.018634949929198674
25,25,25,25,2019-03-13,689.9500122070312,693.4099731445312,689.969970703125,-0.004989776714357741,-2.8926615564750513e-05
26,26,26,26,2019-03-14,698.6799926757812,681.9400024414062,676.97998046875,0.024547599751362892,0.03205414167787635
27,27,27,27,2019-03-15,708.5800170898438,683.8400268554688,686.0,0.03617803764447358,0.032915476807352295
28,28,28,28,2019-03-18,706.8400268554688,680.9500122070312,680.9099731445312,0.03802043348897999,0.038081471462650285
29,29,29,29,2019-03-19,715.739990234375,688.9299926757812,698.760009765625,0.03891541643362717,0.024300160615152278
30,30,30,30,2019-03-20,712.8800048828125,691.47998046875,689.1900024414062,0.03094814747862329,0.03437368847122868
31,31,31,31,2019-03-21,729.719970703125,689.9500122070312,693.4099731445312,0.0576417969308769,0.052364400520419796
32,32,32,32,2019-03-22,702.0700073242188,698.6799926757812,681.9400024414062,0.004852027657832991,0.029518733042122935
