,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HD,HD_6m,HD_12m,HD_6m_ret,HD_12m_ret
0,0,0,0,2019-02-05,164.7914276123047,,,,
1,1,1,1,2019-02-06,163.31494140625,,,,
2,2,2,2,2019-02-07,162.74024963378906,,,,
3,3,3,3,2019-02-08,163.15577697753906,,,,
4,4,4,4,2019-02-11,161.7235107421875,,,,
5,5,5,5,2019-02-12,164.0222625732422,,,,
6,6,6,6,2019-02-13,166.57737731933594,164.7914276123047,,0.010837637205455497,
7,7,7,7,2019-02-14,165.95846557617188,163.31494140625,,0.016186664533932804,
8,8,8,8,2019-02-15,170.09616088867188,162.74024963378906,,0.04520031935206981,
9,9,9,9,2019-02-19,170.04312133789062,163.15577697753906,,0.04221330367786913,
10,10,10,10,2019-02-20,169.6187286376953,161.7235107421875,,0.04881923388426812,
11,11,11,11,2019-02-21,169.59217834472656,164.0222625732422,,0.03395829129595862,
12,12,12,12,2019-02-22,170.09616088867188,166.57737731933594,164.7914276123047,0.021124018314865545,0.03219058996713908
13,13,13,13,2019-02-25,167.9654083251953,165.95846557617188,163.31494140625,0.01209304232872821,0.028475452882031016
14,14,14,14,2019-02-26,166.4801025390625,170.09616088867188,162.74024963378906,-0.021258906319326587,0.022980503678033948
15,15,15,15,2019-02-27,162.3865966796875,170.04312133789062,163.15577697753906,-0.045026959032285374,-0.004714392049736893
16,16,16,16,2019-02-28,163.68626403808594,169.6187286376953,161.7235107421875,-0.03497529221717666,0.012136474696170518
17,17,17,17,2019-03-01,163.7127685546875,169.59217834472656,164.0222625732422,-0.034667930133476466,-0.0018869025076183599
18,18,18,18,2019-03-04,162.5103759765625,170.09616088867188,166.57737731933594,-0.044597037772500236,-0.024415088100329663
19,19,19,19,2019-03-05,162.67837524414062,167.9654083251953,165.95846557617188,-0.031476916192282545,-0.019764525543445433
20,20,20,20,2019-03-06,163.07623291015625,166.4801025390625,170.09616088867188,-0.020446104831702505,-0.04127034932381679
21,21,21,21,2019-03-07,161.3610382080078,162.3865966796875,170.04312133789062,-0.006315536458360693,-0.05105812608926852
22,22,22,22,2019-03-08,160.22935485839844,163.68626403808594,169.6187286376953,-0.021119115889181472,-0.055355760856765523
23,23,23,23,2019-03-11,161.2991485595703,163.7127685546875,169.59217834472656,-0.01474301617659668,-0.048899836455306156
24,24,24,24,2019-03-12,162.67837524414062,162.5103759765625,170.09616088867188,0.0010337756378235863,-0.04360936546584493
