,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,RL,RL_6m,RL_12m,RL_6m_ret,RL_12m_ret
0,0,0,0,2019-02-05,111.66310119628906,,,,
1,1,1,1,2019-02-06,113.38985443115234,,,,
2,2,2,2,2019-02-07,112.86824035644533,,,,
3,3,3,3,2019-02-08,112.445556640625,,,,
4,4,4,4,2019-02-11,112.95819091796876,,,,
5,5,5,5,2019-02-12,113.9114761352539,,,,
6,6,6,6,2019-02-13,110.83570098876952,111.66310119628906,,-0.007409790688735041,
7,7,7,7,2019-02-14,110.4310302734375,113.38985443115234,,-0.026094258366928025,
8,8,8,8,2019-02-15,112.49949645996094,112.86824035644533,,-0.0032670297270505078,
9,9,9,9,2019-02-19,112.8232879638672,112.445556640625,,0.003359237434783058,
10,10,10,10,2019-02-20,112.7153549194336,112.95819091796876,,-0.002149786541035481,
11,11,11,11,2019-02-21,113.53376770019533,113.9114761352539,,-0.0033158066937004627,
12,12,12,12,2019-02-22,114.3251953125,110.83570098876952,111.66310119628906,0.03148348675201729,0.02384041001629833
13,13,13,13,2019-02-25,114.3521728515625,110.4310302734375,113.38985443115234,0.03550761564404392,0.008486812380506636
14,14,14,14,2019-02-26,113.77658081054688,112.49949645996094,112.86824035644533,0.011351911704248874,0.008047794944201714
15,15,15,15,2019-02-27,114.4241180419922,112.8232879638672,112.445556640625,0.014188826677677513,0.017595727750191692
16,16,16,16,2019-02-28,112.57146453857422,112.7153549194336,112.95819091796876,-0.001276581890393036,-0.0034236240528621176
17,17,17,17,2019-03-01,114.1902847290039,113.53376770019533,113.9114761352539,0.005782570614076832,0.0024475900340275025
18,18,18,18,2019-03-04,112.79630279541016,114.3251953125,110.83570098876952,-0.013373189636026628,0.017689262477252665
19,19,19,19,2019-03-05,112.3016586303711,114.3521728515625,110.4310302734375,-0.017931572003035967,0.016939336274430783
20,20,20,20,2019-03-06,111.60015869140624,113.77658081054688,112.49949645996094,-0.01912891127186067,-0.007994149279368368
21,21,21,21,2019-03-07,110.93464660644533,114.4241180419922,112.8232879638672,-0.03049594347116824,-0.016739818449775457
22,22,22,22,2019-03-08,109.77447509765624,112.57146453857422,112.7153549194336,-0.024846344963021738,-0.0260912084593925
23,23,23,23,2019-03-11,111.03355407714844,114.1902847290039,113.53376770019533,-0.02764447658000868,-0.022021762103844877
24,24,24,24,2019-03-12,110.48497009277344,112.79630279541016,114.3251953125,-0.020491209776875463,-0.033590366578684416
25,25,25,25,2019-03-13,109.43273162841795,112.3016586303711,114.3521728515625,-0.025546612907970556,-0.043020093982213514
26,26,26,26,2019-03-14,109.29783630371094,111.60015869140624,113.77658081054688,-0.02063009958670059,-0.039364379514037595
27,27,27,27,2019-03-15,108.62332916259766,110.93464660644533,114.4241180419922,-0.020834946651494435,-0.05069550876735385
28,28,28,28,2019-03-18,111.70806884765624,109.77447509765624,112.57146453857422,0.017614238175858832,-0.0076697562251411
29,29,29,29,2019-03-19,112.24768829345705,111.03355407714844,114.1902847290039,0.010934840611019236,-0.017011923914166838
30,30,30,30,2019-03-20,110.39502716064452,110.48497009277344,112.79630279541016,-0.0008140739147903808,-0.021288602332304007
31,31,31,31,2019-03-21,112.09480285644533,109.43273162841795,112.3016586303711,0.02432609684885234,-0.0018419654388774909
32,32,32,32,2019-03-22,108.12867736816406,109.29783630371094,111.60015869140624,-0.010696999822559006,-0.031106419237641236
33,33,33,33,2019-03-25,110.25113677978516,108.62332916259766,110.93464660644533,0.014985801206210958,-0.0061613738139447705
34,34,34,34,2019-03-26,109.9633560180664,111.70806884765624,109.77447509765624,-0.015618503189498423,0.0017206269512302086
35,35,35,35,2019-03-27,112.7243423461914,112.24768829345705,111.03355407714844,0.004246448724077201,0.015227723575057084
36,36,36,36,2019-03-28,116.95890808105467,110.39502716064452,110.48497009277344,0.0594581213414489,0.058595644121052004
37,37,37,37,2019-03-29,117.21198272705078,112.09480285644533,109.43273162841795,0.04565046496543457,0.0710870594462314
38,38,38,38,2019-04-01,116.58834075927734,108.12867736816406,109.29783630371094,0.07823700055360172,0.06670309955000331
39,39,39,39,2019-04-02,115.05177307128906,110.25113677978516,108.62332916259766,0.04354273735147651,0.05918106136361101
40,40,40,40,2019-04-03,115.0789031982422,109.9633560180664,111.70806884765624,0.04652047159542261,0.030175388271934
41,41,41,41,2019-04-04,116.02793884277344,112.7243423461914,112.24768829345705,0.029306859794632878,0.03367775859609168
42,42,42,42,2019-04-05,115.32292938232422,116.95890808105467,110.39502716064452,-0.013987636560326755,0.04463880618923821
43,43,43,43,2019-04-08,115.15119934082033,117.21198272705078,112.09480285644533,-0.01758167841106617,0.02726617476003046
44,44,44,44,2019-04-09,113.8406219482422,116.58834075927734,108.12867736816406,-0.02356769804888481,0.052825436499419176
45,45,45,45,2019-04-10,114.30157470703124,115.05177307128906,110.25113677978516,-0.006520528491055777,0.036738287200941855
46,46,46,46,2019-04-11,114.39196014404295,115.0789031982422,109.9633560180664,-0.005969322222474371,0.04027345368805357
