,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CSX,CSX_6m,CSX_12m,CSX_6m_ret,CSX_12m_ret
0,0,0,0,2019-02-05,21.333850860595703,,,,
1,1,1,1,2019-02-06,21.27760124206543,,,,
2,2,2,2,2019-02-07,21.31510353088379,,,,
3,3,3,3,2019-02-08,21.483848571777344,,,,
4,4,4,4,2019-02-11,21.627592086791992,,,,
5,5,5,5,2019-02-12,22.224454879760746,,,,
6,6,6,6,2019-02-13,22.22758102416992,21.333850860595703,,0.04189258514153038,
7,7,7,7,2019-02-14,22.383827209472656,21.27760124206543,,0.05199016349738894,
8,8,8,8,2019-02-15,22.668193817138672,21.31510353088379,,0.06348035252535222,
9,9,9,9,2019-02-19,22.65881729125977,21.483848571777344,,0.0546907932048053,
10,10,10,10,2019-02-20,22.89006423950196,21.627592086791992,,0.058373218231768,
11,11,11,11,2019-02-21,22.677568435668945,22.224454879760746,,0.020388061635691068,
12,12,12,12,2019-02-22,22.908811569213867,22.22758102416992,21.333850860595703,0.030647983885569552,0.07382449230144217
13,13,13,13,2019-02-25,22.755687713623047,22.383827209472656,21.27760124206543,0.016612909877763204,0.06946678127586425
14,14,14,14,2019-02-26,22.73694229125977,22.668193817138672,21.31510353088379,0.0030328165832567144,0.06670569337445897
15,15,15,15,2019-02-27,22.78083229064941,22.65881729125977,21.483848571777344,0.005384879441024726,0.06037017597377181
16,16,16,16,2019-02-28,22.78396987915039,22.89006423950196,21.627592086791992,-0.004634952494736999,0.05346770864356176
17,17,17,17,2019-03-01,22.71499252319336,22.677568435668945,22.224454879760746,0.0016502689708810525,0.02207197639206604
18,18,18,18,2019-03-04,22.83413887023925,22.908811569213867,22.22758102416992,-0.0032595623194598966,0.02728852255266867
19,19,19,19,2019-03-05,22.71813201904297,22.755687713623047,22.383827209472656,-0.0016503871494771838,0.014935104995308368
20,20,20,20,2019-03-06,22.58958625793457,22.73694229125977,22.668193817138672,-0.006480908093866367,-0.0034677469161512597
21,21,21,21,2019-03-07,22.580177307128903,22.78083229064941,22.65881729125977,-0.008808062012855777,-0.0034706129238792904
22,22,22,22,2019-03-08,22.50179481506348,22.78396987915039,22.89006423950196,-0.012384806755960875,-0.01696235625972753
23,23,23,23,2019-03-11,22.87176322937012,22.71499252319336,22.677568435668945,0.006901640227998662,0.008563298761596227
24,24,24,24,2019-03-12,22.78083229064941,22.83413887023925,22.908811569213867,-0.0023345123673271795,-0.0055864651982402425
25,25,25,25,2019-03-13,23.191558837890625,22.71813201904297,22.755687713623047,0.02083916135581987,0.019154381522235253
26,26,26,26,2019-03-14,22.88743782043457,22.58958625793457,22.73694229125977,0.01318534828832374,0.006618987164015211
27,27,27,27,2019-03-15,22.827865600585938,22.580177307128903,22.78083229064941,0.010969280271277304,0.0020646001575557182
28,28,28,28,2019-03-18,23.16019821166992,22.50179481506348,22.78396987915039,0.029260039122109394,0.016512852435949466
29,29,29,29,2019-03-19,22.87176322937012,22.87176322937012,22.71499252319336,0.0,0.006901640227998662
30,30,30,30,2019-03-20,22.830997467041016,22.78083229064941,22.83413887023925,0.0022020782977361097,-0.00013757484861098845
31,31,31,31,2019-03-21,23.08809471130371,23.191558837890625,22.71813201904297,-0.004461283836508345,0.01628490810558847
