,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AMGN,AMGN_6m,AMGN_12m,AMGN_6m_ret,AMGN_12m_ret
0,0,0,0,2019-02-05,161.6169891357422,,,,
1,1,1,1,2019-02-06,163.71974182128906,,,,
2,2,2,2,2019-02-07,158.1153564453125,,,,
3,3,3,3,2019-02-08,159.6344451904297,,,,
4,4,4,4,2019-02-11,159.45420837402344,,,,
5,5,5,5,2019-02-12,161.71998596191406,,,,
6,6,6,6,2019-02-13,162.19203186035156,161.6169891357422,,0.003558058640273254,
7,7,7,7,2019-02-14,161.45692443847656,163.71974182128906,,-0.013821286044309322,
8,8,8,8,2019-02-15,162.89263916015625,158.1153564453125,,0.03021390725255757,
9,9,9,9,2019-02-19,161.70770263671875,159.6344451904297,,0.012987531881454961,
10,10,10,10,2019-02-20,161.66445922851562,159.45420837402344,,0.013861351650924947,
11,11,11,11,2019-02-21,160.43634033203125,161.71998596191406,,-0.007937458207454395,
12,12,12,12,2019-02-22,162.1660919189453,162.19203186035156,161.6169891357422,-0.00015993351281640145,0.0033975560746397626
13,13,13,13,2019-02-25,164.1639862060547,161.45692443847656,163.71974182128906,0.01676646434950313,0.0027134442054674857
14,14,14,14,2019-02-26,164.39749145507812,162.89263916015625,158.1153564453125,0.009238307529920275,0.03973134014935753
15,15,15,15,2019-02-27,165.55645751953125,161.70770263671875,159.6344451904297,0.023800689887103488,0.03709733398726778
16,16,16,16,2019-02-28,164.39749145507812,161.66445922851562,159.45420837402344,0.016905584811930163,0.031001270718797658
17,17,17,17,2019-03-01,165.3315887451172,160.43634033203125,161.71998596191406,0.030512092228948795,0.022332445564605008
18,18,18,18,2019-03-04,164.13804626464844,162.1660919189453,162.19203186035156,0.012160090450282102,0.011998212131483887
19,19,19,19,2019-03-05,163.30775451660156,164.1639862060547,161.45692443847656,-0.005215709664715407,0.011463305674636937
20,20,20,20,2019-03-06,158.40382385253906,164.39749145507812,162.89263916015625,-0.03645838844309157,-0.027556894717653768
