,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FSLR,FSLR_6m,FSLR_12m,FSLR_6m_ret,FSLR_12m_ret
0,0,0,0,2019-02-05,49.310001373291016,,,,
1,1,1,1,2019-02-06,48.88999938964844,,,,
2,2,2,2,2019-02-07,48.0,,,,
3,3,3,3,2019-02-08,48.09999847412109,,,,
4,4,4,4,2019-02-11,49.720001220703125,,,,
5,5,5,5,2019-02-12,50.2599983215332,,,,
6,6,6,6,2019-02-13,50.63999938964844,49.310001373291016,,0.02697217560975007,
7,7,7,7,2019-02-14,51.02000045776367,48.88999938964844,,0.0435672140459511,
8,8,8,8,2019-02-15,49.18000030517578,48.0,,0.02458333969116211,
9,9,9,9,2019-02-19,52.060001373291016,48.09999847412109,,0.08232854521399835,
10,10,10,10,2019-02-20,51.68999862670898,49.720001220703125,,0.039621829397412656,
11,11,11,11,2019-02-21,51.95000076293945,50.2599983215332,,0.033625198922503596,
12,12,12,12,2019-02-22,53.72999954223633,50.63999938964844,49.310001373291016,0.06101896109460725,0.08963695083852552
13,13,13,13,2019-02-25,51.77000045776367,51.02000045776367,48.88999938964844,0.014700117469047758,0.05890777467927366
14,14,14,14,2019-02-26,51.88999938964844,49.18000030517578,48.0,0.055103681733557286,0.08104165395100904
15,15,15,15,2019-02-27,52.380001068115234,52.060001373291016,48.09999847412109,0.006146747721531787,0.08898134573324135
16,16,16,16,2019-02-28,52.54999923706055,51.68999862670898,49.720001220703125,0.01663765976397591,0.05691870367812912
17,17,17,17,2019-03-01,53.40999984741211,51.95000076293945,50.2599983215332,0.028103928066045336,0.06267412716027354
18,18,18,18,2019-03-04,52.4900016784668,53.72999954223633,50.63999938964844,-0.023078315174649977,0.036532431104186136
19,19,19,19,2019-03-05,52.18999862670898,51.77000045776367,51.02000045776367,0.008112771204009439,0.022932147362755728
20,20,20,20,2019-03-06,51.369998931884766,51.88999938964844,49.18000030517578,-0.01002120762921821,0.0445302686685527
21,21,21,21,2019-03-07,50.36000061035156,52.380001068115234,52.060001373291016,-0.038564345486302165,-0.03265464306752064
22,22,22,22,2019-03-08,51.15999984741211,52.54999923706055,51.68999862670898,-0.02645098781786759,-0.010253410589626366
23,23,23,23,2019-03-11,53.619998931884766,53.40999984741211,51.95000076293945,0.003931830838281414,0.03214625879537358
24,24,24,24,2019-03-12,53.93000030517578,52.4900016784668,53.72999954223633,0.027433769873543845,0.0037223295113233412
25,25,25,25,2019-03-13,54.709999084472656,52.18999862670898,51.77000045776367,0.04828512213207903,0.05678961948450367
26,26,26,26,2019-03-14,54.43999862670898,51.369998931884766,51.88999938964844,0.059762502601858,0.04914240252562507
27,27,27,27,2019-03-15,53.709999084472656,50.36000061035156,52.380001068115234,0.06652101734550997,0.02539133236419544
28,28,28,28,2019-03-18,54.68000030517578,51.15999984741211,52.54999923706055,0.06880376208487671,0.04053284679427871
29,29,29,29,2019-03-19,55.45000076293945,53.619998931884766,53.40999984741211,0.03412909115084828,0.03819511180219903
30,30,30,30,2019-03-20,55.650001525878906,53.93000030517578,52.4900016784668,0.031893217336734336,0.06020193839522103
31,31,31,31,2019-03-21,54.810001373291016,54.709999084472656,52.18999862670898,0.0018278612774962344,0.050201241914599626
32,32,32,32,2019-03-22,52.40999984741211,54.43999862670898,51.369998931884766,-0.0372887367837097,0.020245297589091882
33,33,33,33,2019-03-25,51.720001220703125,53.709999084472656,50.36000061035156,-0.037050789381689486,0.02700557176069629
34,34,34,34,2019-03-26,50.91999816894531,54.68000030517578,51.15999984741211,-0.0687637548508675,-0.00469119779481264
35,35,35,35,2019-03-27,51.18999862670898,55.45000076293945,53.619998931884766,-0.07682600681004303,-0.045318917448370244
36,36,36,36,2019-03-28,52.02000045776367,55.650001525878906,53.93000030517578,-0.06522912791704372,-0.03541627733365327
37,37,37,37,2019-03-29,52.84000015258789,54.810001373291016,54.709999084472656,-0.035942367658160834,-0.03418020404272848
38,38,38,38,2019-04-01,54.11000061035156,52.40999984741211,54.43999862670898,0.032436572560367916,-0.006061683039710997
39,39,39,39,2019-04-02,53.900001525878906,51.720001220703125,53.709999084472656,0.04215004357546581,0.003537561806832734
40,40,40,40,2019-04-03,54.84999847412109,50.91999816894531,54.68000030517578,0.07717989879215215,0.0031089643013264556
41,41,41,41,2019-04-04,55.380001068115234,51.18999862670898,55.45000076293945,0.08185197409284695,-0.0012623930362685165
42,42,42,42,2019-04-05,56.290000915527344,52.02000045776367,55.650001525878906,0.08208382199516873,0.011500437953282372
43,43,43,43,2019-04-08,57.08000183105469,52.84000015258789,54.810001373291016,0.08024227226008329,0.041415807350624334
44,44,44,44,2019-04-09,56.130001068115234,54.11000061035156,52.40999984741211,0.037331370079068726,0.07097884433378443
45,45,45,45,2019-04-10,60.77000045776367,53.900001525878906,51.720001220703125,0.12745823260480393,0.1749806462386141
46,46,46,46,2019-04-11,60.630001068115234,54.84999847412109,50.91999816894531,0.1053783546907705,0.19069134423283973
47,47,47,47,2019-04-12,60.18000030517578,55.380001068115234,51.18999862670898,0.08667387404266624,0.1756202758281804
48,48,48,48,2019-04-15,60.22999954223633,56.290000915527344,52.02000045776367,0.06999464492142438,0.1578238948909383
49,49,49,49,2019-04-16,60.5099983215332,57.08000183105469,52.84000015258789,0.06009103679832761,0.14515515039357285
50,50,50,50,2019-04-17,60.65999984741211,56.130001068115234,54.11000061035156,0.08070548179394477,0.12104969808127297
51,51,51,51,2019-04-18,59.84999847412109,60.77000045776367,53.900001525878906,-0.015139081400567078,0.11038955064566047
52,52,52,52,2019-04-22,59.959999084472656,60.630001068115234,54.84999847412109,-0.011050667521675606,0.09316318600742579
53,53,53,53,2019-04-23,61.619998931884766,60.18000030517578,55.380001068115234,0.023928192412872695,0.11267601559080109
54,54,54,54,2019-04-24,61.81999969482422,60.22999954223633,56.290000915527344,0.0263988073164918,0.09824122738238317
55,55,55,55,2019-04-25,61.25,60.5099983215332,57.08000183105469,0.012229411650858779,0.07305532647472002
56,56,56,56,2019-04-26,61.540000915527344,60.65999984741211,56.130001068115234,0.014507106335787112,0.09638339113599748
57,57,57,57,2019-04-29,61.84000015258789,59.84999847412109,60.77000045776367,0.03324982003679211,0.01760736690413367
58,58,58,58,2019-04-30,61.52999877929688,59.959999084472656,60.630001068115234,0.02618411805864751,0.014844098553957519
59,59,59,59,2019-05-01,60.869998931884766,61.619998931884766,60.18000030517578,-0.012171373141844022,0.01146558031256184
60,60,60,60,2019-05-02,59.86000061035156,61.81999969482422,60.22999954223633,-0.03170493520136253,-0.006143100360233356
61,61,61,61,2019-05-03,61.7599983215332,61.25,60.5099983215332,0.008326503208705427,0.020657743094915526
62,62,62,62,2019-05-06,60.290000915527344,61.540000915527344,60.65999984741211,-0.02031199189801458,-0.006099553788583623
63,63,63,63,2019-05-07,61.68999862670898,61.84000015258789,59.84999847412109,-0.002425639157645376,0.03074352881368081
64,64,64,64,2019-05-08,60.33000183105469,61.52999877929688,59.959999084472656,-0.019502632407754295,0.0061708264214741515
65,65,65,65,2019-05-09,58.91999816894531,60.869998931884766,61.619998931884766,-0.03203549855687626,-0.043816955691999504
66,66,66,66,2019-05-10,59.9900016784668,59.86000061035156,61.81999969482422,0.002171751867519278,-0.029602038586076462
67,67,67,67,2019-05-13,58.400001525878906,61.7599983215332,61.25,-0.0544040946724379,-0.0465305873325893
68,68,68,68,2019-05-14,59.33000183105469,60.290000915527344,61.540000915527344,-0.01592302321935135,-0.03591158679874251
69,69,69,69,2019-05-15,59.86000061035156,61.68999862670898,61.84000015258789,-0.029664419794055652,-0.032018103773459816
70,70,70,70,2019-05-16,60.66999816894531,60.33000183105469,61.52999877929688,0.005635609606688519,-0.013976932023618605
71,71,71,71,2019-05-17,58.380001068115234,58.91999816894531,60.869998931884766,-0.009164920529727616,-0.04090681628819981
72,72,72,72,2019-05-20,57.77000045776367,59.9900016784668,59.86000061035156,-0.03700618700765912,-0.03491480339588349
73,73,73,73,2019-05-21,58.93999862670898,58.400001525878906,61.7599983215332,0.009246525457551336,-0.04566061806127031
74,74,74,74,2019-05-22,59.060001373291016,59.33000183105469,60.290000915527344,-0.004550825036758188,-0.020401385363381985
75,75,75,75,2019-05-23,57.33000183105469,59.86000061035156,61.68999862670898,-0.04226526484297033,-0.07067591007801721
76,76,76,76,2019-05-24,57.310001373291016,60.66999816894531,60.33000183105469,-0.05538152129653684,-0.0500580203233002
77,77,77,77,2019-05-28,58.34999847412109,58.380001068115234,58.91999816894531,-0.0005139190381161507,-0.009674129540700682
78,78,78,78,2019-05-29,57.86000061035156,57.77000045776367,59.9900016784668,0.001557904654227782,-0.03550593446440575
79,79,79,79,2019-05-30,59.63999938964844,58.93999862670898,58.400001525878906,0.011876497781631246,0.02123283957826705
