,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DG,DG_6m,DG_12m,DG_6m_ret,DG_12m_ret
0,0,0,0,2019-02-05,110.41649627685548,,,,
1,1,1,1,2019-02-06,110.7114715576172,,,,
2,2,2,2,2019-02-07,111.68206024169922,,,,
3,3,3,3,2019-02-08,110.68292999267578,,,,
4,4,4,4,2019-02-11,111.56786346435548,,,,
5,5,5,5,2019-02-12,112.2910614013672,,,,
6,6,6,6,2019-02-13,113.13788604736328,110.41649627685548,,0.02464658689843091,
7,7,7,7,2019-02-14,112.77631378173828,110.7114715576172,,0.01865066189682496,
8,8,8,8,2019-02-15,113.23303985595705,111.68206024169922,,0.013887455253791314,
9,9,9,9,2019-02-19,113.3757781982422,110.68292999267578,,0.024329390320120936,
10,10,10,10,2019-02-20,113.2235336303711,111.56786346435548,,0.014840027536644262,
11,11,11,11,2019-02-21,112.7192153930664,112.2910614013672,,0.0038128946895321647,
12,12,12,12,2019-02-22,112.64309692382812,113.13788604736328,110.41649627685548,-0.004373328341383598,0.02016547094004606
13,13,13,13,2019-02-25,113.00467681884766,112.77631378173828,110.7114715576172,0.002024920211094461,0.0207133482101447
14,14,14,14,2019-02-26,112.64309692382812,113.23303985595705,111.68206024169922,-0.0052099893536319275,0.008605112406138149
15,15,15,15,2019-02-27,112.44325256347656,113.3757781982422,110.68292999267578,-0.008225086959359862,0.015904192009709828
16,16,16,16,2019-02-28,112.7192153930664,113.2235336303711,111.56786346435548,-0.004454182104500326,0.01031974524706003
17,17,17,17,2019-03-01,113.70883178710938,112.7192153930664,112.2910614013672,0.008779482633835212,0.012625852566078954
18,18,18,18,2019-03-04,113.10936737060548,112.64309692382812,113.13788604736328,0.004139361039519951,-0.0002520700868130499
19,19,19,19,2019-03-05,113.81349182128906,113.00467681884766,112.77631378173828,0.007157358661694868,0.009196771953001504
20,20,20,20,2019-03-06,113.48995971679688,112.64309692382812,113.23303985595705,0.007518106445008499,0.0022689478368385085
21,21,21,21,2019-03-07,113.1188735961914,112.44325256347656,113.3757781982422,0.006008551134123685,-0.002265956680813974
22,22,22,22,2019-03-08,112.95711517333984,112.7192153930664,113.2235336303711,0.0021105521311859388,-0.002353030756847785
23,23,23,23,2019-03-11,113.90865325927734,113.70883178710938,112.7192153930664,0.0017573082849191568,0.010552219176324318
24,24,24,24,2019-03-12,113.81349182128906,113.10936737060548,112.64309692382812,0.006225164785658377,0.010390294029756442
25,25,25,25,2019-03-13,114.83163452148438,113.81349182128906,113.00467681884766,0.008945711829964953,0.016167098159710847
26,26,26,26,2019-03-14,106.2297134399414,113.48995971679688,112.64309692382812,-0.06397258660565841,-0.05693543287631375
27,27,27,27,2019-03-15,108.3707046508789,113.1188735961914,112.44325256347656,-0.041975037359922585,-0.03621869538413269
28,28,28,28,2019-03-18,110.88275146484376,112.95711517333984,112.7192153930664,-0.018364170378402767,-0.01629237678614648
29,29,29,29,2019-03-19,111.55835723876952,113.90865325927734,113.70883178710938,-0.020633164849716112,-0.01891211539633153
30,30,30,30,2019-03-20,111.45368194580078,113.81349182128906,113.10936737060548,-0.020734008224558065,-0.0146379160567649
31,31,31,31,2019-03-21,112.11023712158205,114.83163452148438,113.81349182128906,-0.02369902171333438,-0.014965314502269011
32,32,32,32,2019-03-22,111.77720642089844,106.2297134399414,113.48995971679688,0.05222166944932405,-0.015091672427873348
33,33,33,33,2019-03-25,112.99517822265624,108.3707046508789,113.1188735961914,0.042672727714332837,-0.0010934989856488109
34,34,34,34,2019-03-26,113.01419067382812,110.88275146484376,112.95711517333984,0.019222459587505458,0.0005052846861457461
35,35,35,35,2019-03-27,112.95711517333984,111.55835723876952,113.90865325927734,0.012538351847334539,-0.008353518882991406
36,36,36,36,2019-03-28,113.57563018798828,111.45368194580078,113.81349182128906,0.019038834833822627,-0.0020899247487659034
37,37,37,37,2019-03-29,113.51851654052734,112.11023712158205,114.83163452148438,0.012561559542667355,-0.011435158843022042
38,38,38,38,2019-04-01,112.59551239013672,111.77720642089844,106.2297134399414,0.0073208661715604695,0.05992484347417837
39,39,39,39,2019-04-02,112.17684173583984,112.99517822265624,108.3707046508789,-0.0072422248425845215,0.03512145738299455
40,40,40,40,2019-04-03,112.44325256347656,113.01419067382812,110.88275146484376,-0.00505191522363202,0.01407343412764761
41,41,41,41,2019-04-04,114.33683013916016,112.95711517333984,111.55835723876952,0.01221450250126388,0.02490600407859933
42,42,42,42,2019-04-05,116.63955688476562,113.57563018798828,111.45368194580078,0.0269769728920366,0.04652941785706721
43,43,43,43,2019-04-08,116.67771911621094,113.51851654052734,112.11023712158205,0.027829843729112902,0.04074098951084659
44,44,44,44,2019-04-09,115.8381805419922,112.59551239013672,111.77720642089844,0.028799266356369868,0.03633096810276437
45,45,45,45,2019-04-10,116.21024322509766,112.17684173583984,112.99517822265624,0.03595574119260636,0.02845311678792317
46,46,46,46,2019-04-11,116.78267669677734,112.44325256347656,113.01419067382812,0.03859212566668768,0.03334524629588764
47,47,47,47,2019-04-12,116.75404357910156,114.33683013916016,112.95711517333984,0.021141161924809415,0.033613893201283496
48,48,48,48,2019-04-15,118.1564712524414,116.63955688476562,113.57563018798828,0.013005145151352204,0.040332957491594046
49,49,49,49,2019-04-16,118.01336669921876,116.67771911621094,113.51851654052734,0.011447323388945607,0.03959574433908952
50,50,50,50,2019-04-17,118.5857925415039,115.8381805419922,112.59551239013672,0.023719398791106405,0.053201766431074216
