,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IVZ,IVZ_6m,IVZ_12m,IVZ_6m_ret,IVZ_12m_ret
0,0,0,0,2019-02-05,14.673330307006836,,,,
1,1,1,1,2019-02-06,14.563590049743652,,,,
2,2,2,2,2019-02-07,14.39898681640625,,,,
3,3,3,3,2019-02-08,14.108965873718262,,,,
4,4,4,4,2019-02-11,14.257896423339844,,,,
5,5,5,5,2019-02-12,14.555747985839844,,,,
6,6,6,6,2019-02-13,14.715092658996582,14.673330307006836,,0.0028461399774939444,
7,7,7,7,2019-02-14,14.555749893188477,14.563590049743652,,-0.0005383395528435475,
8,8,8,8,2019-02-15,15.02580738067627,14.39898681640625,,0.04353226878128802,
9,9,9,9,2019-02-19,15.06564235687256,14.108965873718262,,0.06780627947625595,
10,10,10,10,2019-02-20,15.169215202331545,14.257896423339844,,0.0639167764958577,
11,11,11,11,2019-02-21,15.001908302307127,14.555747985839844,,0.03065183025299123,
12,12,12,12,2019-02-22,15.177176475524902,14.715092658996582,14.673330307006836,0.03140203240553907,0.034337546962837084
13,13,13,13,2019-02-25,15.121411323547363,14.555749893188477,14.563590049743652,0.03886171681361428,0.03830245646151864
14,14,14,14,2019-02-26,15.177176475524902,15.02580738067627,14.39898681640625,0.010073940854805619,0.054044751137071634
15,15,15,15,2019-02-27,15.37635612487793,15.06564235687256,14.108965873718262,0.020623997347423373,0.08982871335173637
16,16,16,16,2019-02-28,15.416190147399902,15.169215202331545,14.257896423339844,0.01628132647431868,0.08123875287549143
17,17,17,17,2019-03-01,15.543663024902344,15.001908302307127,14.555747985839844,0.03611238728288324,0.06787112830089992
18,18,18,18,2019-03-04,15.495862007141112,15.177176475524902,14.715092658996582,0.020997682416761032,0.05305908472599241
19,19,19,19,2019-03-05,15.511794090270996,15.121411323547363,14.555749893188477,0.02581655629694568,0.06568154881047472
20,20,20,20,2019-03-06,15.312620162963867,15.177176475524902,15.02580738067627,0.00892416897552617,0.019088011380769432
21,21,21,21,2019-03-07,14.86646556854248,15.37635612487793,15.06564235687256,-0.033160688539886296,-0.013220597144948165
22,22,22,22,2019-03-08,14.8505277633667,15.416190147399902,15.169215202331545,-0.03669274824873692,-0.021008828387895973
23,23,23,23,2019-03-11,15.113442420959473,15.543663024902344,15.001908302307127,-0.027678199357102584,0.0074346620713041656
24,24,24,24,2019-03-12,15.113442420959473,15.495862007141112,15.177176475524902,-0.02467881980398412,-0.004199335407887528
25,25,25,25,2019-03-13,15.40025806427002,15.511794090270996,15.121411323547363,-0.007190401403724955,0.018440523490583782
26,26,26,26,2019-03-14,15.416190147399902,15.312620162963867,15.177176475524902,0.006763701008305256,0.01574823039452955
27,27,27,27,2019-03-15,15.758776664733888,14.86646556854248,15.37635612487793,0.06002173765360497,0.024870686965764666
28,28,28,28,2019-03-18,16.125255584716797,14.8505277633667,15.416190147399902,0.08583720670820849,0.04599485544335247
29,29,29,29,2019-03-19,15.88624668121338,15.113442420959473,15.543663024902344,0.05113356962158244,0.022040085130653475
30,30,30,30,2019-03-20,15.71893310546875,15.113442420959473,15.495862007141112,0.040063055632486355,0.014395526897751143
31,31,31,31,2019-03-21,15.76673984527588,15.40025806427002,15.511794090270996,0.023797119468804917,0.01643560722384696
32,32,32,32,2019-03-22,15.185147285461426,15.416190147399902,15.312620162963867,-0.014987027257019392,-0.008324694020083845
33,33,33,33,2019-03-25,14.962068557739258,15.758776664733888,14.86646556854248,-0.05055646919456391,0.006430781328352397
34,34,34,34,2019-03-26,15.360424995422363,16.125255584716797,14.8505277633667,-0.04743060258960019,0.034335293679830015
35,35,35,35,2019-03-27,15.392289161682127,15.88624668121338,15.113442420959473,-0.031093406104249488,0.018450246671529058
36,36,36,36,2019-03-28,15.432123184204102,15.71893310546875,15.113442420959473,-0.018246144273294518,0.021085915066092475
37,37,37,37,2019-03-29,15.384321212768556,15.76673984527588,15.40025806427002,-0.024254768979517727,-0.0010348431458065965
38,38,38,38,2019-04-01,15.910147666931152,15.185147285461426,15.416190147399902,0.04774404672148669,0.03204147813489189
39,39,39,39,2019-04-02,15.81454086303711,14.962068557739258,15.758776664733888,0.056975564709393245,0.0035386121327560804
40,40,40,40,2019-04-03,16.02965545654297,15.360424995422363,16.125255584716797,0.04356848598395202,-0.005928596149783583
41,41,41,41,2019-04-04,16.08542251586914,15.392289161682127,15.88624668121338,0.04503120665849458,0.012537626958248005
42,42,42,42,2019-04-05,16.324432373046875,15.432123184204102,15.71893310546875,0.05782154394387651,0.03852037943767739
43,43,43,43,2019-04-08,16.348331451416016,15.384321212768556,15.76673984527588,0.06266186368023563,0.03688724567332757
44,44,44,44,2019-04-09,16.17305564880371,15.910147666931152,15.185147285461426,0.016524546935476003,0.0650575423979014
45,45,45,45,2019-04-10,16.563444137573242,15.81454086303711,14.962068557739258,0.047355359919839524,0.10702902300268224
46,46,46,46,2019-04-11,16.61124610900879,16.02965545654297,15.360424995422363,0.03628216801306405,0.08143141312556068
47,47,47,47,2019-04-12,16.985694885253906,16.08542251586914,15.392289161682127,0.05596821398359908,0.10351973685229576
48,48,48,48,2019-04-15,16.786518096923828,16.324432373046875,15.432123184204102,0.02830638844385791,0.0877646514710333
49,49,49,49,2019-04-16,17.152999877929688,16.348331451416016,15.384321212768556,0.04922021729893267,0.11496631152586545
50,50,50,50,2019-04-17,17.256574630737305,16.17305564880371,15.910147666931152,0.06699531649813739,0.08462693068554406
51,51,51,51,2019-04-18,17.152999877929688,16.563444137573242,15.81454086303711,0.035593789278346444,0.08463470590037314
52,52,52,52,2019-04-22,17.033496856689453,16.61124610900879,16.02965545654297,0.02541957086841684,0.06262401602254886
53,53,53,53,2019-04-23,17.224706649780273,16.985694885253906,16.08542251586914,0.014071356287805648,0.07082711895116
