,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LMT,LMT_6m,LMT_12m,LMT_6m_ret,LMT_12m_ret
0,0,0,0,2019-02-05,262.08123779296875,,,,
1,1,1,1,2019-02-06,262.4050598144531,,,,
2,2,2,2,2019-02-07,262.6676330566406,,,,
3,3,3,3,2019-02-08,263.8665771484375,,,,
4,4,4,4,2019-02-11,262.5887756347656,,,,
5,5,5,5,2019-02-12,266.15087890625,,,,
6,6,6,6,2019-02-13,266.422119140625,262.08123779296875,,0.016563113728443657,
7,7,7,7,2019-02-14,263.4290466308594,262.4050598144531,,0.0039023135343896342,
8,8,8,8,2019-02-15,268.8813781738281,262.6676330566406,,0.02365630300497501,
9,9,9,9,2019-02-19,267.0872497558594,263.8665771484375,,0.01220568607902961,
10,10,10,10,2019-02-20,268.8551025390625,262.5887756347656,,0.0238636510229695,
11,11,11,11,2019-02-21,266.5008544921875,266.15087890625,,0.0013149518324933052,
12,12,12,12,2019-02-22,268.7939147949219,266.422119140625,262.08123779296875,0.008902397676091578,0.02561296282970016
13,13,13,13,2019-02-25,267.7786560058594,263.4290466308594,262.4050598144531,0.016511502549280577,0.02047824914354135
14,14,14,14,2019-02-26,267.6998596191406,268.8813781738281,262.6676330566406,-0.004394200010101379,0.019158152467970258
15,15,15,15,2019-02-27,269.18768310546875,267.0872497558594,263.8665771484375,0.007864221716047393,0.020165896016598905
16,16,16,16,2019-02-28,272.7400207519531,268.8551025390625,262.5887756347656,0.014449858590004583,0.038658335995697124
17,17,17,17,2019-03-01,272.79296875,266.5008544921875,266.15087890625,0.02361010913005135,0.02495610711881069
18,18,18,18,2019-03-04,268.5794982910156,268.7939147949219,266.422119140625,-0.0007976985047070118,0.008097597742070084
19,19,19,19,2019-03-05,269.5226745605469,267.7786560058594,263.4290466308594,0.006512911001574917,0.02313195149746128
20,20,20,20,2019-03-06,267.3718566894531,267.6998596191406,268.8813781738281,-0.0012252637343708184,-0.005614079690558271
21,21,21,21,2019-03-07,267.0986328125,269.18768310546875,267.0872497558594,-0.007760571616310719,4.2619243902697335e-05
22,22,22,22,2019-03-08,265.2827453613281,272.7400207519531,268.8551025390625,-0.027342065055451115,-0.013287295439056601
23,23,23,23,2019-03-11,268.3238220214844,272.79296875,266.5008544921875,-0.016382924930192555,0.006840381554387598
24,24,24,24,2019-03-12,266.1377258300781,268.5794982910156,268.7939147949219,-0.009091432802855848,-0.009881879085210321
25,25,25,25,2019-03-13,267.4864501953125,269.5226745605469,267.7786560058594,-0.007554927868515748,-0.0010912214397718056
26,26,26,26,2019-03-14,263.13189697265625,267.3718566894531,267.6998596191406,-0.015857913279637037,-0.017063746887963527
27,27,27,27,2019-03-15,261.05157470703125,267.0986328125,269.18768310546875,-0.022639794302929728,-0.03022466817417402
28,28,28,28,2019-03-18,262.3650207519531,265.2827453613281,272.7400207519531,-0.010998546495743278,-0.03803988857739249
29,29,29,29,2019-03-19,261.4482421875,268.3238220214844,272.79296875,-0.02562418715634518,-0.041587312951958166
30,30,30,30,2019-03-20,260.9017944335937,266.1377258300781,268.5794982910156,-0.01967376620565031,-0.02858633628506846
31,31,31,31,2019-03-21,263.5726318359375,267.4864501953125,269.5226745605469,-0.014631837823999017,-0.022076223213170598
32,32,32,32,2019-03-22,259.1651916503906,263.13189697265625,267.3718566894531,-0.015074969503517943,-0.030693825224075044
33,33,33,33,2019-03-25,259.2621459960937,261.05157470703125,267.0986328125,-0.006854694184265209,-0.029339299620853687
34,34,34,34,2019-03-26,259.9674072265625,262.3650207519531,265.2827453613281,-0.009138464870503404,-0.020036501535468765
35,35,35,35,2019-03-27,259.1123352050781,261.4482421875,268.3238220214844,-0.008934491059789385,-0.03432973914507187
36,36,36,36,2019-03-28,260.5668029785156,260.9017944335937,266.1377258300781,-0.0012839752819842065,-0.020932480858123048
37,37,37,37,2019-03-29,264.5863342285156,263.5726318359375,267.4864501953125,0.0038460077797801695,-0.010842104206322478
38,38,38,38,2019-04-01,268.2268981933594,259.1651916503906,263.13189697265625,0.034964983087670376,0.019362917530414636
39,39,39,39,2019-04-02,267.1779479980469,259.2621459960937,261.05157470703125,0.030532039189679727,0.02346805721394718
40,40,40,40,2019-04-03,262.038818359375,259.9674072265625,262.3650207519531,0.007967964734160837,-0.0012433151021550293
41,41,41,41,2019-04-04,264.1543884277344,259.1123352050781,261.4482421875,0.01945894709592144,0.010350600247270414
42,42,42,42,2019-04-05,266.7195739746094,260.5668029785156,260.9017944335937,0.023613027161411226,0.02229873333621879
43,43,43,43,2019-04-08,269.4345397949219,264.5863342285156,263.5726318359375,0.018323718723201265,0.022240199667745264
44,44,44,44,2019-04-09,266.8077087402344,268.2268981933594,259.1651916503906,-0.005291003485049184,0.029488979755249556
45,45,45,45,2019-04-10,263.66961669921875,267.1779479980469,259.2621459960937,-0.013131066111989775,0.0170000548525564
46,46,46,46,2019-04-11,269.372802734375,262.038818359375,259.9674072265625,0.027988160002087037,0.03617913340811851
47,47,47,47,2019-04-12,272.99566650390625,264.1543884277344,259.1123352050781,0.03347011620286078,0.05358035651926785
48,48,48,48,2019-04-15,272.123046875,266.7195739746094,260.5668029785156,0.020259003941364373,0.04435040751310604
49,49,49,49,2019-04-16,273.31304931640625,269.4345397949219,264.5863342285156,0.01439499748041384,0.032982486088467544
50,50,50,50,2019-04-17,273.70086669921875,266.8077087402344,268.2268981933594,0.025835677655384304,0.02040797750982204
51,51,51,51,2019-04-18,277.0152587890625,263.66961669921875,267.1779479980469,0.05061501684157954,0.036819321597183485
52,52,52,52,2019-04-22,277.896728515625,269.372802734375,262.038818359375,0.03164360208129602,0.06051740828147656
53,53,53,53,2019-04-23,293.6224060058594,272.99566650390625,264.1543884277344,0.07555702171432821,0.11155604021390952
54,54,54,54,2019-04-24,290.99560546875,272.123046875,266.7195739746094,0.0693530327933567,0.09101706009942712
55,55,55,55,2019-04-25,289.8937072753906,273.31304931640625,269.4345397949219,0.0606654457240694,0.07593372214282956
56,56,56,56,2019-04-26,289.4176940917969,273.70086669921875,266.8077087402344,0.05742337458452407,0.08474262403555866
