,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SHW,SHW_6m,SHW_12m,SHW_6m_ret,SHW_12m_ret
0,0,0,0,2019-02-05,134.36984252929688,,,,
1,1,1,1,2019-02-06,134.12135314941406,,,,
2,2,2,2,2019-02-07,133.18487548828125,,,,
3,3,3,3,2019-02-08,134.1085968017578,,,,
4,4,4,4,2019-02-11,134.96868896484375,,,,
5,5,5,5,2019-02-12,139.27854919433594,,,,
6,6,6,6,2019-02-13,138.24327087402344,134.36984252929688,,0.028826619662682296,
7,7,7,7,2019-02-14,137.53929138183594,134.12135314941406,,0.025483922970969575,
8,8,8,8,2019-02-15,139.89646911621094,133.18487548828125,,0.0503930615493966,
9,9,9,9,2019-02-19,139.37725830078125,134.1085968017578,,0.039286530652555385,
10,10,10,10,2019-02-20,139.92515563964844,134.96868896484375,,0.03672308527865842,
11,11,11,11,2019-02-21,140.06214904785156,139.27854919433594,,0.005626134519984616,
12,12,12,12,2019-02-22,140.48049926757812,138.24327087402344,134.36984252929688,0.01618327155752408,0.04547640023429311
13,13,13,13,2019-02-25,139.7778778076172,137.53929138183594,134.12135314941406,0.016275977600949565,0.04217467633137906
14,14,14,14,2019-02-26,138.704833984375,139.89646911621094,133.18487548828125,-0.008517978612069599,0.04144583591685258
15,15,15,15,2019-02-27,140.62100219726562,139.37725830078125,134.1085968017578,0.00892357843487157,0.048560685525138814
16,16,16,16,2019-02-28,138.34713745117188,139.92515563964844,134.96868896484375,-0.011277587516432375,0.025031349954122595
17,17,17,17,2019-03-01,139.43936157226562,140.06214904785156,139.27854919433594,-0.004446508066738075,0.0011546098007189087
18,18,18,18,2019-03-04,139.80023193359375,140.48049926757812,138.24327087402344,-0.004842432490851589,0.011262472666674128
19,19,19,19,2019-03-05,137.7819061279297,139.7778778076172,137.53929138183594,-0.014279596392461014,0.0017639668174544987
20,20,20,20,2019-03-06,134.85336303710938,138.704833984375,139.89646911621094,-0.0277673880327739,-0.03604884462746727
21,21,21,21,2019-03-07,132.2313690185547,140.62100219726562,139.37725830078125,-0.05966130981588236,-0.05127012375868001
22,22,22,22,2019-03-08,133.16397094726562,138.34713745117188,139.92515563964844,-0.0374649349411772,-0.048320008375013046
23,23,23,23,2019-03-11,136.6832733154297,139.43936157226562,140.06214904785156,-0.019765496813520467,-0.02412411743923404
24,24,24,24,2019-03-12,134.99392700195312,139.80023193359375,140.48049926757812,-0.03437980656515405,-0.03905575716366538
25,25,25,25,2019-03-13,135.7954559326172,137.7819061279297,139.7778778076172,-0.014417351676555334,-0.028491074106026915
26,26,26,26,2019-03-14,136.94834899902344,134.85336303710938,138.704833984375,0.015535288959293903,-0.012663473470213904
27,27,27,27,2019-03-15,137.6540985107422,132.2313690185547,140.62100219726562,0.041009402930908045,-0.021098581578599562
28,28,28,28,2019-03-18,137.75633239746094,133.16397094726562,138.34713745117188,0.03448651626658039,-0.004270453762872051
29,29,29,29,2019-03-19,137.41143798828125,136.6832733154297,139.43936157226562,0.005327386849824256,-0.014543408411500702
30,30,30,30,2019-03-20,137.08888244628906,134.99392700195312,139.80023193359375,0.015518886596325387,-0.019394456288116868
31,31,31,31,2019-03-21,138.48443603515625,135.7954559326172,137.7819061279297,0.019801694276672777,0.005098854609938863
32,32,32,32,2019-03-22,134.3615264892578,136.94834899902344,134.85336303710938,-0.018889037572728085,-0.0036471952702893384
33,33,33,33,2019-03-25,134.8948516845703,137.6540985107422,132.2313690185547,-0.020044785124625597,0.020142593136443177
34,34,34,34,2019-03-26,134.2593231201172,137.75633239746094,133.16397094726562,-0.025385470246507613,0.008225589587481874
35,35,35,35,2019-03-27,136.2681121826172,137.41143798828125,136.6832733154297,-0.008320455868903509,-0.0030373953062596826
36,36,36,36,2019-03-28,137.7147979736328,137.08888244628906,134.99392700195312,0.004565764314177656,0.020155506489120123
37,37,37,37,2019-03-29,137.55197143554688,138.48443603515625,135.7954559326172,-0.006733353048949509,0.012935009429190902
38,38,38,38,2019-04-01,138.38864135742188,134.3615264892578,136.94834899902344,0.02997223218125633,0.010517047988717998
39,39,39,39,2019-04-02,139.61500549316406,134.8948516845703,137.6540985107422,0.034991356227820125,0.014245176886388489
40,40,40,40,2019-04-03,140.7359619140625,134.2593231201172,137.75633239746094,0.04823976945087738,0.0216297099722762
41,41,41,41,2019-04-04,141.91758728027344,136.2681121826172,137.41143798828125,0.04145852618905588,0.03279311648260674
42,42,42,42,2019-04-05,143.4665069580078,137.7147979736328,137.08888244628906,0.04176536631507255,0.04652182144834005
43,43,43,43,2019-04-08,142.57229614257812,137.55197143554688,138.48443603515625,0.036497657246473025,0.029518552585823477
44,44,44,44,2019-04-09,141.7131805419922,138.38864135742188,134.3615264892578,0.024023208494285964,0.054715469858271915
45,45,45,45,2019-04-10,141.70364379882812,139.61500549316406,134.8948516845703,0.014959984410603644,0.05047481078209759
46,46,46,46,2019-04-11,141.5599365234375,140.7359619140625,134.2593231201172,0.005854755232199693,0.054376956725669556
47,47,47,47,2019-04-12,141.00743103027344,141.91758728027344,136.2681121826172,-0.0064132731357849915,0.03477936820101335
48,48,48,48,2019-04-15,141.72283935546875,143.4665069580078,137.7147979736328,-0.012153830461972714,0.029103926671724345
49,49,49,49,2019-04-16,143.86251831054688,142.57229614257812,137.55197143554688,0.009049599416414589,0.04587754584060577
50,50,50,50,2019-04-17,141.44815063476562,141.7131805419922,138.38864135742188,-0.0018701853011338088,0.022108095341740075
51,51,51,51,2019-04-18,144.48846435546875,141.70364379882812,139.61500549316406,0.019652427291101615,0.03490641170761055
52,52,52,52,2019-04-22,144.31597900390625,141.5599365234375,140.7359619140625,0.01946908530869851,0.025437827269975344
53,53,53,53,2019-04-23,147.0465545654297,141.00743103027344,141.91758728027344,0.04282840621257522,0.036140462809778784
54,54,54,54,2019-04-24,146.23536682128906,141.72283935546875,143.4665069580078,0.03184050987365561,0.019299695252855686
55,55,55,55,2019-04-25,144.1276092529297,143.86251831054688,142.57229614257812,0.0018426685803634157,0.010908943409287497
56,56,56,56,2019-04-26,145.84254455566406,141.44815063476562,141.7131805419922,0.03106717126507541,0.02913888459689362
57,57,57,57,2019-04-29,144.20101928710938,144.48846435546875,141.70364379882812,-0.0019893980439310566,0.017623932746759108
58,58,58,58,2019-04-30,145.2549285888672,144.31597900390625,141.5599365234375,0.0065062066684626885,0.026101961869825496
59,59,59,59,2019-05-01,142.91403198242188,147.0465545654297,141.00743103027344,-0.028103498209942845,0.013521279965302613
60,60,60,60,2019-05-02,144.56515502929688,146.23536682128906,141.72283935546875,-0.011421394347328584,0.020055452506840155
