,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FAST,FAST_6m,FAST_12m,FAST_6m_ret,FAST_12m_ret
0,0,0,0,2019-02-05,26.913721084594727,,,,
1,1,1,1,2019-02-06,26.870040893554688,,,,
2,2,2,2,2019-02-07,26.533727645874023,,,,
3,3,3,3,2019-02-08,26.50316047668457,,,,
4,4,4,4,2019-02-11,27.022911071777344,,,,
5,5,5,5,2019-02-12,27.45531272888184,,,,
6,6,6,6,2019-02-13,27.52083206176757,26.913721084594727,,0.022557675145127076,
7,7,7,7,2019-02-14,27.24129676818848,26.870040893554688,,0.013816721608445492,
8,8,8,8,2019-02-15,27.503360748291016,26.533727645874023,,0.03654341807370476,
9,9,9,9,2019-02-19,27.28060913085937,26.50316047668457,,0.02933418657215392,
10,10,10,10,2019-02-20,27.12337303161621,27.022911071777344,,0.0037176586775578002,
11,11,11,11,2019-02-21,27.27623748779297,27.45531272888184,,-0.0065224258363842935,
12,12,12,12,2019-02-22,27.36795997619629,27.52083206176757,26.913721084594727,-0.005554777022299895,0.01687759526725441
13,13,13,13,2019-02-25,27.47279357910156,27.24129676818848,26.870040893554688,0.008498009947287555,0.022432146193400504
14,14,14,14,2019-02-26,27.4334774017334,27.503360748291016,26.533727645874023,-0.002540902080919727,0.033909662745757574
15,15,15,15,2019-02-27,27.74358558654785,27.28060913085937,26.50316047668457,0.016970898760642728,0.046802912843338484
16,16,16,16,2019-02-28,27.490253448486328,27.12337303161621,27.022911071777344,0.013526356638699166,0.017294301693390635
17,17,17,17,2019-03-01,27.180147171020508,27.27623748779297,27.45531272888184,-0.0035228581953601346,-0.010022306450433116
18,18,18,18,2019-03-04,27.36359214782715,27.36795997619629,27.52083206176757,-0.00015959641759710763,-0.005713486917383714
19,19,19,19,2019-03-05,27.066591262817383,27.47279357910156,27.24129676818848,-0.01478562109508852,-0.006413259502943802
20,20,20,20,2019-03-06,27.0927963256836,27.4334774017334,27.503360748291016,-0.012418443023496262,-0.014927791056695727
21,21,21,21,2019-03-07,26.870040893554688,27.74358558654785,27.28060913085937,-0.03148636611039646,-0.015049819281353849
22,22,22,22,2019-03-08,26.83073616027832,27.490253448486328,27.12337303161621,-0.023990949717647037,-0.010789103220929741
23,23,23,23,2019-03-11,26.95740127563477,27.180147171020508,27.27623748779297,-0.008195168848211032,-0.01168915662583192
