,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ITW,ITW_6m,ITW_12m,ITW_6m_ret,ITW_12m_ret
422,422,422,422,2020-10-07,185.4237365722656,179.693115234375,176.83641052246094,0.03189115693395439,0.04856084798618965
423,423,423,423,2020-10-08,186.66831970214844,179.45162963867188,178.29534912109375,0.04021523837931951,0.04696123943966701
424,424,424,424,2020-10-09,191.0615081787109,177.30612182617188,176.21774291992188,0.07757987265676358,0.08423536139340082
425,425,425,425,2020-10-12,189.2967834472656,178.1884765625,177.60281372070312,0.06234020908119353,0.06584338097791798
426,426,426,426,2020-10-13,188.693099975586,183.6961975097656,177.87060546875,0.02720199184065719,0.06084476115834314
427,427,427,427,2020-10-14,188.63735961914065,182.4237518310547,180.6869201660156,0.03406139675189057,0.04400118971434219
428,428,428,428,2020-10-15,189.27821350097656,185.4237365722656,179.693115234375,0.02078739755742509,0.05334148864913191
429,429,429,429,2020-10-16,191.9252777099609,186.66831970214844,179.45162963867188,0.02816202565170456,0.06950980660585193
430,430,430,430,2020-10-19,188.0057678222656,191.0615081787109,177.30612182617188,-0.01599349018844287,0.06034560953616408
431,431,431,431,2020-10-20,188.95314025878903,189.2967834472656,178.1884765625,-0.0018153672884372307,0.060411671416435775
432,432,432,432,2020-10-21,188.21939086914065,188.693099975586,183.6961975097656,-0.00251047392038517,0.024623228029173605
433,433,433,433,2020-10-22,187.3556365966797,188.63735961914065,182.4237518310547,-0.0067946403885675855,0.027035321421261527
434,434,434,434,2020-10-23,191.9810028076172,189.27821350097656,185.4237365722656,0.014279452751843946,0.03536368297052417
435,435,435,435,2020-10-26,185.67449951171875,191.9252777099609,186.66831970214844,-0.032568811533457254,-0.005323989587603495
436,436,436,436,2020-10-27,184.47637939453125,188.0057678222656,191.0615081787109,-0.018772766754001413,-0.03446601488155432
437,437,437,437,2020-10-28,178.95005798339844,188.95314025878903,189.2967834472656,-0.05293948680445548,-0.05465874948028138
438,438,438,438,2020-10-29,182.7952575683593,188.21939086914065,188.693099975586,-0.02881814289024287,-0.031256269614468146
439,439,439,439,2020-10-30,181.93150329589844,187.3556365966797,188.63735961914065,-0.028951001418002553,-0.035548930163045944
440,440,440,440,2020-11-02,187.68997192382807,191.9810028076172,189.27821350097656,-0.022351330709992845,-0.008391042728963072
441,441,441,441,2020-11-03,193.3741607666016,185.67449951171875,191.9252777099609,0.04146859840813466,0.00754920390856606
442,442,442,442,2020-11-04,188.265853881836,184.47637939453125,188.0057678222656,0.02054178697425746,0.0013833940446776882
443,443,443,443,2020-11-05,194.0057678222656,178.95005798339844,188.95314025878903,0.08413358457958098,0.026740108984463218
444,444,444,444,2020-11-06,194.5073089599609,182.7952575683593,188.21939086914065,0.06407196525446901,0.03340738731426418
445,445,445,445,2020-11-09,198.6590118408203,181.93150329589844,187.3556365966797,0.09194399123782193,0.06033111919911649
446,446,446,446,2020-11-10,202.049057006836,187.68997192382807,191.9810028076172,0.07650427423387018,0.052442971189748055
447,447,447,447,2020-11-11,198.4639587402344,193.3741607666016,185.67449951171875,0.02632098287307416,0.0688810755496796
448,448,448,448,2020-11-12,194.711654663086,188.265853881836,184.47637939453125,0.034237758193239154,0.055482849902778186
449,449,449,449,2020-11-13,196.4113311767578,194.0057678222656,178.95005798339844,0.012399442457277976,0.09757623657757786
450,450,450,450,2020-11-16,196.77354431152344,194.5073089599609,182.7952575683593,0.011651157808311607,0.07646963564104903
451,451,451,451,2020-11-17,194.9252319335937,198.6590118408203,181.93150329589844,-0.018794918350939938,0.07142099307870775
452,452,452,452,2020-11-18,191.42372131347656,202.049057006836,187.68997192382807,-0.052587900437466195,0.019893174639952438
453,453,453,453,2020-11-19,192.1574859619141,198.4639587402344,193.3741607666016,-0.03177641330119152,-0.006291816858385757
454,454,454,454,2020-11-20,189.3246459960937,194.711654663086,188.265853881836,-0.02766659590209719,0.005623920070615851
455,455,455,455,2020-11-23,193.9036102294922,196.4113311767578,194.0057678222656,-0.01276769997047078,-0.0005265698742884517
456,456,456,456,2020-11-24,197.1915435791016,196.77354431152344,194.5073089599609,0.0021242655817410583,0.013800173543572214
457,457,457,457,2020-11-25,196.06765747070312,194.9252319335937,198.6590118408203,0.00586083969621054,-0.013044232658287691
458,458,458,458,2020-11-27,197.11720275878903,191.42372131347656,202.049057006836,0.02974282082829638,-0.024409192109617672
459,459,459,459,2020-11-30,196.0583953857422,192.1574859619141,198.4639587402344,0.020300585242883917,-0.012120907845241669
460,460,460,460,2020-12-01,195.10174560546875,189.3246459960937,194.711654663086,0.030514250159983103,0.002003428829454146
461,461,461,461,2020-12-02,190.42062377929688,193.9036102294922,196.4113311767578,-0.017962463133476825,-0.03050082376392882
462,462,462,462,2020-12-03,188.96243286132807,197.1915435791016,196.77354431152344,-0.04173155992600919,-0.03969594326069137
463,463,463,463,2020-12-04,190.5227966308593,196.06765747070312,194.9252319335937,-0.028280344200431684,-0.022585251068133694
464,464,464,464,2020-12-07,188.293685913086,197.11720275878903,191.42372131347656,-0.044762794531435834,-0.01635134548066175
465,465,465,465,2020-12-08,191.6001892089844,196.0583953857422,192.1574859619141,-0.022739175070704443,-0.0029002083896962905
466,466,466,466,2020-12-09,191.8602752685547,195.10174560546875,189.3246459960937,-0.01661425594555621,0.01339302265228226
467,467,467,467,2020-12-10,188.12652587890625,190.42062377929688,193.9036102294922,-0.012047528544227193,-0.029793588390378822
468,468,468,468,2020-12-11,189.0646209716797,188.96243286132807,197.1915435791016,0.0005407853233272419,-0.041213342417809384
469,469,469,469,2020-12-14,185.4515991210937,190.5227966308593,196.06765747070312,-0.026617274150090853,-0.05414487267588086
470,470,470,470,2020-12-15,189.1946258544922,188.293685913086,197.11720275878903,0.0047847591757381736,-0.04019221454756361
471,471,471,471,2020-12-16,189.33395385742188,191.6001892089844,196.0583953857422,-0.01182793900631629,-0.03429815650123047
472,472,472,472,2020-12-17,191.4330139160156,191.8602752685547,195.10174560546875,-0.002226940162266655,-0.01880419715399162
473,473,473,473,2020-12-18,189.36181640625,188.12652587890625,190.42062377929688,0.006566275125597487,-0.00556036080563449
474,474,474,474,2020-12-21,189.34323120117188,189.0646209716797,188.96243286132807,0.001473624351612246,0.0020152065893608295
475,475,475,475,2020-12-22,187.9779052734375,185.4515991210937,190.5227966308593,0.013622455477961148,-0.013357411304183997
476,476,476,476,2020-12-23,187.5970916748047,189.1946258544922,188.293685913086,-0.008443866586972493,-0.003699509279365021
477,477,477,477,2020-12-24,188.0243682861328,189.33395385742188,191.6001892089844,-0.006916802531231392,-0.018662930019089585
478,478,478,478,2020-12-28,187.96861267089844,191.4330139160156,191.8602752685547,-0.018097198462523556,-0.02028383724670957
479,479,479,479,2020-12-29,186.1389312744141,189.36181640625,188.12652587890625,-0.017019720200199484,-0.010565201239997046
480,480,480,480,2020-12-30,188.84780883789065,189.34323120117188,189.0646209716797,-0.0026165306260926835,-0.0011467620577279014
481,481,481,481,2020-12-31,190.44512939453125,187.9779052734375,185.4515991210937,0.013125075085313131,0.026926326314268945
482,482,482,482,2021-01-04,189.7445526123047,187.5970916748047,189.1946258544922,0.01144719738631439,0.0029066721918171723
483,483,483,483,2021-01-05,190.38905334472656,188.0243682861328,189.33395385742188,0.012576481868537437,0.0055726902956836355
484,484,484,484,2021-01-06,195.26510620117188,187.96861267089844,191.4330139160156,0.038817616550952394,0.02001792797786428
485,485,485,485,2021-01-07,195.4706115722656,186.1389312744141,189.36181640625,0.05013287781315534,0.032259910059745156
486,486,486,486,2021-01-08,195.1903686523437,188.84780883789065,189.34323120117188,0.033585562117363965,0.03088115383939649
487,487,487,487,2021-01-11,194.35899353027344,190.44512939453125,187.9779052734375,0.020551138000668434,0.033945948315329044
488,488,488,488,2021-01-12,195.5453186035156,189.7445526123047,187.5970916748047,0.03057144941105805,0.04236860421316657
489,489,489,489,2021-01-13,193.5743560791016,190.38905334472656,188.0243682861328,0.01673049305312513,0.029517385664196816
490,490,490,490,2021-01-14,191.87429809570312,195.26510620117188,187.96861267089844,-0.017365151262486056,0.020778391505409832
491,491,491,491,2021-01-15,189.80059814453125,195.4706115722656,186.1389312744141,-0.029006986687807768,0.019671687405999894
492,492,492,492,2021-01-19,191.3138427734375,195.1903686523437,188.84780883789065,-0.019860231350916302,0.01305831373274624
493,493,493,493,2021-01-20,191.4819793701172,194.35899353027344,190.44512939453125,-0.014802577991885557,0.005444350185705993
494,494,494,494,2021-01-21,190.3984222412109,195.5453186035156,189.7445526123047,-0.02632073423726622,0.0034460521785952825
495,495,495,495,2021-01-22,190.05279541015625,193.5743560791016,190.38905334472656,-0.018192289207493495,-0.0017661621225747437
496,496,496,496,2021-01-25,188.9879302978516,191.87429809570312,195.26510620117188,-0.01504301423639276,-0.03214694128122009
497,497,497,497,2021-01-26,186.5498809814453,189.80059814453125,195.4706115722656,-0.017127012216318405,-0.04563719588876558
498,498,498,498,2021-01-27,182.4678955078125,191.3138427734375,195.1903686523437,-0.046237883978425764,-0.06517982025635383
499,499,499,499,2021-01-28,184.28933715820312,191.4819793701172,194.35899353027344,-0.037563024131954226,-0.051809572529515346
500,500,500,500,2021-01-29,181.412353515625,190.3984222412109,195.5453186035156,-0.047196130197978636,-0.07227462763527648
501,501,501,501,2021-02-01,182.0381774902344,190.05279541015625,193.5743560791016,-0.04217048164235293,-0.059595593251789425
502,502,502,502,2021-02-02,185.17678833007807,188.9879302978516,191.87429809570312,-0.020166060138163466,-0.03490571604480586
503,503,503,503,2021-02-03,184.3921356201172,186.5498809814453,189.80059814453125,-0.011566586641471699,-0.028495497787080604
504,504,504,504,2021-02-04,184.0745544433593,182.4678955078125,191.3138427734375,0.008805159565606901,-0.03783985635922493
505,505,505,505,2021-02-05,188.86648559570312,184.28933715820312,191.4819793701172,0.02483675131768881,-0.01365921630337108
506,506,506,506,2021-02-08,190.7814178466797,181.412353515625,190.3984222412109,0.05164512862266424,0.002011548210118841
507,507,507,507,2021-02-09,189.90333557128903,182.0381774902344,190.05279541015625,0.04320609110402995,-0.0007864122100633697
508,508,508,508,2021-02-10,191.3978881835937,185.17678833007807,188.9879302978516,0.033595462528632325,0.012751914272747022
509,509,509,509,2021-02-11,187.6988677978516,184.3921356201172,186.5498809814453,0.01793315190267597,0.006159139905967281
510,510,510,510,2021-02-12,187.73622131347656,184.0745544433593,182.4678955078125,0.019892303318023163,0.028872617788472832
511,511,511,511,2021-02-16,185.91470336914065,188.86648559570312,184.28933715820312,-0.015628936056348297,0.00881964326314888
512,512,512,512,2021-02-17,185.17678833007807,190.7814178466797,181.412353515625,-0.02937722960579814,0.02075070821529712
513,513,513,513,2021-02-18,186.11090087890625,189.90333557128903,182.0381774902344,-0.01997034270606124,0.022372907951631937
514,514,514,514,2021-02-19,188.1285552978516,191.3978881835937,185.17678833007807,-0.017081342520383846,0.015940264405666094
515,515,515,515,2021-02-22,187.77359008789065,187.6988677978516,184.3921356201172,0.00039809664765555475,0.0183383876779859
516,516,516,516,2021-02-23,188.2499542236328,187.73622131347656,184.0745544433593,0.0027364613315532527,0.02268319916840178
517,517,517,517,2021-02-24,190.04345703125,185.91470336914065,188.86648559570312,0.022207784469373326,0.006231764369599935
518,518,518,518,2021-02-25,189.3335418701172,185.17678833007807,190.7814178466797,0.02244748695300669,-0.007589187631082961
519,519,519,519,2021-02-26,188.8571319580078,186.11090087890625,189.90333557128903,0.014755885153059367,-0.005509137636439676
520,520,520,520,2021-03-01,192.83644104003903,188.1285552978516,191.3978881835937,0.02502483333661787,0.00751603306649562
521,521,521,521,2021-03-02,192.89244079589844,187.77359008789065,187.6988677978516,0.02726075965002228,0.027669708714706864
522,522,522,522,2021-03-03,193.8826141357422,188.2499542236328,187.73622131347656,0.029921175467687133,0.03273951493890226
523,523,523,523,2021-03-04,190.5292053222656,190.04345703125,185.91470336914065,0.002555985344634637,0.024820532585648536
524,524,524,524,2021-03-05,196.17117309570312,189.3335418701172,185.17678833007807,0.03611420965375767,0.0593723698567854
525,525,525,525,2021-03-08,199.33778381347656,188.8571319580078,186.11090087890625,0.055495134056145146,0.07106989903389072
526,526,526,526,2021-03-09,196.95584106445312,192.83644104003903,188.1285552978516,0.021362145049953263,0.046921562506158976
