,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ROP,ROP_6m,ROP_12m,ROP_6m_ret,ROP_12m_ret
0,0,0,0,2019-02-05,289.64508056640625,,,,
1,1,1,1,2019-02-06,291.48297119140625,,,,
2,2,2,2,2019-02-07,289.41168212890625,,,,
3,3,3,3,2019-02-08,291.8817443847656,,,,
4,4,4,4,2019-02-11,292.94158935546875,,,,
5,5,5,5,2019-02-12,299.6513061523437,,,,
6,6,6,6,2019-02-13,300.8084411621094,289.64508056640625,,0.03854151630634628,
7,7,7,7,2019-02-14,297.6772766113281,291.48297119140625,,0.0212510027416124,
8,8,8,8,2019-02-15,303.356201171875,289.41168212890625,,0.04818229499373761,
9,9,9,9,2019-02-19,302.64630126953125,291.8817443847656,,0.03687985662637239,
10,10,10,10,2019-02-20,304.8246154785156,292.94158935546875,,0.04056448983291161,
11,11,11,11,2019-02-21,306.1179504394531,299.6513061523437,,0.021580564323726792,
12,12,12,12,2019-02-22,308.4419860839844,300.8084411621094,289.64508056640625,0.02537676433674685,0.06489633961958008
13,13,13,13,2019-02-25,310.5423583984375,297.6772766113281,291.48297119140625,0.04321821918542712,0.06538765242143652
14,14,14,14,2019-02-26,311.04803466796875,303.356201171875,289.41168212890625,0.02535578131048566,0.07475977603912165
15,15,15,15,2019-02-27,314.63623046875,302.64630126953125,291.8817443847656,0.03961696921100222,0.07795789398184794
16,16,16,16,2019-02-28,314.7237854003906,304.8246154785156,292.94158935546875,0.032474968946766936,0.0743567893273438
17,17,17,17,2019-03-01,314.7043762207031,306.1179504394531,299.6513061523437,0.028049403077877733,0.050235289348968815
18,18,18,18,2019-03-04,312.0788879394531,308.4419860839844,300.8084411621094,0.01179120229915287,0.03746718919789216
19,19,19,19,2019-03-05,311.13555908203125,310.5423583984375,297.6772766113281,0.0019102085997320106,0.04521098359911213
20,20,20,20,2019-03-06,310.9994506835937,311.04803466796875,303.356201171875,-0.0001561944746795163,0.025195626402864324
21,21,21,21,2019-03-07,310.4450988769531,314.63623046875,302.64630126953125,-0.013320562560620752,0.025768686333544233
22,22,22,22,2019-03-08,308.9087829589844,314.7237854003906,304.8246154785156,-0.018476526755066947,0.01339841755908533
23,23,23,23,2019-03-11,314.2375793457031,314.7043762207031,306.1179504394531,-0.0014832868884944173,0.026524510877567575
24,24,24,24,2019-03-12,314.8113098144531,312.0788879394531,308.4419860839844,0.008755548614778785,0.020649989358888732
25,25,25,25,2019-03-13,317.33966064453125,311.13555908203125,310.5423583984375,0.019940188067234965,0.0218884865856932
26,26,26,26,2019-03-14,316.4838562011719,310.9994506835937,311.04803466796875,0.017634775577651807,0.01747582664846492
27,27,27,27,2019-03-15,317.2131652832031,310.4450988769531,314.63623046875,0.021801170096528377,0.00819020368574197
28,28,28,28,2019-03-18,322.3282165527344,308.9087829589844,314.7237854003906,0.043441411620632975,0.02416223846147947
29,29,29,29,2019-03-19,322.7657165527344,314.2375793457031,314.7043762207031,0.027139138561302234,0.025615596544414698
30,30,30,30,2019-03-20,321.598876953125,314.8113098144531,312.0788879394531,0.021560747428903904,0.030505072215967655
31,31,31,31,2019-03-21,324.798095703125,317.33966064453125,311.13555908203125,0.02350300319678089,0.043911845567904395
32,32,32,32,2019-03-22,320.38330078125,316.4838562011719,310.9994506835937,0.012321148468310783,0.030173204734060155
33,33,33,33,2019-03-25,321.8516540527344,317.2131652832031,310.4450988769531,0.014622623765914833,0.03674258417042142
34,34,34,34,2019-03-26,326.0233764648437,322.3282165527344,308.9087829589844,0.011463966610272713,0.05540338912322773
35,35,35,35,2019-03-27,326.31500244140625,322.7657165527344,314.2375793457031,0.01099647734145881,0.03843405082501716
36,36,36,36,2019-03-28,330.7201232910156,321.598876953125,314.8113098144531,0.028362183426468013,0.05053444072876223
37,37,37,37,2019-03-29,332.5385131835937,324.798095703125,317.33966064453125,0.02383147433088295,0.047894588745046596
38,38,38,38,2019-04-01,338.3341979980469,320.38330078125,316.4838562011719,0.056029440901020244,0.069040936429269
39,39,39,39,2019-04-02,338.6647644042969,321.8516540527344,317.2131652832031,0.052238694876515224,0.06762518542363183
40,40,40,40,2019-04-03,337.4298400878906,326.0233764648437,322.3282165527344,0.03498664343253588,0.04685169575492498
41,41,41,41,2019-04-04,335.6405944824219,326.31500244140625,322.7657165527344,0.028578496150173605,0.03988923627700092
42,42,42,42,2019-04-05,336.41278076171875,330.7201232910156,321.598876953125,0.017212915301479503,0.046063294589032244
43,43,43,43,2019-04-08,334.7962951660156,332.5385131835937,324.798095703125,0.006789535325718576,0.03078281429343499
44,44,44,44,2019-04-09,333.99786376953125,338.3341979980469,320.38330078125,-0.012816718659166226,0.042494608661195254
45,45,45,45,2019-04-10,333.9102783203125,338.6647644042969,321.8516540527344,-0.014038915717575207,0.03746640452437244
46,46,46,46,2019-04-11,337.3669738769531,337.4298400878906,326.0233764648437,-0.00018630898476890145,0.0347938161217487
47,47,47,47,2019-04-12,342.0311584472656,335.6405944824219,326.31500244140625,0.019039901817294647,0.04816252972825352
48,48,48,48,2019-04-15,342.1967163085937,336.41278076171875,330.7201232910156,0.017192972079653757,0.03470182855332116
49,49,49,49,2019-04-16,340.21026611328125,334.7962951660156,332.5385131835937,0.01617094043582834,0.023070268932885885
50,50,50,50,2019-04-17,338.82763671875,333.99786376953125,338.3341979980469,0.014460490539398796,0.001458435841315664
51,51,51,51,2019-04-18,340.5315856933594,333.9102783203125,338.6647644042969,0.019829600353587162,0.00551229854793478
52,52,52,52,2019-04-22,341.62213134765625,337.3669738769531,337.4298400878906,0.01261284535887941,0.012424186487696609
