,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,COF,COF_6m,COF_12m,COF_6m_ret,COF_12m_ret
0,0,0,0,2019-02-05,73.74861145019531,,,,
1,1,1,1,2019-02-06,73.0919418334961,,,,
2,2,2,2,2019-02-07,72.07955932617188,,,,
3,3,3,3,2019-02-08,71.34622192382812,,,,
4,4,4,4,2019-02-11,71.53871154785156,,,,
5,5,5,5,2019-02-12,73.14291381835938,,,,
6,6,6,6,2019-02-13,73.32625579833984,73.74861145019531,,-0.005726964122445888,
7,7,7,7,2019-02-14,72.97792053222656,73.0919418334961,,-0.0015599708861104844,
8,8,8,8,2019-02-15,74.77465057373047,72.07955932617188,,0.03739050672275712,
9,9,9,9,2019-02-19,75.3521499633789,71.34622192382812,,0.056147724876415506,
10,10,10,10,2019-02-20,75.82884216308594,71.53871154785156,,0.059969358161626296,
11,11,11,11,2019-02-21,75.23300170898438,73.14291381835938,,0.028575398237694616,
12,12,12,12,2019-02-22,74.4354476928711,73.32625579833984,73.74861145019531,0.015126803932028476,0.009313209146176504
13,13,13,13,2019-02-25,74.63713073730469,72.97792053222656,73.0919418334961,0.02273578354901784,0.02114034550249788
14,14,14,14,2019-02-26,74.16047668457031,74.77465057373047,72.07955932617188,-0.008213664449753022,0.02886972919717712
15,15,15,15,2019-02-27,75.40716552734375,75.3521499633789,71.34622192382812,0.0007301127305801014,0.05691883177572099
16,16,16,16,2019-02-28,76.6171875,75.82884216308594,71.53871154785156,0.010396378402014461,0.07098920070361481
17,17,17,17,2019-03-01,77.24054718017578,75.23300170898438,73.14291381835938,0.026684372889399954,0.05602228770913231
18,18,18,18,2019-03-04,76.36970520019531,74.4354476928711,73.32625579833984,0.02598570395257349,0.0415055885333282
19,19,19,19,2019-03-05,76.0580062866211,74.63713073730469,72.97792053222656,0.019037113770053127,0.042205721017144926
20,20,20,20,2019-03-06,75.6363296508789,74.16047668457031,74.77465057373047,0.019900802048318678,0.011523679088259797
21,21,21,21,2019-03-07,74.50880432128906,75.40716552734375,75.3521499633789,-0.011913472675603054,-0.011192058123088877
22,22,22,22,2019-03-08,74.59130096435547,76.6171875,75.82884216308594,-0.02644167192439073,-0.01632019114928429
23,23,23,23,2019-03-11,75.94800567626953,77.24054718017578,75.23300170898438,-0.016733976532962602,0.009503860686709276
24,24,24,24,2019-03-12,76.03966522216797,76.36970520019531,74.4354476928711,-0.00432160864261788,0.02155179526716977
25,25,25,25,2019-03-13,76.76385498046875,76.0580062866211,74.63713073730469,0.009280399635873904,0.028494185429626784
26,26,26,26,2019-03-14,76.27803039550781,75.6363296508789,74.16047668457031,0.008484028080035788,0.028553669091747835
27,27,27,27,2019-03-15,77.30470275878906,74.50880432128906,75.40716552734375,0.037524403497925185,0.025163884866581165
28,28,28,28,2019-03-18,77.82723999023438,74.59130096435547,76.6171875,0.0433822575024565,0.01579348615784637
29,29,29,29,2019-03-19,77.37804412841797,75.94800567626953,77.24054718017578,0.018829177137896336,0.0017801135965731518
