,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,OMC,OMC_6m,OMC_12m,OMC_6m_ret,OMC_12m_ret
0,0,0,0,2019-02-05,65.12126922607422,,,,
1,1,1,1,2019-02-06,61.88016128540039,,,,
2,2,2,2,2019-02-07,61.97989654541016,,,,
3,3,3,3,2019-02-08,62.079620361328125,,,,
4,4,4,4,2019-02-11,61.39815902709961,,,,
5,5,5,5,2019-02-12,61.57268905639648,,,,
6,6,6,6,2019-02-13,61.07404708862305,65.12126922607422,,-0.06214900577875537,
7,7,7,7,2019-02-14,61.7305908203125,61.88016128540039,,-0.0024170988242588898,
8,8,8,8,2019-02-15,62.32894515991211,61.97989654541016,,0.005631642418864269,
9,9,9,9,2019-02-19,62.30400466918945,62.079620361328125,,0.003614460052353996,
10,10,10,10,2019-02-20,62.37050628662109,61.39815902709961,,0.01583674942260571,
11,11,11,11,2019-02-21,62.2541618347168,61.57268905639648,,0.01106777678162052,
12,12,12,12,2019-02-22,62.85250473022461,61.07404708862305,65.12126922607422,0.029119695294154813,-0.03483907059571267
13,13,13,13,2019-02-25,62.61150360107422,61.7305908203125,61.88016128540039,0.014270279436104927,0.011818687936199224
14,14,14,14,2019-02-26,62.76108551025391,62.32894515991211,61.97989654541016,0.006933220981569566,0.012603908821813059
15,15,15,15,2019-02-27,62.61150360107422,62.30400466918945,62.079620361328125,0.004935460144455783,0.00856775922034192
16,16,16,16,2019-02-28,62.91067123413086,62.37050628662109,61.39815902709961,0.008660583017034762,0.024634487922734927
17,17,17,17,2019-03-01,63.758338928222656,62.2541618347168,61.57268905639648,0.024161872060849632,0.035497067049065745
18,18,18,18,2019-03-04,63.53396987915039,62.85250473022461,61.07404708862305,0.010842291040759067,0.04027771054631124
19,19,19,19,2019-03-05,63.5007209777832,62.61150360107422,61.7305908203125,0.014202140590243273,0.028675088541161964
20,20,20,20,2019-03-06,62.51176452636719,62.76108551025391,62.32894515991211,-0.003972540975984096,0.00293313750114077
21,21,21,21,2019-03-07,61.88016128540039,62.61150360107422,62.30400466918945,-0.011680638119370812,-0.006802827298815095
22,22,22,22,2019-03-08,62.022705078125,62.91067123413086,62.37050628662109,-0.014114714381303739,-0.00557637301992997
23,23,23,23,2019-03-11,63.305397033691406,63.758338928222656,62.2541618347168,-0.007104041638242187,0.01688618347742943
24,24,24,24,2019-03-12,63.08742904663086,63.53396987915039,62.85250473022461,-0.007028379202006496,0.003737708105899573
25,25,25,25,2019-03-13,62.95330047607422,63.5007209777832,62.61150360107422,-0.008620697423270318,0.005459010810181741
26,26,26,26,2019-03-14,63.41439437866211,62.51176452636719,62.76108551025391,0.01443935968107568,0.010409457757091456
27,27,27,27,2019-03-15,63.27186584472656,61.88016128540039,62.61150360107422,0.022490318874694326,0.01054697947935912
28,28,28,28,2019-03-18,62.52572250366211,62.022705078125,62.91067123413086,0.008110214233698843,-0.006118973505084835
29,29,29,29,2019-03-19,63.47307586669922,63.305397033691406,63.758338928222656,0.002648728874073303,-0.004474129444378749
30,30,30,30,2019-03-20,62.29098892211914,63.08742904663086,63.53396987915039,-0.012624387085468869,-0.01956403730784584
31,31,31,31,2019-03-21,62.89459991455078,62.95330047607422,63.5007209777832,-0.0009324461319664135,-0.009545105219269656
32,32,32,32,2019-03-22,61.25977325439453,63.41439437866211,62.51176452636719,-0.03397684619365493,-0.020028090415598054
33,33,33,33,2019-03-25,60.56393051147461,63.27186584472656,61.88016128540039,-0.042798411222729094,-0.021270642263764183
34,34,34,34,2019-03-26,60.865753173828125,62.52572250366211,62.022705078125,-0.026548582940992937,-0.018653683402546806
35,35,35,35,2019-03-27,61.08371353149414,63.47307586669922,63.305397033691406,-0.03764371432421232,-0.035094693443196934
36,36,36,36,2019-03-28,61.419071197509766,62.29098892211914,63.08742904663086,-0.013997493693662655,-0.026445171000516354
37,37,37,37,2019-03-29,61.19269943237305,62.89459991455078,62.95330047607422,-0.027059564485503618,-0.02796677903123279
