,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NTRS,NTRS_6m,NTRS_12m,NTRS_6m_ret,NTRS_12m_ret
0,0,0,0,2019-02-05,77.09893035888672,,,,
1,1,1,1,2019-02-06,77.58824157714844,,,,
2,2,2,2,2019-02-07,77.1160888671875,,,,
3,3,3,3,2019-02-08,76.9529800415039,,,,
4,4,4,4,2019-02-11,76.94438934326172,,,,
5,5,5,5,2019-02-12,79.02189636230469,,,,
6,6,6,6,2019-02-13,78.94461822509766,77.09893035888672,,0.023939214949149967,
7,7,7,7,2019-02-14,78.36087036132812,77.58824157714844,,0.009958065403653293,
8,8,8,8,2019-02-15,79.91468811035156,77.1160888671875,,0.03629073108186187,
9,9,9,9,2019-02-19,79.83744049072266,76.9529800415039,,0.037483414517060165,
10,10,10,10,2019-02-20,80.24091339111328,76.94438934326172,,0.0428429424937693,
11,11,11,11,2019-02-21,79.57130432128906,79.02189636230469,,0.006952604079069502,
12,12,12,12,2019-02-22,79.52837371826172,78.94461822509766,77.09893035888672,0.0073944938399674864,0.031510727166592645
13,13,13,13,2019-02-25,79.56272888183594,78.36087036132812,77.58824157714844,0.01533748304435556,0.025448280107291943
14,14,14,14,2019-02-26,79.78592681884766,79.91468811035156,77.1160888671875,-0.0016112343618998048,0.03462102384702437
15,15,15,15,2019-02-27,80.0606460571289,79.83744049072266,76.9529800415039,0.00279575052800185,0.04038395932098937
16,16,16,16,2019-02-28,80.0091323852539,80.24091339111328,76.94438934326172,-0.002888563901679686,0.0398306240149604
17,17,17,17,2019-03-01,79.94902038574219,79.57130432128906,79.02189636230469,0.00474688793497724,0.011732495246466357
18,18,18,18,2019-03-04,79.61422729492188,79.52837371826172,78.94461822509766,0.0010795339153331085,0.008482010362187653
19,19,19,19,2019-03-05,79.76017761230469,79.56272888183594,78.36087036132812,0.0024816736836916764,0.017857219356092413
20,20,20,20,2019-03-06,78.97895812988281,79.78592681884766,79.91468811035156,-0.010114173277663951,-0.011709111336036693
21,21,21,21,2019-03-07,77.75194549560547,80.0606460571289,79.83744049072266,-0.028836896468160123,-0.026121766708685157
22,22,22,22,2019-03-08,77.36309814453125,80.0091323852539,80.24091339111328,-0.033071652720612854,-0.03586468704007484
23,23,23,23,2019-03-11,77.5877685546875,79.94902038574219,79.57130432128906,-0.02953446858588127,-0.02492777746350039
24,24,24,24,2019-03-12,77.89020538330078,79.61422729492188,79.52837371826172,-0.021654696279782337,-0.020598539343509414
25,25,25,25,2019-03-13,79.47151947021484,79.76017761230469,79.56272888183594,-0.0036190759691251406,-0.0011463836510252623
26,26,26,26,2019-03-14,81.6490478515625,78.97895812988281,79.78592681884766,0.03380760882270262,0.023351499531302444
27,27,27,27,2019-03-15,82.0206298828125,77.75194549560547,80.0606460571289,0.05490131931744768,0.024481239188165027
28,28,28,28,2019-03-18,83.066162109375,77.36309814453125,80.0091323852539,0.07371814342529537,0.03820850986611268
29,29,29,29,2019-03-19,82.1415786743164,77.5877685546875,79.94902038574219,0.058692371290703704,0.027424454708706136
30,30,30,30,2019-03-20,79.86034393310547,77.89020538330078,79.61422729492188,0.025293790664815408,0.0030913650304220663
31,31,31,31,2019-03-21,80.0936508178711,79.47151947021484,79.76017761230469,0.007828356017395954,0.004180948633130344
32,32,32,32,2019-03-22,76.55084228515625,81.6490478515625,78.97895812988281,-0.06244047788131901,-0.030743832309530705
33,33,33,33,2019-03-25,75.67809295654297,82.0206298828125,77.75194549560547,-0.07732855667325977,-0.026672677138087963
34,34,34,34,2019-03-26,77.34580993652344,83.066162109375,77.36309814453125,-0.06886501106575083,-0.00022346840318510086
35,35,35,35,2019-03-27,76.96560668945312,82.1415786743164,77.5877685546875,-0.06301281358842059,-0.008018813748920328
36,36,36,36,2019-03-28,77.8297119140625,79.86034393310547,77.89020538330078,-0.025427288677142612,-0.0007766505293007597
37,37,37,37,2019-03-29,78.12350463867188,80.0936508178711,79.47151947021484,-0.02459803191740173,-0.016962238051182466
38,38,38,38,2019-04-01,80.10228729248047,76.55084228515625,81.6490478515625,0.04639328453232272,-0.01894401220567854
39,39,39,39,2019-04-02,80.60347747802734,75.67809295654297,82.0206298828125,0.06508335938529397,-0.017277999532677613
40,40,40,40,2019-04-03,81.33797454833984,77.34580993652344,83.066162109375,0.05161449101241189,-0.020804952548061806
41,41,41,41,2019-04-04,81.86506652832031,76.96560668945312,82.1415786743164,0.063657782347327,-0.003366287213597885
42,42,42,42,2019-04-05,82.1415786743164,77.8297119140625,79.86034393310547,0.055401294110081656,0.028565300734514798
43,43,43,43,2019-04-08,81.57128143310547,78.12350463867188,80.0936508178711,0.04413238769023309,0.01844878589183585
44,44,44,44,2019-04-09,80.73309326171875,80.10228729248047,76.55084228515625,0.007875005702833393,0.05463363761542128
45,45,45,45,2019-04-10,80.70718383789062,80.60347747802734,75.67809295654297,0.0012866238915256734,0.06645372108194558
46,46,46,46,2019-04-11,80.90591430664062,81.33797454833984,77.34580993652344,-0.005311912966832533,0.04602840636149419
47,47,47,47,2019-04-12,81.70088958740234,81.86506652832031,76.96560668945312,-0.0020054578574265625,0.061524661490105714
48,48,48,48,2019-04-15,81.26020812988281,82.1415786743164,77.8297119140625,-0.010729895366731967,0.044076948654367065
49,49,49,49,2019-04-16,82.62548065185547,81.57128143310547,78.12350463867188,0.012923656466210076,0.057626395973985334
50,50,50,50,2019-04-17,79.86034393310547,80.73309326171875,80.10228729248047,-0.010810304589519704,-0.003020430096978166
51,51,51,51,2019-04-18,79.3851089477539,80.70718383789062,80.60347747802734,-0.016381130244765507,-0.015115582706782926
52,52,52,52,2019-04-22,79.3851089477539,80.90591430664062,81.33797454833984,-0.018797208732141968,-0.024009272562170003
53,53,53,53,2019-04-23,82.9020004272461,81.70088958740234,81.86506652832031,0.014701318993091572,0.01266637825997563
54,54,54,54,2019-04-24,84.44871520996094,81.26020812988281,82.1415786743164,0.03923823422876005,0.02808731671437803
55,55,55,55,2019-04-25,84.31047821044922,82.62548065185547,81.57128143310547,0.020393195238325168,0.03358040635404369
56,56,56,56,2019-04-26,84.4400863647461,79.86034393310547,80.73309326171875,0.057346890910923376,0.045916648963394646
57,57,57,57,2019-04-29,85.17457580566406,79.3851089477539,80.70718383789062,0.07292887714899288,0.05535308946904527
58,58,58,58,2019-04-30,85.15731048583984,79.3851089477539,80.90591430664062,0.07271138900728635,0.052547409118770316
59,59,59,59,2019-05-01,84.30182647705078,82.9020004272461,81.70088958740234,0.016885310880202065,0.031834866214840885
60,60,60,60,2019-05-02,85.08819580078125,84.44871520996094,81.26020812988281,0.007572413496527375,0.04710777585974113
61,61,61,61,2019-05-03,85.96092224121094,84.31047821044922,82.62548065185547,0.0195757877999696,0.04036819590084373
62,62,62,62,2019-05-06,85.37333679199219,84.4400863647461,79.86034393310547,0.01105222018858254,0.06903292156498408
63,63,63,63,2019-05-07,84.23269653320312,85.17457580566406,79.3851089477539,-0.011058220878140346,0.06106419263894414
64,64,64,64,2019-05-08,83.69696807861328,85.15731048583984,79.3851089477539,-0.017148761496752485,0.05431571724235029
65,65,65,65,2019-05-09,83.79199981689453,84.30182647705078,82.9020004272461,-0.006047634807711311,0.010735559878672474
66,66,66,66,2019-05-10,84.30182647705078,85.08819580078125,84.44871520996094,-0.009241814523504699,-0.001739383868007427
67,67,67,67,2019-05-13,81.18241882324219,85.96092224121094,84.31047821044922,-0.055589252574094195,-0.03710166818647398
68,68,68,68,2019-05-14,82.011962890625,85.37333679199219,84.4400863647461,-0.03937264288447584,-0.028755577814459032
69,69,69,69,2019-05-15,81.43302917480469,84.23269653320312,85.17457580566406,-0.033237299452889446,-0.04392797493228684
70,70,70,70,2019-05-16,81.8996353149414,83.69696807861328,85.15731048583984,-0.021474287598849617,-0.038254791659256715
71,71,71,71,2019-05-17,80.7244644165039,83.79199981689453,84.30182647705078,-0.03660892933805038,-0.04243516671042391
72,72,72,72,2019-05-20,80.79359436035156,84.30182647705078,85.08819580078125,-0.04161513769401248,-0.05047235283357898
73,73,73,73,2019-05-21,81.70954132080078,81.18241882324219,85.96092224121094,0.006493062231938351,-0.04945713481854641
74,74,74,74,2019-05-22,80.672607421875,82.011962890625,85.37333679199219,-0.016331220733446283,-0.055060860296116565
75,75,75,75,2019-05-23,77.88155364990234,81.43302917480469,84.23269653320312,-0.04361222419073618,-0.07539997108839158
76,76,76,76,2019-05-24,78.92711639404297,81.8996353149414,83.69696807861328,-0.03629465393182463,-0.05698953969384146
77,77,77,77,2019-05-28,77.31990051269531,80.7244644165039,83.79199981689453,-0.04217511913417593,-0.07724006251601934
78,78,78,78,2019-05-29,77.28532409667969,80.79359436035156,84.30182647705078,-0.04342262887852799,-0.08323072789272457
79,79,79,79,2019-05-30,75.74720001220703,81.70954132080078,81.18241882324219,-0.0729699520057876,-0.06695068821328443
80,80,80,80,2019-05-31,73.89805603027344,80.672607421875,82.011962890625,-0.0839758575816727,-0.09893565004867211
81,81,81,81,2019-06-03,74.19184112548828,77.88155364990234,81.43302917480469,-0.047375949136817086,-0.08892200281254947
