,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SPGI,SPGI_6m,SPGI_12m,SPGI_6m_ret,SPGI_12m_ret
0,0,0,0,2019-02-05,186.3970947265625,,,,
1,1,1,1,2019-02-06,184.5321502685547,,,,
2,2,2,2,2019-02-07,186.49269104003903,,,,
3,3,3,3,2019-02-08,185.14425659179688,,,,
4,4,4,4,2019-02-11,185.66070556640625,,,,
5,5,5,5,2019-02-12,186.73182678222656,,,,
6,6,6,6,2019-02-13,188.5775909423828,186.3970947265625,,0.011698123401649774,
7,7,7,7,2019-02-14,187.32473754882807,184.5321502685547,,0.015133337340995867,
8,8,8,8,2019-02-15,189.6678924560547,186.49269104003903,,0.017025875911318877,
9,9,9,9,2019-02-19,189.0271148681641,185.14425659179688,,0.020972069821901584,
10,10,10,10,2019-02-20,189.3809967041016,185.66070556640625,,0.020038118062438715,
11,11,11,11,2019-02-21,189.5052795410156,186.73182678222656,,0.014852598009569729,
12,12,12,12,2019-02-22,193.07257080078125,188.5775909423828,186.3970947265625,0.023836235450541032,0.03581319807592176
13,13,13,13,2019-02-25,193.67681884765625,187.32473754882807,184.5321502685547,0.033909463223843916,0.04955596391085826
14,14,14,14,2019-02-26,193.23562622070312,189.6678924560547,186.49269104003903,0.01881042552036094,0.03615656540242873
15,15,15,15,2019-02-27,193.4658203125,189.0271148681641,185.14425659179688,0.023481845170369553,0.04494637788873135
16,16,16,16,2019-02-28,192.1709899902344,189.3809967041016,185.66070556640625,0.014732171309099318,0.03506549435954609
17,17,17,17,2019-03-01,193.5809020996093,189.5052795410156,186.73182678222656,0.021506643870107034,0.03667867141561443
18,18,18,18,2019-03-04,191.710678100586,193.07257080078125,188.5775909423828,-0.007053786535014872,0.016614313198859643
19,19,19,19,2019-03-05,189.8596649169922,193.67681884765625,187.32473754882807,-0.01970888386837144,0.013532261682754898
20,20,20,20,2019-03-06,189.245849609375,193.23562622070312,189.6678924560547,-0.020647210296362295,-0.002225167587484367
21,21,21,21,2019-03-07,188.44021606445312,193.4658203125,189.0271148681641,-0.025976703481416785,-0.003104839240234414
22,22,22,22,2019-03-08,188.29635620117188,192.1709899902344,189.3809967041016,-0.020162428206564553,-0.005727293243811604
23,23,23,23,2019-03-11,189.1691131591797,193.5809020996093,189.5052795410156,-0.022790414201910636,-0.001773915653696334
24,24,24,24,2019-03-12,189.4185028076172,191.710678100586,193.07257080078125,-0.011956429947872604,-0.018925878378314276
25,25,25,25,2019-03-13,191.5284423828125,189.8596649169922,193.67681884765625,0.0087895312917039,-0.011092584428153196
26,26,26,26,2019-03-14,193.3507232666016,189.245849609375,193.23562622070312,0.02169069316816996,0.0005956305684906571
27,27,27,27,2019-03-15,194.86602783203125,188.44021606445312,193.4658203125,0.0341000021215232,0.007237492996279737
28,28,28,28,2019-03-18,197.3021545410156,188.29635620117188,192.1709899902344,0.04782778871313953,0.026701036150367674
