,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CDW,CDW_6m,CDW_12m,CDW_6m_ret,CDW_12m_ret
0,0,0,0,2019-02-05,80.747314453125,,,,
1,1,1,1,2019-02-06,80.61512756347656,,,,
2,2,2,2,2019-02-07,85.9869384765625,,,,
3,3,3,3,2019-02-08,85.26000213623047,,,,
4,4,4,4,2019-02-11,85.44884490966797,,,,
5,5,5,5,2019-02-12,87.5352554321289,,,,
6,6,6,6,2019-02-13,87.52581024169922,80.747314453125,,0.08394701216359635,
7,7,7,7,2019-02-14,88.60205841064453,80.61512756347656,,0.09907483977965592,
8,8,8,8,2019-02-15,89.53669738769531,85.9869384765625,,0.041282536324983576,
9,9,9,9,2019-02-19,89.3856430053711,85.26000213623047,,0.048388936966581086,
10,10,10,10,2019-02-20,89.48951721191406,85.44884490966797,,0.047287617597612686,
11,11,11,11,2019-02-21,89.6877670288086,87.5352554321289,,0.024590224659236437,
12,12,12,12,2019-02-22,90.67738342285156,87.52581024169922,80.747314453125,0.036007357971887366,0.12297708025312848
13,13,13,13,2019-02-25,90.50695037841795,88.60205841064453,80.61512756347656,0.021499409855071372,0.12270430022147583
14,14,14,14,2019-02-26,90.22280883789062,89.53669738769531,85.9869384765625,0.007662907726252666,0.04926178831780015
15,15,15,15,2019-02-27,89.91030883789062,89.3856430053711,85.26000213623047,0.005869687959709546,0.054542652886986565
16,16,16,16,2019-02-28,88.91593933105469,89.48951721191406,85.44884490966797,-0.006409442119361564,0.04057508823029665
17,17,17,17,2019-03-01,89.80614471435547,89.6877670288086,87.5352554321289,0.0013198866408263843,0.02594256760908542
18,18,18,18,2019-03-04,89.2663345336914,90.67738342285156,87.52581024169922,-0.015561199892370925,0.019885840384519682
19,19,19,19,2019-03-05,88.86858367919922,90.50695037841795,88.60205841064453,-0.018102109201211358,0.003008115988901938
20,20,20,20,2019-03-06,88.27197265625,90.22280883789062,89.53669738769531,-0.021622427928904564,-0.014125210872688698
21,21,21,21,2019-03-07,86.87036895751953,89.91030883789062,89.3856430053711,-0.03381080456360286,-0.028139575476348266
22,22,22,22,2019-03-08,87.41019439697266,88.91593933105469,89.48951721191406,-0.01693447705113693,-0.023235378620017566
23,23,23,23,2019-03-11,89.69248962402344,89.80614471435547,89.6877670288086,-0.0012655602875898397,5.26559571198959e-05
24,24,24,24,2019-03-12,90.90469360351562,89.2663345336914,90.67738342285156,0.018353605291206998,0.0025068012781539473
25,25,25,25,2019-03-13,91.83275604248048,88.86858367919922,90.50695037841795,0.03335455838906398,0.014648661329535573
26,26,26,26,2019-03-14,91.5013198852539,88.27197265625,90.22280883789062,0.03658406096326505,0.014170596812835612
27,27,27,27,2019-03-15,92.63772583007812,86.87036895751953,89.91030883789062,0.06639038076814074,0.03033486401548302
28,28,28,28,2019-03-18,91.88957977294922,87.41019439697266,88.91593933105469,0.051245571604994655,0.0334432775975404
29,29,29,29,2019-03-19,92.38204193115234,89.69248962402344,89.80614471435547,0.029986371416414803,0.02868286156799149
30,30,30,30,2019-03-20,92.02216339111328,90.90469360351562,89.2663345336914,0.012292762268926838,0.030871984066756397
31,31,31,31,2019-03-21,93.3574676513672,91.83275604248048,88.86858367919922,0.016603134595910563,0.05051148320729526
32,32,32,32,2019-03-22,90.7910385131836,91.5013198852539,88.27197265625,-0.007762525971876988,0.028537550268003864
33,33,33,33,2019-03-25,90.59217834472656,92.63772583007812,86.87036895751953,-0.022081149629079144,0.04284325520738874
34,34,34,34,2019-03-26,90.63005065917967,91.88957977294922,87.41019439697266,-0.01370698524121805,0.036836164070109145
35,35,35,35,2019-03-27,89.20951080322266,92.38204193115234,89.69248962402344,-0.03434142677095198,-0.005384830132660556
36,36,36,36,2019-03-28,90.07131958007812,92.02216339111328,90.90469360351562,-0.02119971688498201,-0.009167557695890727
37,37,37,37,2019-03-29,91.26455688476562,93.3574676513672,91.83275604248048,-0.02241824697320749,-0.006187325549197431
38,38,38,38,2019-04-01,93.39534759521484,90.7910385131836,91.5013198852539,0.02868464910942814,0.02069945780384508
