,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WMB,WMB_6m,WMB_12m,WMB_6m_ret,WMB_12m_ret
0,0,0,0,2019-02-05,20.04727363586425,,,,
1,1,1,1,2019-02-06,19.83470726013184,,,,
2,2,2,2,2019-02-07,19.5561752319336,,,,
3,3,3,3,2019-02-08,19.702768325805664,,,,
4,4,4,4,2019-02-11,19.58549118041992,,,,
5,5,5,5,2019-02-12,19.592819213867188,,,,
6,6,6,6,2019-02-13,19.812721252441406,20.04727363586425,,-0.011699964178831457,
7,7,7,7,2019-02-14,19.6881103515625,19.83470726013184,,-0.007390928771810135,
8,8,8,8,2019-02-15,19.98863410949707,19.5561752319336,,0.02211367368284267,
9,9,9,9,2019-02-19,20.09858512878418,19.702768325805664,,0.020089400455472806,
10,10,10,10,2019-02-20,20.04727363586425,19.58549118041992,,0.023577782716319495,
11,11,11,11,2019-02-21,19.83470726013184,19.592819213867188,,0.012345749921147231,
12,12,12,12,2019-02-22,19.8713607788086,19.812721252441406,20.04727363586425,0.002959690676512583,-0.008774901777214517
13,13,13,13,2019-02-25,20.04727363586425,19.6881103515625,19.83470726013184,0.018242648882412782,0.010716889992103518
14,14,14,14,2019-02-26,19.76873779296875,19.98863410949707,19.5561752319336,-0.011001067672945286,0.010869331989215025
15,15,15,15,2019-02-27,19.85670280456543,20.09858512878418,19.702768325805664,-0.012034793626957252,0.007812835039944677
16,16,16,16,2019-02-28,19.563501358032227,20.04727363586425,19.58549118041992,-0.024131574528247213,-0.001122760832757419
17,17,17,17,2019-03-01,20.105918884277344,19.83470726013184,19.592819213867188,0.013673588452230101,0.026188149076933342
18,18,18,18,2019-03-04,20.08392906188965,19.8713607788086,19.812721252441406,0.010697218245251605,0.013688569378869309
19,19,19,19,2019-03-05,20.11324691772461,20.04727363586425,19.6881103515625,0.0032908854869089232,0.02159356883777175
20,20,20,20,2019-03-06,20.04727363586425,19.76873779296875,19.98863410949707,0.014089713051612662,0.002933643491894289
21,21,21,21,2019-03-07,20.02497673034668,19.85670280456543,20.09858512878418,0.008474414279019182,-0.003662367174895431
22,22,22,22,2019-03-08,20.017547607421875,19.563501358032227,20.04727363586425,0.023208843911942667,-0.0014827965628800843
23,23,23,23,2019-03-11,20.337167739868164,20.105918884277344,19.83470726013184,0.011501531311342017,0.025332386969294074
24,24,24,24,2019-03-12,20.46353340148925,20.08392906188965,19.8713607788086,0.01890090023868507,0.029800305538821403
25,25,25,25,2019-03-13,20.58989906311035,20.11324691772461,20.04727363586425,0.023698418626069584,0.027067292894897843
26,26,26,26,2019-03-14,20.61219787597656,20.04727363586425,19.76873779296875,0.028179604387783996,0.0426663599791286
27,27,27,27,2019-03-15,20.4858341217041,20.02497673034668,19.85670280456543,0.023014128683556345,0.031683574223310806
