,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AEE,AEE_6m,AEE_12m,AEE_6m_ret,AEE_12m_ret
0,0,0,0,2019-02-05,60.14073181152344,,,,
1,1,1,1,2019-02-06,60.18441009521485,,,,
2,2,2,2,2019-02-07,60.90953826904297,,,,
3,3,3,3,2019-02-08,61.56474685668945,,,,
4,4,4,4,2019-02-11,61.818119049072266,,,,
5,5,5,5,2019-02-12,61.32013702392578,,,,
6,6,6,6,2019-02-13,61.20655822753906,60.14073181152344,,0.017722205631881094,
7,7,7,7,2019-02-14,60.30672836303711,60.18441009521485,,0.0020323912393382937,
8,8,8,8,2019-02-15,60.87457656860352,60.90953826904297,,-0.0005739938510946896,
9,9,9,9,2019-02-19,61.23276901245117,61.56474685668945,,-0.005392336705469791,
10,10,10,10,2019-02-20,61.50358963012695,61.818119049072266,,-0.005087981060951319,
11,11,11,11,2019-02-21,62.20249557495117,61.32013702392578,,0.014389376701508638,
12,12,12,12,2019-02-22,63.05866622924805,61.20655822753906,60.14073181152344,0.03025995996742159,0.048518438832257704
13,13,13,13,2019-02-25,61.92292785644531,60.30672836303711,60.18441009521485,0.02679965465343992,0.028886513276113135
14,14,14,14,2019-02-26,61.34634017944336,60.87457656860352,60.90953826904297,0.00774976414510542,0.007171321977043954
15,15,15,15,2019-02-27,61.52106094360352,61.23276901245117,61.56474685668945,0.004708131541360405,-0.0007095929946341339
16,16,16,16,2019-02-28,62.237449645996094,61.50358963012695,61.818119049072266,0.011931986739025513,0.006783295955526514
17,17,17,17,2019-03-01,61.96660614013672,62.20249557495117,61.32013702392578,-0.0037922824901810426,0.010542525630017785
18,18,18,18,2019-03-04,62.28987884521485,63.05866622924805,61.20655822753906,-0.012191621390124086,0.017699420602094396
19,19,19,19,2019-03-05,62.08892822265625,61.92292785644531,60.30672836303711,0.002680757708934056,0.029552255743183098
20,20,20,20,2019-03-06,62.08892822265625,61.34634017944336,60.87457656860352,0.01210484669567502,0.01994842054768453
21,21,21,21,2019-03-07,62.219974517822266,61.52106094360352,61.23276901245117,0.011360557888613787,0.016122176430896973
22,22,22,22,2019-03-08,62.63932037353516,62.237449645996094,61.50358963012695,0.006457056480059675,0.01846608873137834
23,23,23,23,2019-03-11,63.399375915527344,61.96660614013672,62.20249557495117,0.023121643488920984,0.01924167719499259
24,24,24,24,2019-03-12,63.64120864868164,62.28987884521485,63.05866622924805,0.021694211459693635,0.009238102457095776
25,25,25,25,2019-03-13,64.14244842529297,62.08892822265625,61.92292785644531,0.033073854895233845,0.035843275595642377
26,26,26,26,2019-03-14,63.85226440429688,62.08892822265625,61.34634017944336,0.028400171046875755,0.04084879745920422
27,27,27,27,2019-03-15,64.23039245605469,62.219974517822266,61.52106094360352,0.0323114555062467,0.04403908955560465
28,28,28,28,2019-03-18,63.76431655883789,62.63932037353516,62.237449645996094,0.017959904076130906,0.024532928671186616
29,29,29,29,2019-03-19,63.315826416015625,63.399375915527344,61.96660614013672,-0.0013178284218923197,0.021773344708078124
30,30,30,30,2019-03-20,63.518104553222656,63.64120864868164,62.28987884521485,-0.0019343456554785643,0.019717901700528895
31,31,31,31,2019-03-21,64.4238510131836,64.14244842529297,62.08892822265625,0.004387150705953635,0.037606105587039806
32,32,32,32,2019-03-22,64.85474395751953,63.85226440429688,62.08892822265625,0.01569998437134812,0.04454603765980347
33,33,33,33,2019-03-25,65.33841705322266,64.23039245605469,62.219974517822266,0.017250783543414583,0.050119636974572224
34,34,34,34,2019-03-26,65.73413848876953,63.76431655883789,62.63932037353516,0.030892229953002115,0.04940695551578678
35,35,35,35,2019-03-27,65.4175796508789,63.315826416015625,63.399375915527344,0.03319475325258714,0.03183317984140088
36,36,36,36,2019-03-28,64.59973907470703,63.518104553222656,63.64120864868164,0.017028759423670436,0.01506147426138238
37,37,37,37,2019-03-29,64.67888641357422,64.4238510131836,64.14244842529297,0.003958710887035144,0.008363229054251686
38,38,38,38,2019-04-01,64.01055145263672,64.85474395751953,63.85226440429688,-0.013016665449111398,0.0024789574781185486
39,39,39,39,2019-04-02,63.80827331542969,65.33841705322266,64.23039245605469,-0.02341874515488429,-0.006571953314995049
40,40,40,40,2019-04-03,63.526893615722656,65.73413848876953,63.76431655883789,-0.033578364663955806,-0.003723445273598358
41,41,41,41,2019-04-04,62.92889022827149,65.4175796508789,63.315826416015625,-0.03804312901652851,-0.006111208044601302
42,42,42,42,2019-04-05,63.658782958984375,64.59973907470703,63.518104553222656,-0.014565942977486035,0.00221477650744184
43,43,43,43,2019-04-08,63.0256233215332,64.67888641357422,64.4238510131836,-0.02556109394756123,-0.021703572041420816
44,44,44,44,2019-04-09,63.33341979980469,64.01055145263672,64.85474395751953,-0.010578438046000338,-0.02345740750609282
45,45,45,45,2019-04-10,62.87614822387695,63.80827331542969,65.33841705322266,-0.014608216820801156,-0.03768485586879178
46,46,46,46,2019-04-11,63.17511749267578,63.526893615722656,65.73413848876953,-0.005537436241960569,-0.038929862852480346
47,47,47,47,2019-04-12,63.298248291015625,62.92889022827149,65.4175796508789,0.005869451398305303,-0.03239696991502505
48,48,48,48,2019-04-15,63.342227935791016,63.658782958984375,64.59973907470703,-0.004972684184008314,-0.019466195327225044
49,49,49,49,2019-04-16,62.30455017089844,63.0256233215332,64.67888641357422,-0.011440952308493957,-0.0367096029992483
50,50,50,50,2019-04-17,62.0934944152832,63.33341979980469,64.01055145263672,-0.019577742500576423,-0.029949078610453816
51,51,51,51,2019-04-18,61.97916793823242,62.87614822387695,63.80827331542969,-0.014265827519375773,-0.02866564603864563
52,52,52,52,2019-04-22,62.01433944702149,63.17511749267578,63.526893615722656,-0.0183739752567752,-0.023809666782239947
53,53,53,53,2019-04-23,62.568359375,63.298248291015625,62.92889022827149,-0.011530949682208247,-0.005729178632638887
