,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PARA,PARA_6m,PARA_12m,PARA_6m_ret,PARA_12m_ret
0,0,0,0,2019-02-05,43.482723236083984,,,,
1,1,1,1,2019-02-06,43.4565315246582,,,,
2,2,2,2,2019-02-07,42.90656280517578,,,,
3,3,3,3,2019-02-08,43.26448440551758,,,,
4,4,4,4,2019-02-11,41.98120880126953,,,,
5,5,5,5,2019-02-12,42.23438262939453,,,,
6,6,6,6,2019-02-13,42.27802658081055,43.482723236083984,,-0.027705179565978177,
7,7,7,7,2019-02-14,42.862911224365234,43.4565315246582,,-0.01366009387923961,
8,8,8,8,2019-02-15,44.2072868347168,42.90656280517578,,0.030315269844549464,
9,9,9,9,2019-02-19,44.146183013916016,43.26448440551758,,0.0203792699835339,
10,10,10,10,2019-02-20,44.6961555480957,41.98120880126953,,0.06467052341627832,
11,11,11,11,2019-02-21,44.45173263549805,42.23438262939453,,0.05250106354248607,
12,12,12,12,2019-02-22,45.1239128112793,42.27802658081055,43.482723236083984,0.0673136014290805,0.03774348644827685
13,13,13,13,2019-02-25,44.154903411865234,42.862911224365234,43.4565315246582,0.030142427347901846,0.01607058508134185
14,14,14,14,2019-02-26,44.05888748168945,44.2072868347168,42.90656280517578,-0.0033568980060274534,0.026856606569628738
15,15,15,15,2019-02-27,43.31686019897461,44.146183013916016,43.26448440551758,-0.01878583284720181,0.00121059557687353
16,16,16,16,2019-02-28,43.831912994384766,44.6961555480957,41.98120880126953,-0.0193359483184401,0.0440841091993347
17,17,17,17,2019-03-01,44.33823394775391,44.45173263549805,42.23438262939453,-0.002553301772842409,0.049813710711024584
18,18,18,18,2019-03-04,43.744625091552734,45.1239128112793,42.27802658081055,-0.030566669284534886,0.034689379551311905
19,19,19,19,2019-03-05,43.82319259643555,44.154903411865234,42.862911224365234,-0.0075124344024847245,0.02240354993723437
20,20,20,20,2019-03-06,43.66605758666992,44.05888748168945,44.2072868347168,-0.008916019388433005,-0.012242987226753654
21,21,21,21,2019-03-07,42.89783477783203,43.31686019897461,44.146183013916016,-0.009673494782811987,-0.028277602973975635
22,22,22,22,2019-03-08,42.94164276123047,43.831912994384766,44.6961555480957,-0.020311005665400672,-0.03925422142799895
23,23,23,23,2019-03-11,43.00297164916992,44.33823394775391,44.45173263549805,-0.030115369506088174,-0.03259177765258092
24,24,24,24,2019-03-12,43.31840896606445,43.744625091552734,45.1239128112793,-0.009743279879442457,-0.04001212955015587
25,25,25,25,2019-03-13,42.67002487182617,43.82319259643555,44.154903411865234,-0.02631409662980988,-0.03362884810750255
26,26,26,26,2019-03-14,42.2669792175293,43.66605758666992,44.05888748168945,-0.03204040956442389,-0.04067075603996717
27,27,27,27,2019-03-15,41.79384994506836,42.89783477783203,43.31686019897461,-0.025735211077230646,-0.035159756429952504
28,28,28,28,2019-03-18,41.74127578735352,42.94164276123047,43.831912994384766,-0.027953447904901507,-0.047696690931538166
