,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,NXPI,NXPI_6m,NXPI_12m,NXPI_6m_ret,NXPI_12m_ret
0,0,0,0,2019-02-05,83.56990051269531,,,,
1,1,1,1,2019-02-06,85.61654663085938,,,,
2,2,2,2,2019-02-07,84.02368927001953,,,,
3,3,3,3,2019-02-08,81.04168701171875,,,,
4,4,4,4,2019-02-11,82.65306091308594,,,,
5,5,5,5,2019-02-12,86.33888244628906,,,,
6,6,6,6,2019-02-13,85.08866882324219,83.56990051269531,,0.01817362831868108,
7,7,7,7,2019-02-14,84.96829223632812,85.61654663085938,,-0.007571601752710655,
8,8,8,8,2019-02-15,86.16293334960938,84.02368927001953,,0.025460011315560527,
9,9,9,9,2019-02-19,85.66283416748047,81.04168701171875,,0.057021852902611636,
10,10,10,10,2019-02-20,87.28349304199219,82.65306091308594,,0.056022512387960965,
11,11,11,11,2019-02-21,87.37611389160156,86.33888244628906,,0.012013491672859589,
12,12,12,12,2019-02-22,87.52427673339844,85.08866882324219,83.56990051269531,0.028624350854704605,0.047318187486682595
13,13,13,13,2019-02-25,89.95987701416016,84.96829223632812,85.61654663085938,0.058746441130634874,0.050730034721294004
14,14,14,14,2019-02-26,87.14458465576172,86.16293334960938,84.02368927001953,0.011392965257685184,0.03714304159762416
15,15,15,15,2019-02-27,85.04237365722656,85.66283416748047,81.04168701171875,-0.007243053726670223,0.049365786831773395
16,16,16,16,2019-02-28,84.570068359375,87.28349304199219,82.65306091308594,-0.031087489604841534,0.02319342351162157
17,17,17,17,2019-03-01,87.28349304199219,87.37611389160156,86.33888244628906,-0.0010600248223934239,0.010940732251089269
18,18,18,18,2019-03-04,86.57041931152344,87.52427673339844,85.08866882324219,-0.010898203989511135,0.0174141928505116
19,19,19,19,2019-03-05,86.40372467041016,89.95987701416016,84.96829223632812,-0.03953042691677133,0.016893742316128613
20,20,20,20,2019-03-06,85.08866882324219,87.14458465576172,86.16293334960938,-0.02359200908055048,-0.01246782676267899
21,21,21,21,2019-03-07,87.12606048583984,85.04237365722656,85.66283416748047,0.0245017482344958,0.01708122702896575
22,22,22,22,2019-03-08,86.29258728027344,84.570068359375,87.28349304199219,0.020367949965213628,-0.011352728072443474
23,23,23,23,2019-03-11,87.311279296875,87.28349304199219,87.37611389160156,0.00031834490021442896,-0.0007420173756753634
24,24,24,24,2019-03-12,87.04273223876953,86.57041931152344,87.52427673339844,0.005455823490313483,-0.005501839176525913
25,25,25,25,2019-03-13,86.49632263183594,86.40372467041016,89.95987701416016,0.0010716894645341757,-0.03850110179429256
26,26,26,26,2019-03-14,85.98696899414062,85.08866882324219,87.14458465576172,0.010557224402752308,-0.013283850811773412
27,27,27,27,2019-03-15,86.71128845214844,87.12606048583984,85.04237365722656,-0.004760596673125339,0.019624508620239567
28,28,28,28,2019-03-18,85.68053436279297,86.29258728027344,84.570068359375,-0.0070927635474939965,0.013130721364668974
29,29,29,29,2019-03-19,86.19125366210938,87.311279296875,87.28349304199219,-0.012827960416858852,-0.012513699232423403
30,30,30,30,2019-03-20,84.52910614013672,87.04273223876953,86.57041931152344,-0.028878069816760887,-0.023579799978108662
31,31,31,31,2019-03-21,87.55628204345703,86.49632263183594,86.40372467041016,0.012254387000158573,0.013339209362134952
32,32,32,32,2019-03-22,84.18553924560547,85.98696899414062,85.08866882324219,-0.02095003195958578,-0.010613981745475676
33,33,33,33,2019-03-25,82.5790786743164,86.71128845214844,87.12606048583984,-0.047654807714134995,-0.05218853906819798
34,34,34,34,2019-03-26,82.91336059570312,85.68053436279297,86.29258728027344,-0.03229641117051085,-0.0391601039101398
35,35,35,35,2019-03-27,81.11190795898438,86.19125366210938,87.311279296875,-0.05893110364814125,-0.07100309820008
36,36,36,36,2019-03-28,79.78402709960938,84.52910614013672,87.04273223876953,-0.056135445613972434,-0.08339243211309799
37,37,37,37,2019-03-29,82.07764434814453,87.55628204345703,86.49632263183594,-0.06257275397547457,-0.051085157718197216
38,38,38,38,2019-04-01,87.64913177490234,84.18553924560547,85.98696899414062,0.04114236910916591,0.019330403201849977
39,39,39,39,2019-04-02,86.16340637207031,82.5790786743164,86.71128845214844,0.04340479156821475,-0.006318463141975705
40,40,40,40,2019-04-03,89.31131744384766,82.91336059570312,85.68053436279297,0.0771643653348204,0.042375822093744686
41,41,41,41,2019-04-04,89.67346954345703,81.11190795898438,86.19125366210938,0.10555246202323287,0.04040103529528394
42,42,42,42,2019-04-05,91.1406478881836,79.78402709960938,84.52910614013672,0.14234203513437116,0.07821615594853104
43,43,43,43,2019-04-08,91.5677719116211,82.07764434814453,87.55628204345703,0.1156237808583147,0.04581612848947869
44,44,44,44,2019-04-09,90.62060546875,87.64913177490234,84.18553924560547,0.033901918178481205,0.07643909251885495
45,45,45,45,2019-04-10,91.12206268310548,86.16340637207031,82.5790786743164,0.057549446102707735,0.10345215938387664
46,46,46,46,2019-04-11,90.67633819580078,89.31131744384766,82.91336059570312,0.015283849695883811,0.09362758359235968
47,47,47,47,2019-04-12,93.1742172241211,89.67346954345703,81.11190795898438,0.0390388338768084,0.14871194093025442
48,48,48,48,2019-04-15,92.14350128173828,91.1406478881836,79.78402709960938,0.011003360375329452,0.15491163621884185
49,49,49,49,2019-04-16,93.47137451171876,91.5677719116211,82.07764434814453,0.020789002073076324,0.13881648595135143
50,50,50,50,2019-04-17,93.94495391845705,90.62060546875,87.64913177490234,0.03668424452155561,0.07182982895624601
51,51,51,51,2019-04-18,93.4063720703125,91.12206268310548,86.16340637207031,0.02506867513690003,0.08406080960826512
