,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AJG,AJG_6m,AJG_12m,AJG_6m_ret,AJG_12m_ret
988,988,988,988,2023-01-06,190.0494384765625,186.02120971679688,183.1905670166016,0.02165467457124004,0.037441182543745954
989,989,989,989,2023-01-09,189.79209899902344,188.2184295654297,184.9720916748047,0.008360867940653494,0.026058024648889733
990,990,990,990,2023-01-10,190.70265197753903,186.6051483154297,187.53550720214844,0.021958149060191445,0.01688824064648542
991,991,991,991,2023-01-11,193.7510681152344,185.3382873535156,186.10040283203125,0.04539148862248954,0.04111041763895806
992,992,992,992,2023-01-12,192.98895263671875,187.7928466796875,186.4764862060547,0.027669349759067652,0.03492379421750713
993,993,993,993,2023-01-13,194.532958984375,184.5267028808593,187.33755493164065,0.0542266021518647,0.03840876462469023
994,994,994,994,2023-01-17,193.6421813964844,190.0494384765625,186.02120971679688,0.01890425432835463,0.04096829437508709
995,995,995,995,2023-01-18,190.019760131836,189.79209899902344,188.2184295654297,0.0011995290321000773,0.009570426076582095
996,996,996,996,2023-01-19,188.93104553222656,190.70265197753903,186.6051483154297,-0.009289888876433339,0.012464271419056816
997,997,997,997,2023-01-20,191.9101409912109,193.7510681152344,185.3382873535156,-0.009501506969389117,0.03545869410760294
998,998,998,998,2023-01-23,193.86984252929688,192.98895263671875,187.7928466796875,0.004564457605178651,0.032360102938184365
999,999,999,999,2023-01-24,194.9882202148437,194.532958984375,184.5267028808593,0.0023402781351065105,0.056693785618328274
1000,1000,1000,1000,2023-01-25,195.1268005371093,193.6421813964844,190.0494384765625,0.007666816857351488,0.026716006641466228
1001,1001,1001,1001,2023-01-26,195.2257843017578,190.019760131836,189.79209899902344,0.02739727787420576,0.028629670736516344
1002,1002,1002,1002,2023-01-27,191.82107543945312,188.93104553222656,190.70265197753903,0.015296744370864035,0.005864750439054323
1003,1003,1003,1003,2023-01-30,193.29579162597656,191.9101409912109,193.7510681152344,0.007220309607448572,-0.002349801183996858
1004,1004,1004,1004,2023-01-31,193.7114715576172,193.86984252929688,192.98895263671875,-0.0008168932806336127,0.0037438356497976333
1005,1005,1005,1005,2023-02-01,194.2657165527344,194.9882202148437,194.532958984375,-0.00370537082349498,-0.0013737642867092115
1006,1006,1006,1006,2023-02-02,192.68214416503903,195.1268005371093,193.6421813964844,-0.012528552537842352,-0.004957789798286205
1007,1007,1007,1007,2023-02-03,191.50436401367188,195.2257843017578,190.019760131836,-0.019062135165167526,0.007812892095042434
1008,1008,1008,1008,2023-02-06,192.5534820556641,191.82107543945312,188.93104553222656,0.0038181759461677345,0.019173325978443456
1009,1009,1009,1009,2023-02-07,195.44351196289065,193.29579162597656,191.9101409912109,0.011111055853041396,0.018411590723814708
1010,1010,1010,1010,2023-02-08,194.1370391845703,193.7114715576172,193.86984252929688,0.0021969149453626713,0.0013782270196720514
1011,1011,1011,1011,2023-02-09,191.34600830078125,194.2657165527344,194.9882202148437,-0.015029457094971166,-0.018679138206653456
1012,1012,1012,1012,2023-02-10,193.0582427978516,192.68214416503903,195.1268005371093,0.0019519122254028076,-0.010601094947304768
1013,1013,1013,1013,2023-02-13,193.2165985107422,191.50436401367188,195.2257843017578,0.008940968556455875,-0.010291600559842351
1014,1014,1014,1014,2023-02-14,186.31814575195312,192.5534820556641,191.82107543945312,-0.03238236066750755,-0.02868782627192057
1015,1015,1015,1015,2023-02-15,188.3767852783203,195.44351196289065,193.29579162597656,-0.03615738692780002,-0.025448077820413362
1016,1016,1016,1016,2023-02-16,186.69422912597656,194.1370391845703,193.7114715576172,-0.038337918873470156,-0.036225229075054655
