,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,O,O_6m,O_12m,O_6m_ret,O_12m_ret
0,0,0,0,2019-02-05,53.662559509277344,,,,
1,1,1,1,2019-02-06,53.55416488647461,,,,
2,2,2,2,2019-02-07,54.2663688659668,,,,
3,3,3,3,2019-02-08,54.25090026855469,,,,
4,4,4,4,2019-02-11,54.50634765625,,,,
5,5,5,5,2019-02-12,53.68580627441406,,,,
6,6,6,6,2019-02-13,53.86381530761719,53.662559509277344,,0.003750395064645584,
7,7,7,7,2019-02-14,54.01863861083984,53.55416488647461,,0.008672971100377236,
8,8,8,8,2019-02-15,54.25863265991211,54.2663688659668,,-0.00014255986196154424,
9,9,9,9,2019-02-19,54.12704086303711,54.25090026855469,,-0.0022830847949885102,
10,10,10,10,2019-02-20,53.26774597167969,54.50634765625,,-0.02272398973385048,
11,11,11,11,2019-02-21,53.84833526611328,53.68580627441406,,0.0030274108368320007,
12,12,12,12,2019-02-22,53.987701416015625,53.86381530761719,53.662559509277344,0.0022999876204632397,0.006059008547329325
13,13,13,13,2019-02-25,53.7244873046875,54.01863861083984,53.55416488647461,-0.005445366890333148,0.0031803767003732997
14,14,14,14,2019-02-26,53.54644775390625,54.25863265991211,54.2663688659668,-0.01312574370367503,-0.013266432361426106
15,15,15,15,2019-02-27,53.283241271972656,54.12704086303711,54.25090026855469,-0.015589242966368766,-0.01783673619777537
16,16,16,16,2019-02-28,53.7150764465332,53.26774597167969,54.50634765625,0.008397773675111742,-0.014517046981519122
17,17,17,17,2019-03-01,53.69951629638672,53.84833526611328,53.68580627441406,-0.002763668904360972,0.0002553751712803809
18,18,18,18,2019-03-04,54.01021957397461,53.987701416015625,53.86381530761719,0.00041709791986632716,0.002718044860381852
19,19,19,19,2019-03-05,54.21214294433594,53.7244873046875,54.01863861083984,0.009076971491282837,0.0035821771609265696
20,20,20,20,2019-03-06,53.98690032958984,53.54644775390625,54.25863265991211,0.008225617088697623,-0.00500809395668822
21,21,21,21,2019-03-07,53.94808578491211,53.283241271972656,54.12704086303711,0.012477553862496826,-0.0033062047226602997
22,22,22,22,2019-03-08,54.17330932617188,53.7150764465332,53.26774597167969,0.00853080568720399,0.01700021913774319
