,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FI,FI_6m,FI_12m,FI_6m_ret,FI_12m_ret
0,0,0,0,2019-02-05,85.11000061035156,,,,
1,1,1,1,2019-02-06,84.61000061035156,,,,
2,2,2,2,2019-02-07,84.01000213623047,,,,
3,3,3,3,2019-02-08,85.69999694824219,,,,
4,4,4,4,2019-02-11,84.55999755859375,,,,
5,5,5,5,2019-02-12,84.37999725341797,,,,
6,6,6,6,2019-02-13,84.38999938964844,85.11000061035156,,-0.0084596547472654,
7,7,7,7,2019-02-14,84.3499984741211,84.61000061035156,,-0.0030729480481608284,
8,8,8,8,2019-02-15,85.77999877929688,84.01000213623047,,0.021068879872139235,
9,9,9,9,2019-02-19,85.62000274658203,85.69999694824219,,-0.0009334212894834826,
10,10,10,10,2019-02-20,84.7300033569336,84.55999755859375,,0.002010475440494597,
11,11,11,11,2019-02-21,84.75,84.37999725341797,,0.0043849580306432046,
12,12,12,12,2019-02-22,85.02999877929688,84.38999938964844,85.11000061035156,0.007583829769845174,-0.0009399815589351546
13,13,13,13,2019-02-25,84.23999786376953,84.3499984741211,84.61000061035156,-0.0013040973603017925,-0.0043730379850247525
14,14,14,14,2019-02-26,84.72000122070312,85.77999877929688,84.01000213623047,-0.012357164533436493,0.00845136372358768
15,15,15,15,2019-02-27,85.05000305175781,85.62000274658203,85.69999694824219,-0.006657319277497575,-0.007584526483436549
16,16,16,16,2019-02-28,84.69000244140625,84.7300033569336,84.55999755859375,-0.0004720985948606371,0.00153742770300358
17,17,17,17,2019-03-01,86.38999938964844,84.75,84.37999725341797,0.01935102524658916,0.023820836710788607
18,18,18,18,2019-03-04,85.55000305175781,85.02999877929688,84.38999938964844,0.006115538985372204,0.013745747961833255
19,19,19,19,2019-03-05,85.61000061035156,84.23999786376953,84.3499984741211,0.016263090946388115,0.01493778493211284
20,20,20,20,2019-03-06,85.37000274658203,84.72000122070312,85.77999877929688,0.007672350289344321,-0.004779622738975808
21,21,21,21,2019-03-07,85.01000213623047,85.05000305175781,85.62000274658203,-0.0004703223291244729,-0.007124510520713723
22,22,22,22,2019-03-08,84.87999725341797,84.69000244140625,84.7300033569336,0.0022434148841024015,0.0017702571762272523
23,23,23,23,2019-03-11,86.02999877929688,86.38999938964844,84.75,-0.004167156070088995,0.01510323043418138
24,24,24,24,2019-03-12,86.08000183105469,85.55000305175781,85.02999877929688,0.006195192991123921,0.012348618920755117
25,25,25,25,2019-03-13,86.08000183105469,85.61000061035156,84.23999786376953,0.005490027068710157,0.021842402824614915
