,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,JNJ,JNJ_6m,JNJ_12m,JNJ_6m_ret,JNJ_12m_ret
0,0,0,0,2019-02-05,116.05995178222656,,,,
1,1,1,1,2019-02-06,116.16474151611328,,,,
2,2,2,2,2019-02-07,115.33499908447266,,,,
3,3,3,3,2019-02-08,115.64067840576172,,,,
4,4,4,4,2019-02-11,115.29132080078124,,,,
5,5,5,5,2019-02-12,117.17794036865234,,,,
6,6,6,6,2019-02-13,117.43116760253906,116.05995178222656,,0.011814719886196645,
7,7,7,7,2019-02-14,117.30890655517578,116.16474151611328,,0.009849503594029807,
8,8,8,8,2019-02-15,119.11691284179688,115.33499908447266,,0.03279068615203529,
9,9,9,9,2019-02-19,118.51424407958984,115.64067840576172,,0.02484909041907657,
10,10,10,10,2019-02-20,119.09072875976562,115.29132080078124,,0.03295484805443083,
11,11,11,11,2019-02-21,118.27840423583984,117.17794036865234,,0.009391391107620883,
12,12,12,12,2019-02-22,119.30905151367188,117.43116760253906,116.05995178222656,0.015991358593050453,0.02799501190162368
13,13,13,13,2019-02-25,119.74866485595705,117.30890655517578,116.16474151611328,0.02079772433675986,0.030852075191392103
14,14,14,14,2019-02-26,119.66954040527344,119.11691284179688,115.33499908447266,0.004639371104341317,0.037582185418201686
15,15,15,15,2019-02-27,119.45850372314452,118.51424407958984,115.64067840576172,0.007967478094198954,0.0330145530968502
16,16,16,16,2019-02-28,120.13550567626952,119.09072875976562,115.29132080078124,0.008772949224380433,0.04201690848748996
17,17,17,17,2019-03-01,121.6389617919922,118.27840423583984,117.17794036865234,0.02841226661674945,0.038070488432422334
18,18,18,18,2019-03-04,121.7532730102539,119.30905151367188,117.43116760253906,0.020486471609423074,0.03680543671628622
19,19,19,19,2019-03-05,122.00823974609376,119.74866485595705,117.30890655517578,0.018869311761051444,0.04005947484224204
20,20,20,20,2019-03-06,122.2895965576172,119.66954040527344,119.11691284179688,0.021894093881121846,0.026635039811970795
21,21,21,21,2019-03-07,121.542236328125,119.45850372314452,118.51424407958984,0.017443150048235267,0.025549606058337337
22,22,22,22,2019-03-08,121.38399505615234,120.13550567626952,119.09072875976562,0.010392342986819791,0.019256463708545946
23,23,23,23,2019-03-11,121.82360076904295,121.6389617919922,118.27840423583984,0.0015179262822588857,0.029973320625244604
24,24,24,24,2019-03-12,122.36871337890624,121.7532730102539,119.30905151367188,0.005054815804421908,0.025644842754313224
25,25,25,25,2019-03-13,122.57091522216795,122.00823974609376,119.74866485595705,0.004611782591447566,0.02356811551599125
26,26,26,26,2019-03-14,121.34880828857422,122.2895965576172,119.66954040527344,-0.007693117775556035,0.014032542262749192
27,27,27,27,2019-03-15,120.97957611083984,121.542236328125,119.45850372314452,-0.00462933902060314,0.012733060772471605
28,28,28,28,2019-03-18,120.60150146484376,121.38399505615234,120.13550567626952,-0.006446431351568194,0.0038789181096050562
29,29,29,29,2019-03-19,121.71807861328124,121.82360076904295,121.6389617919922,-0.0008661881203279043,0.000650423352217766
30,30,30,30,2019-03-20,120.70702362060548,122.36871337890624,121.7532730102539,-0.013579367735570114,-0.008593193133792032
31,31,31,31,2019-03-21,121.41918182373048,122.57091522216795,122.00823974609376,-0.009396465681518973,-0.004828017546922636
32,32,32,32,2019-03-22,120.37290954589844,121.34880828857422,122.2895965576172,-0.00804209580991544,-0.015673344795243516
33,33,33,33,2019-03-25,120.10911560058594,120.97957611083984,121.542236328125,-0.007195102993718616,-0.011791133443275648
34,34,34,34,2019-03-26,121.83238983154295,120.60150146484376,121.38399505615234,0.010206244132524356,0.0036940189287986147
35,35,35,35,2019-03-27,121.9466552734375,121.71807861328124,121.82360076904295,0.001877918734508599,0.0010101039832817182
36,36,36,36,2019-03-28,122.1049575805664,120.70702362060548,122.36871337890624,0.011581214729929679,-0.0021554185792828084
37,37,37,37,2019-03-29,122.90501403808594,121.41918182373048,122.57091522216795,0.012237211551239913,0.0027257593313423367
38,38,38,38,2019-04-01,122.19285583496094,120.37290954589844,121.34880828857422,0.015119234850500485,0.006955548705344761
39,39,39,39,2019-04-02,121.07627868652344,120.10911560058594,120.97957611083984,0.008052370389219465,0.0007993297612070016
40,40,40,40,2019-04-03,120.60150146484376,121.83238983154295,120.60150146484376,-0.010103129130119903,0.0
41,41,41,41,2019-04-04,119.19476318359376,121.9466552734375,121.71807861328124,-0.02256635972239862,-0.020730818777582538
42,42,42,42,2019-04-05,119.7310562133789,122.1049575805664,120.70702362060548,-0.019441482264314858,-0.008085423515156398
43,43,43,43,2019-04-08,119.69588470458984,122.90501403808594,121.41918182373048,-0.02611064616535208,-0.014192956114977173
44,44,44,44,2019-04-09,119.19476318359376,122.19285583496094,120.37290954589844,-0.024535744179811414,-0.0097874710077972
45,45,45,45,2019-04-10,119.20354461669922,121.07627868652344,120.10911560058594,-0.015467390393397284,-0.007539569160580073
46,46,46,46,2019-04-11,118.87823486328124,120.60150146484376,121.83238983154295,-0.01428893156910549,-0.02424769777845126
47,47,47,47,2019-04-12,119.5552215576172,119.19476318359376,121.9466552734375,0.0030241125062535623,-0.019610490426802185
48,48,48,48,2019-04-15,120.03001403808594,119.7310562133789,122.1049575805664,0.0024969112790105275,-0.016993114641650764
49,49,49,49,2019-04-16,121.34880828857422,119.69588470458984,122.90501403808594,0.013809360180291996,-0.012661857302497692
50,50,50,50,2019-04-17,121.78844451904295,119.19476318359376,122.19285583496094,0.021760027589921682,-0.00330961506018157
51,51,51,51,2019-04-18,120.90921783447266,119.20354461669922,121.07627868652344,0.014308913575163063,-0.0013797983706066441
52,52,52,52,2019-04-22,121.1817855834961,118.87823486328124,120.60150146484376,0.01937739673594674,0.0048115828708938935
53,53,53,53,2019-04-23,123.00172424316406,119.5552215576172,119.19476318359376,0.028827705228130718,0.031938995958291416
54,54,54,54,2019-04-24,122.38629150390624,120.03001403808594,119.7310562133789,0.019630735568127555,0.022176663052193346
55,55,55,55,2019-04-25,122.7819366455078,121.34880828857422,119.69588470458984,0.011809991191059188,0.02578243979343431
