,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,XYL,XYL_6m,XYL_12m,XYL_6m_ret,XYL_12m_ret
0,0,0,0,2019-02-05,66.54774475097656,,,,
1,1,1,1,2019-02-06,67.31916046142578,,,,
2,2,2,2,2019-02-07,66.19966888427734,,,,
3,3,3,3,2019-02-08,66.4066162109375,,,,
4,4,4,4,2019-02-11,67.17803955078125,,,,
5,5,5,5,2019-02-12,68.57975769042969,,,,
6,6,6,6,2019-02-13,68.5986328125,66.54774475097656,,0.03081829548391024,
7,7,7,7,2019-02-14,68.40985870361328,67.31916046142578,,0.016201899053873037,
8,8,8,8,2019-02-15,69.77843475341797,66.19966888427734,,0.05406017778422134,
9,9,9,9,2019-02-19,69.14604187011719,66.4066162109375,,0.04125230007922753,
10,10,10,10,2019-02-20,69.91056060791016,67.17803955078125,,0.040675808276056324,
11,11,11,11,2019-02-21,70.14652252197266,68.57975769042969,,0.022845878788539498,
12,12,12,12,2019-02-22,70.59957122802734,68.5986328125,66.54774475097656,0.029168779806391987,0.060886007365280825
13,13,13,13,2019-02-25,71.03374481201172,68.40985870361328,67.31916046142578,0.03835537973797698,0.05517870878253772
14,14,14,14,2019-02-26,71.13755798339844,69.77843475341797,66.19966888427734,0.019477697296927277,0.07459084285984785
15,15,15,15,2019-02-27,72.01533508300781,69.14604187011719,66.4066162109375,0.04149613101904315,0.08446024194719515
16,16,16,16,2019-02-28,71.30745697021484,69.91056060791016,67.17803955078125,0.019981192400088332,0.061469751827337715
17,17,17,17,2019-03-01,72.08141326904297,70.14652252197266,68.57975769042969,0.02758355906330534,0.05105960849876179
18,18,18,18,2019-03-04,71.9681396484375,70.59957122802734,68.5986328125,0.019384939548568347,0.04911915438821279
19,19,19,19,2019-03-05,71.9115219116211,71.03374481201172,68.40985870361328,0.01235718463009916,0.05118652887705588
20,20,20,20,2019-03-06,71.5905990600586,71.13755798339844,69.77843475341797,0.006368521629121382,0.025970263062569776
21,21,21,21,2019-03-07,71.09037017822266,72.01533508300781,69.14604187011719,-0.012843999180438548,0.028119155565804688
22,22,22,22,2019-03-08,70.86383819580078,71.30745697021484,69.91056060791016,-0.006221211543126048,0.013635673632157452
23,23,23,23,2019-03-11,72.57218933105469,72.08141326904297,70.14652252197266,0.006808635399252028,0.034580000859233184
24,24,24,24,2019-03-12,72.3834457397461,71.9681396484375,70.59957122802734,0.00577069371721084,0.02526749781464077
25,25,25,25,2019-03-13,72.9686279296875,71.9115219116211,71.03374481201172,0.014700092418647337,0.027238928804843132
26,26,26,26,2019-03-14,72.20410919189453,71.5905990600586,71.13755798339844,0.008569702445446081,0.01499280040994666
27,27,27,27,2019-03-15,72.43061828613281,71.09037017822266,72.01533508300781,0.01885273778361496,0.005766594054534835
28,28,28,28,2019-03-18,73.93134307861328,70.86383819580078,71.30745697021484,0.043287309309112176,0.03679679825764137
29,29,29,29,2019-03-19,74.02574157714844,72.57218933105469,72.08141326904297,0.020029053270847808,0.026974059191213318
30,30,30,30,2019-03-20,73.78977966308594,72.3834457397461,71.9681396484375,0.019428944131732795,0.02531175633477667
31,31,31,31,2019-03-21,74.79969024658203,72.9686279296875,71.9115219116211,0.02509382962029849,0.040162803653502
32,32,32,32,2019-03-22,72.73265075683594,72.20410919189453,71.5905990600586,0.0073201036735557334,0.01595253722935408
33,33,33,33,2019-03-25,72.54386901855469,72.43061828613281,71.09037017822266,0.0015635753925844487,0.020445790853080847
34,34,34,34,2019-03-26,73.71424102783203,73.93134307861328,70.86383819580078,-0.0029365360040923827,0.04022365856271337
35,35,35,35,2019-03-27,73.60099029541016,74.02574157714844,72.57218933105469,-0.005737886209429055,0.014176242632867986
36,36,36,36,2019-03-28,74.62976837158203,73.78977966308594,72.3834457397461,0.01138353729109065,0.03103365153287352
37,37,37,37,2019-03-29,74.60147094726562,74.79969024658203,72.9686279296875,-0.002650001606463337,0.022377329325028894
38,38,38,38,2019-04-01,76.0361099243164,72.73265075683594,72.20410919189453,0.04541920489773954,0.053071781859917344
39,39,39,39,2019-04-02,75.54530334472656,72.54386901855469,72.43061828613281,0.04137405912833514,0.04300232598166387
40,40,40,40,2019-04-03,75.2149658203125,73.71424102783203,73.93134307861328,0.02035868200710156,0.01736236200029939
41,41,41,41,2019-04-04,75.50756072998047,73.60099029541016,74.02574157714844,0.0259041410573142,0.020017619834145073
42,42,42,42,2019-04-05,75.82843780517578,74.62976837158203,73.78977966308594,0.01606154567739737,0.027627920172659026
43,43,43,43,2019-04-08,76.76287078857422,74.60147094726562,74.79969024658203,0.028972616945267093,0.026245837857355125
