,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,LDOS,LDOS_6m,LDOS_12m,LDOS_6m_ret,LDOS_12m_ret
0,0,0,0,2019-02-05,56.813385009765625,,,,
1,1,1,1,2019-02-06,56.98026657104492,,,,
2,2,2,2,2019-02-07,58.148433685302734,,,,
3,3,3,3,2019-02-08,57.55507278442383,,,,
4,4,4,4,2019-02-11,57.4252815246582,,,,
5,5,5,5,2019-02-12,57.49944686889648,,,,
6,6,6,6,2019-02-13,57.684871673583984,56.813385009765625,,0.015339460299163,
7,7,7,7,2019-02-14,57.7868537902832,56.98026657104492,,0.014155553628949713,
8,8,8,8,2019-02-15,58.75104522705078,58.148433685302734,,0.010363332312773199,
9,9,9,9,2019-02-19,57.76830673217773,57.55507278442383,,0.0037048680062066186,
10,10,10,10,2019-02-20,57.18423080444336,57.4252815246582,,-0.004197641070533331,
11,11,11,11,2019-02-21,58.36165618896485,57.49944686889648,,0.014995088944669055,
12,12,12,12,2019-02-22,59.7894172668457,57.684871673583984,56.813385009765625,0.036483492676737006,0.052382590063389634
13,13,13,13,2019-02-25,59.94701766967773,57.7868537902832,56.98026657104492,0.03738157967959399,0.0520662902644331
14,14,14,14,2019-02-26,58.91792678833008,58.75104522705078,58.148433685302734,0.002840486677885723,0.013233255898031704
15,15,15,15,2019-02-27,59.26095581054688,57.76830673217773,57.55507278442383,0.02583854647651851,0.029639142886892733
16,16,16,16,2019-02-28,59.88212203979492,57.18423080444336,57.4252815246582,0.04717893722445465,0.04278325590936394
17,17,17,17,2019-03-01,60.24369430541992,58.36165618896485,57.49944686889648,0.032247853117145286,0.04772650148758051
18,18,18,18,2019-03-04,59.427833557128906,59.7894172668457,57.684871673583984,-0.006047620569757606,0.030215233786210938
19,19,19,19,2019-03-05,58.945743560791016,59.94701766967773,57.7868537902832,-0.016702650904236283,0.02005455729972061
20,20,20,20,2019-03-06,58.43582534790039,58.91792678833008,58.75104522705078,-0.008182593426304674,-0.0053653492960369364
21,21,21,21,2019-03-07,57.87955474853516,59.26095581054688,57.76830673217773,-0.023310475558780408,0.0019257621116228751
22,22,22,22,2019-03-08,57.88882827758789,59.88212203979492,57.18423080444336,-0.03328695935127979,0.012321534507547804
23,23,23,23,2019-03-11,58.57489776611328,60.24369430541992,58.36165618896485,-0.02770076700220736,0.0036537958494184952
24,24,24,24,2019-03-12,58.43582534790039,59.427833557128906,59.7894172668457,-0.016692653086114673,-0.022639322823704844
25,25,25,25,2019-03-13,58.73250579833984,58.945743560791016,59.94701766967773,-0.0036175260429324174,-0.0202597546725366
26,26,26,26,2019-03-14,58.46227645874024,58.43582534790039,58.91792678833008,0.00045265230160396186,-0.0077336449944482855
27,27,27,27,2019-03-15,58.54613876342773,57.87955474853516,59.26095581054688,0.011516744000340307,-0.012062192337976674
28,28,28,28,2019-03-18,59.16114044189453,57.88882827758789,59.88212203979492,0.021978544084631624,-0.012040014170193514
29,29,29,29,2019-03-19,58.98409271240234,58.57489776611328,60.24369430541992,0.0069858414080883335,-0.020908438759278836
30,30,30,30,2019-03-20,58.94683074951172,58.43582534790039,59.427833557128906,0.008744728059696838,-0.008093897738250755
31,31,31,31,2019-03-21,59.403411865234375,58.73250579833984,58.945743560791016,0.01142307922631658,0.007764229896792596
32,32,32,32,2019-03-22,58.69522476196289,58.46227645874024,58.43582534790039,0.003984591728771525,0.004439047664992479
33,33,33,33,2019-03-25,58.35977935791016,58.54613876342773,57.87955474853516,-0.0031831203466825553,0.008296964471502744
34,34,34,34,2019-03-26,59.04932022094727,59.16114044189453,57.88882827758789,-0.0018900957640781701,0.020046906767478667
35,35,35,35,2019-03-27,58.95614242553711,58.98409271240234,58.57489776611328,-0.0004738614358537063,0.006508669651394294
36,36,36,36,2019-03-28,59.38478088378906,58.94683074951172,58.43582534790039,0.007429578973267681,0.016239276680683812
37,37,37,37,2019-03-29,59.72023391723633,59.403411865234375,58.73250579833984,0.005333398235116693,0.016817401292018586
38,38,38,38,2019-04-01,60.46568298339844,58.69522476196289,58.46227645874024,0.03016358193729718,0.03426836322516613
39,39,39,39,2019-04-02,59.3009147644043,58.35977935791016,58.54613876342773,0.01612643873655384,0.0128919859946095
40,40,40,40,2019-04-03,59.33818817138672,59.04932022094727,59.16114044189453,0.004891977576686246,0.002992635506512631
41,41,41,41,2019-04-04,59.61772918701172,58.95614242553711,58.98409271240234,0.01122167655915085,0.010742497603530188
42,42,42,42,2019-04-05,60.195457458496094,59.38478088378906,58.94683074951172,0.013651251425739197,0.021182253449558264
43,43,43,43,2019-04-08,60.3818244934082,59.72023391723633,59.403411865234375,0.011078164514371158,0.016470647012557293
44,44,44,44,2019-04-09,59.63636779785156,60.46568298339844,58.69522476196289,-0.013715468752326432,0.016034405519451678
45,45,45,45,2019-04-10,60.21410369873047,59.3009147644043,58.35977935791016,0.015399238577586294,0.03177401219165099
46,46,46,46,2019-04-11,60.8011474609375,59.33818817138672,59.04932022094727,0.024654599923497944,0.029667187250172367
47,47,47,47,2019-04-12,60.88499450683594,59.61772918701172,58.95614242553711,0.02125651776921922,0.03271672809555026
48,48,48,48,2019-04-15,60.53091812133789,60.195457458496094,59.38478088378906,0.005572856773670809,0.01930018466838712
49,49,49,49,2019-04-16,60.68932342529297,60.3818244934082,59.72023391723633,0.00509257437092403,0.016227155261977932
50,50,50,50,2019-04-17,60.66136932373047,59.63636779785156,60.46568298339844,0.017187524387020536,0.0032363206810341882
51,51,51,51,2019-04-18,60.8011474609375,60.21410369873047,59.3009147644043,0.00974927344504195,0.025298643410366584
52,52,52,52,2019-04-22,60.94091796875,60.8011474609375,59.33818817138672,0.002298813651540055,0.027010089905915358
53,53,53,53,2019-04-23,61.97523498535156,60.88499450683594,59.61772918701172,0.017906554600956914,0.03954370336623714
54,54,54,54,2019-04-24,61.99386215209961,60.53091812133789,60.195457458496094,0.024168541898359486,0.029876086494458276
55,55,55,55,2019-04-25,61.863407135009766,60.68932342529297,60.3818244934082,0.019345803239379622,0.024536897552065673
56,56,56,56,2019-04-26,62.01251983642578,60.66136932373047,59.63636779785156,0.022273656657578078,0.039844010061588886
57,57,57,57,2019-04-29,62.310691833496094,60.8011474609375,60.21410369873047,0.024827563879915582,0.03481888803419708
58,58,58,58,2019-04-30,68.47000885009766,60.94091796875,60.8011474609375,0.12354738215805194,0.1261302082183089
59,59,59,59,2019-05-01,67.88294982910156,61.97523498535156,60.88499450683594,0.09532379901659671,0.11493727442941504
60,60,60,60,2019-05-02,68.15319061279297,61.99386215209961,60.53091812133789,0.0993538432172798,0.125923622638199
61,61,61,61,2019-05-03,69.37386322021484,61.863407135009766,60.68932342529297,0.1214038546052656,0.1430983129283412
62,62,62,62,2019-05-06,69.05704498291016,62.01251983642578,60.66136932373047,0.11359843407534731,0.13840234325035805
63,63,63,63,2019-05-07,68.5165786743164,62.310691833496094,60.8011474609375,0.09959585840265439,0.12689614481923694
64,64,64,64,2019-05-08,69.11296081542969,68.47000885009766,60.94091796875,0.009390271392247795,0.13409779699856572
65,65,65,65,2019-05-09,69.90499877929688,67.88294982910156,61.97523498535156,0.02978728760735816,0.1279505240410881
66,66,66,66,2019-05-10,70.33362579345703,68.15319061279297,61.99386215209961,0.03199314897892358,0.13452563450388233
67,67,67,67,2019-05-13,68.74024200439453,69.37386322021484,61.863407135009766,-0.009133428447093861,0.11116159273893311
68,68,68,68,2019-05-14,69.23409271240234,69.05704498291016,62.01251983642578,0.0025637895385763887,0.11645346609080476
69,69,69,69,2019-05-15,69.9329833984375,68.5165786743164,62.310691833496094,0.020672437992763193,0.12232718560258271
70,70,70,70,2019-05-16,71.08842468261719,69.11296081542969,68.47000885009766,0.02858311731808305,0.0382417919391842
71,71,71,71,2019-05-17,70.80886840820312,69.90499877929688,67.88294982910156,0.012929971313781596,0.04310240769541829
72,72,72,72,2019-05-20,70.13796997070312,70.33362579345703,68.15319061279297,-0.0027818247750865943,0.029122324869374383
73,73,73,73,2019-05-21,71.49842834472656,68.74024200439453,69.37386322021484,0.04012476912949636,0.030624863974601846
74,74,74,74,2019-05-22,71.72206115722656,69.23409271240234,69.05704498291016,0.03593559686207226,0.03859151770794611
75,75,75,75,2019-05-23,70.9393310546875,69.9329833984375,68.5165786743164,0.014390171952430642,0.03536008988258588
76,76,76,76,2019-05-24,71.06975555419922,71.08842468261719,69.11296081542969,-0.00026261840097485667,0.028312992464543107
77,77,77,77,2019-05-28,69.86773681640625,70.80886840820312,69.90499877929688,-0.013291154243157521,-0.0005330371724669991
78,78,78,78,2019-05-29,69.70001220703125,70.13796997070312,70.33362579345703,-0.006244232102166847,-0.009008686517690156
79,79,79,79,2019-05-30,69.72796630859375,71.49842834472656,68.74024200439453,-0.02476225110287189,0.014368938417995025
80,80,80,80,2019-05-31,70.19387817382812,71.72206115722656,69.23409271240234,-0.021307014309703276,0.013862902275801003
81,81,81,81,2019-06-03,70.74364471435547,70.9393310546875,69.9329833984375,-0.002758502757534864,0.011591973865883842
82,82,82,82,2019-06-04,72.68182373046875,71.06975555419922,71.08842468261719,0.022682900253401472,0.022414324905432714
83,83,83,83,2019-06-05,72.79363250732422,69.86773681640625,70.80886840820312,0.04187763657790211,0.028029880207648628
84,84,84,84,2019-06-06,73.3341064453125,69.70001220703125,70.13796997070312,0.05213907606625412,0.04556927547153711
85,85,85,85,2019-06-07,74.00501251220703,69.72796630859375,71.49842834472656,0.061339035541126075,0.035057891837776856
86,86,86,86,2019-06-10,73.77205657958984,70.19387817382812,71.72206115722656,0.05097564771817731,0.028582494553096582
