,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EPAM,EPAM_6m,EPAM_12m,EPAM_6m_ret,EPAM_12m_ret
0,0,0,0,2019-02-05,145.25,,,,
1,1,1,1,2019-02-06,146.30999755859375,,,,
2,2,2,2,2019-02-07,144.39999389648438,,,,
3,3,3,3,2019-02-08,146.41000366210938,,,,
4,4,4,4,2019-02-11,149.2100067138672,,,,
5,5,5,5,2019-02-12,148.19000244140625,,,,
6,6,6,6,2019-02-13,149.5800018310547,145.25,,0.02981068386268282,
7,7,7,7,2019-02-14,154.08999633789062,146.30999755859375,,0.05317475845204056,
8,8,8,8,2019-02-15,154.69000244140625,144.39999389648438,,0.07126044999903836,
9,9,9,9,2019-02-19,155.75999450683594,146.41000366210938,,0.06386169394753138,
10,10,10,10,2019-02-20,155.88999938964844,149.2100067138672,,0.04476906625030286,
11,11,11,11,2019-02-21,156.0,148.19000244140625,,0.052702594169143024,
12,12,12,12,2019-02-22,158.61000061035156,149.5800018310547,145.25,0.0603690243933539,0.09197935015732583
13,13,13,13,2019-02-25,159.47999572753906,154.08999633789062,146.30999755859375,0.03497955427183719,0.09001434207304282
14,14,14,14,2019-02-26,159.67999267578125,154.69000244140625,144.39999389648438,0.032258000876721926,0.10581717053430495
15,15,15,15,2019-02-27,159.8699951171875,155.75999450683594,146.41000366210938,0.026386753693492082,0.09193355042966611
16,16,16,16,2019-02-28,161.77999877929688,155.88999938964844,149.2100067138672,0.03778304838481872,0.08424362643139993
17,17,17,17,2019-03-01,163.5500030517578,156.0,148.19000244140625,0.04839745545998597,0.10365072108305573
18,18,18,18,2019-03-04,162.5,158.61000061035156,149.5800018310547,0.02452556191084554,0.0863751705494562
19,19,19,19,2019-03-05,161.67999267578125,159.47999572753906,154.08999633789062,0.013794814441810743,0.04925690517408521
20,20,20,20,2019-03-06,160.69000244140625,159.67999267578125,154.69000244140625,0.006325211748197779,0.03878725131103855
21,21,21,21,2019-03-07,159.4199981689453,159.8699951171875,155.75999450683594,-0.0028147680114228857,0.02349771309184745
22,22,22,22,2019-03-08,161.0800018310547,161.77999877929688,155.88999938964844,-0.004326844811002428,0.03329272218696855
23,23,23,23,2019-03-11,163.57000732421875,163.5500030517578,156.0,0.00012231288344644042,0.04852568797576118
24,24,24,24,2019-03-12,165.5500030517578,162.5,158.61000061035156,0.018769249549278832,0.04375513785196539
25,25,25,25,2019-03-13,166.47999572753906,161.67999267578125,159.47999572753906,0.02968829335230927,0.04389265229200934
26,26,26,26,2019-03-14,168.0,160.69000244140625,159.67999267578125,0.045491302803727596,0.052104256674860405
