,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,KMB,KMB_6m,KMB_12m,KMB_6m_ret,KMB_12m_ret
0,0,0,0,2019-02-05,94.8840560913086,,,,
1,1,1,1,2019-02-06,96.52436065673828,,,,
2,2,2,2,2019-02-07,95.84795379638672,,,,
3,3,3,3,2019-02-08,97.81798553466795,,,,
4,4,4,4,2019-02-11,98.74807739257812,,,,
5,5,5,5,2019-02-12,98.08011627197266,,,,
6,6,6,6,2019-02-13,98.15621185302734,94.8840560913086,,0.03448583351632761,
7,7,7,7,2019-02-14,98.7988052368164,96.52436065673828,,0.023563425487650225,
8,8,8,8,2019-02-15,100.14318084716795,95.84795379638672,,0.04481292380957602,
9,9,9,9,2019-02-19,101.0986328125,97.81798553466795,,0.033538282964019395,
10,10,10,10,2019-02-20,100.26155090332033,98.74807739257812,,0.015326612433428144,
11,11,11,11,2019-02-21,101.2339096069336,98.08011627197266,,0.03215527728592393,
12,12,12,12,2019-02-22,100.70121002197266,98.15621185302734,94.8840560913086,0.02592803981429137,0.06130802339505936
13,13,13,13,2019-02-25,99.58513641357422,98.7988052368164,96.52436065673828,0.007958913823634006,0.03170987858412988
14,14,14,14,2019-02-26,99.57666015625,100.14318084716795,95.84795379638672,-0.005657107015429652,0.038902305288481154
15,15,15,15,2019-02-27,98.6466293334961,101.0986328125,97.81798553466795,-0.02425357703453268,0.008471282600012842
16,16,16,16,2019-02-28,98.78189086914062,100.26155090332033,98.74807739257812,-0.01475800065776467,0.00034242161928954573
17,17,17,17,2019-03-01,97.80955505371094,101.2339096069336,98.08011627197266,-0.033826161278553646,-0.002758573588059976
18,18,18,18,2019-03-04,98.4521484375,100.70121002197266,98.15621185302734,-0.022334007545509293,0.003014955231929406
19,19,19,19,2019-03-05,98.6550750732422,99.58513641357422,98.7988052368164,-0.00933935900302929,-0.0014547763328685015
20,20,20,20,2019-03-06,98.19002532958984,99.57666015625,100.14318084716795,-0.013925299608204655,-0.019503629713528814
21,21,21,21,2019-03-07,98.2582778930664,98.6466293334961,101.0986328125,-0.00393679381701717,-0.028094889519439725
22,22,22,22,2019-03-08,98.85543823242188,98.78189086914062,100.26155090332033,0.0007445429788206503,-0.014024445644715056
23,23,23,23,2019-03-11,100.314208984375,97.80955505371094,101.2339096069336,0.02560745654439045,-0.009084906689167394
24,24,24,24,2019-03-12,100.4762954711914,98.4521484375,100.70121002197266,0.020559704037097726,-0.0022334840935096523
25,25,25,25,2019-03-13,101.0649185180664,98.6550750732422,99.58513641357422,0.024426958704710566,0.014859467564985795
26,26,26,26,2019-03-14,101.04786682128906,98.19002532958984,99.57666015625,0.02910521187978543,0.014774613475994514
27,27,27,27,2019-03-15,102.53223419189452,98.2582778930664,98.6466293334961,0.04349716268668402,0.03938912950854401
28,28,28,28,2019-03-18,102.00333404541016,98.85543823242188,98.78189086914062,0.03184342580715871,0.03261167758508576
29,29,29,29,2019-03-19,102.3189697265625,100.314208984375,97.80955505371094,0.0199848133428413,0.04610403012645614
30,30,30,30,2019-03-20,102.00333404541016,100.4762954711914,98.4521484375,0.015197998364266718,0.036070168749690046
31,31,31,31,2019-03-21,103.61564636230467,101.0649185180664,98.6550750732422,0.0252385088875553,0.05028196760663062
32,32,32,32,2019-03-22,104.11898803710938,101.04786682128906,98.19002532958984,0.030392736753679594,0.060382535676287485
33,33,33,33,2019-03-25,103.99954986572266,102.53223419189452,98.2582778930664,0.0143107744154094,0.05843041518501302
34,34,34,34,2019-03-26,104.99765014648438,102.00333404541016,98.85543823242188,0.02935508068531556,0.0621332728263404
35,35,35,35,2019-03-27,105.22796630859376,102.3189697265625,100.314208984375,0.028430667253640962,0.04898366217475858
36,36,36,36,2019-03-28,105.68863677978516,102.00333404541016,100.4762954711914,0.03612923801818435,0.0518763284827537
37,37,37,37,2019-03-29,105.69717407226562,103.61564636230467,101.0649185180664,0.020088932347945176,0.045834455933105644
38,38,38,38,2019-04-01,104.73318481445312,104.11898803710938,101.04786682128906,0.005898989117382181,0.03647101229441918
39,39,39,39,2019-04-02,104.63082122802734,103.99954986572266,102.53223419189452,0.006069943217251739,0.0204675832207577
40,40,40,40,2019-04-03,103.88009643554688,104.99765014648438,102.00333404541016,-0.010643606874805034,0.018399029871917882
41,41,41,41,2019-04-04,104.06777954101562,105.22796630859376,102.3189697265625,-0.0110254603246418,0.01709174573519112
42,42,42,42,2019-04-05,104.00807189941406,105.68863677978516,102.00333404541016,-0.015901093358529628,0.01965365027295518
43,43,43,43,2019-04-08,103.76919555664062,105.69717407226562,103.61564636230467,-0.018240587154268018,0.001481911272348313
44,44,44,44,2019-04-09,103.51327514648438,104.73318481445312,104.11898803710938,-0.011647785466754934,-0.005817506509082859
45,45,45,45,2019-04-10,103.78626251220705,104.63082122802734,103.99954986572266,-0.008071796683882582,-0.0020508488141630643
46,46,46,46,2019-04-11,104.56256103515624,103.88009643554688,104.99765014648438,0.006569733982031867,-0.00414379855854996
47,47,47,47,2019-04-12,105.08297729492188,104.06777954101562,105.22796630859376,0.009755159170145689,-0.0013778562748869572
48,48,48,48,2019-04-15,104.92941284179688,104.00807189941406,105.68863677978516,0.008858359986461783,-0.007183590981216015
49,49,49,49,2019-04-16,105.202392578125,103.76919555664062,105.69717407226562,0.01381139184703506,-0.00468112320394054
50,50,50,50,2019-04-17,105.31328582763672,103.51327514648438,104.73318481445312,0.017389177171769576,0.005538846299874445
51,51,51,51,2019-04-18,105.39859008789062,103.78626251220705,104.63082122802734,0.015535076961596284,0.007337884295011365
