,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MU,MU_6m,MU_12m,MU_6m_ret,MU_12m_ret
0,0,0,0,2019-02-05,38.703712463378906,,,,
1,1,1,1,2019-02-06,40.81732177734375,,,,
2,2,2,2,2019-02-07,38.71354675292969,,,,
3,3,3,3,2019-02-08,37.92708206176758,,,,
4,4,4,4,2019-02-11,37.92708206176758,,,,
5,5,5,5,2019-02-12,39.71627807617188,,,,
6,6,6,6,2019-02-13,40.97461700439453,38.703712463378906,,0.05867407534004232,
7,7,7,7,2019-02-14,41.51530838012695,40.81732177734375,,0.017100254803357195,
8,8,8,8,2019-02-15,41.27937316894531,38.71354675292969,,0.06627722415594617,
9,9,9,9,2019-02-19,41.2498779296875,37.92708206176758,,0.08761011096262195,
10,10,10,10,2019-02-20,41.49564743041992,37.92708206176758,,0.09409016393195291,
11,11,11,11,2019-02-21,40.82715225219727,39.71627807617188,,0.027970248720054824,
12,12,12,12,2019-02-22,41.84954833984375,40.97461700439453,38.703712463378906,0.021353008262539275,0.08127995161811419
13,13,13,13,2019-02-25,42.02650833129883,41.51530838012695,40.81732177734375,0.012313528939521978,0.0296243482252736
14,14,14,14,2019-02-26,42.23295593261719,41.27937316894531,38.71354675292969,0.023100708428132277,0.09090898341473097
15,15,15,15,2019-02-27,40.620704650878906,41.2498779296875,37.92708206176758,-0.015252730683980475,0.07102108685093489
16,16,16,16,2019-02-28,40.18815612792969,41.49564743041992,37.92708206176758,-0.031509119231906024,0.05961634650616543
17,17,17,17,2019-03-01,40.87630844116211,40.82715225219727,39.71627807617188,0.0012040072905694643,0.029207932394002434
18,18,18,18,2019-03-04,40.3651123046875,41.84954833984375,40.97461700439453,-0.03547077791859854,-0.014875177470033751
19,19,19,19,2019-03-05,39.3132209777832,42.02650833129883,41.51530838012695,-0.06456133191286151,-0.05304278080222258
20,20,20,20,2019-03-06,37.288082122802734,42.23295593261719,41.27937316894531,-0.11708566688308564,-0.09668972030673295
21,21,21,21,2019-03-07,37.18977355957031,40.620704650878906,41.2498779296875,-0.08446261877523487,-0.09842706388217293
22,22,22,22,2019-03-08,37.99589920043945,40.18815612792969,41.49564743041992,-0.054549826085867004,-0.08434012834355364
23,23,23,23,2019-03-11,38.36946487426758,40.87630844116211,40.82715225219727,-0.06132754308043531,-0.06019737459884733
24,24,24,24,2019-03-12,38.58573532104492,40.3651123046875,41.84954833984375,-0.044082052100123725,-0.07798920533848264
25,25,25,25,2019-03-13,38.172847747802734,39.3132209777832,42.02650833129883,-0.02900737211598403,-0.09169594944974568
26,26,26,26,2019-03-14,37.75995635986328,37.288082122802734,42.23295593261719,0.012654827231566967,-0.10591253853721705
27,27,27,27,2019-03-15,38.87083053588867,37.18977355957031,40.620704650878906,0.045202129924928336,-0.0430783791179844
28,28,28,28,2019-03-18,38.93965148925781,37.99589920043945,40.18815612792969,0.024838266988755464,-0.03106648224162234
29,29,29,29,2019-03-19,39.68678665161133,38.36946487426758,40.87630844116211,0.03433255537079982,-0.029100518978199652
30,30,30,30,2019-03-20,39.45085144042969,38.58573532104492,40.3651123046875,0.022420620267742386,-0.022649778783140895
31,31,31,31,2019-03-21,43.24552154541016,38.172847747802734,39.3132209777832,0.13288696277315126,0.10002488907864326
32,32,32,32,2019-03-22,40.91563415527344,37.75995635986328,37.288082122802734,0.08357207210028617,0.09728448946566637
33,33,33,33,2019-03-25,39.86373901367188,38.87083053588867,37.18977355957031,0.025543793741851673,0.07190055755027469
34,34,34,34,2019-03-26,39.63763427734375,38.93965148925781,37.99589920043945,0.017924731254425508,0.04320821750378023
35,35,35,35,2019-03-27,38.56607818603516,39.68678665161133,38.36946487426758,-0.028238831110572238,0.005124213027517088
36,36,36,36,2019-03-28,38.674224853515625,39.45085144042969,38.58573532104492,-0.01968592713611672,0.002293322434688383
37,37,37,37,2019-03-29,40.63053894042969,43.24552154541016,38.172847747802734,-0.06046828692387496,0.064383228855867
38,38,38,38,2019-04-01,41.534969329833984,40.91563415527344,37.75995635986328,0.01513688318284867,0.09997397597586555
39,39,39,39,2019-04-02,41.72174835205078,39.86373901367188,38.87083053588867,0.046609008195183765,0.07334337282888548
