,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MRK,MRK_6m,MRK_12m,MRK_6m_ret,MRK_12m_ret
0,0,0,0,2019-02-05,63.16980743408203,,,,
1,1,1,1,2019-02-06,63.366329193115234,,,,
2,2,2,2,2019-02-07,62.89961624145508,,,,
3,3,3,3,2019-02-08,63.472774505615234,,,,
4,4,4,4,2019-02-11,62.80955505371094,,,,
5,5,5,5,2019-02-12,64.29154205322266,,,,
6,6,6,6,2019-02-13,64.7009506225586,63.16980743408203,,0.024238528668530712,
7,7,7,7,2019-02-14,64.63545989990234,63.366329193115234,,0.02002847131825014,
8,8,8,8,2019-02-15,65.34779357910156,62.89961624145508,,0.03892197574383571,
9,9,9,9,2019-02-19,64.88109588623047,63.472774505615234,,0.022187802433162096,
10,10,10,10,2019-02-20,65.03665161132812,62.80955505371094,,0.03545792603868492,
11,11,11,11,2019-02-21,65.36418151855469,64.29154205322266,,0.016683990320905062,
12,12,12,12,2019-02-22,66.13383483886719,64.7009506225586,63.16980743408203,0.022146262188132537,0.04692158366761112
13,13,13,13,2019-02-25,65.81450653076172,64.63545989990234,63.366329193115234,0.018241482812767273,0.03863530314633534
14,14,14,14,2019-02-26,66.10928344726562,65.34779357910156,62.89961624145508,0.011652878030874891,0.05102840681077425
15,15,15,15,2019-02-27,66.01103210449219,64.88109588623047,63.472774505615234,0.017415492183471715,0.039989706116476675
16,16,16,16,2019-02-28,66.55963897705078,65.03665161132812,62.80955505371094,0.023417370482483157,0.05970562791175649
17,17,17,17,2019-03-01,66.85438537597656,65.36418151855469,64.29154205322266,0.022798478047167947,0.03986283795514356
18,18,18,18,2019-03-04,66.62510681152344,66.13383483886719,64.7009506225586,0.00742845131925618,0.029739225937956526
19,19,19,19,2019-03-05,66.89531707763672,65.81450653076172,64.63545989990234,0.016422071726236,0.03496311747814751
20,20,20,20,2019-03-06,66.12564849853516,66.10928344726562,65.34779357910156,0.0002475454341082095,0.011903308081733899
21,21,21,21,2019-03-07,65.87183380126953,66.01103210449219,64.88109588623047,-0.0021087127224781455,0.015270055191058063
22,22,22,22,2019-03-08,65.339599609375,66.55963897705078,65.03665161132812,-0.018330017806984178,0.004658111857562375
23,23,23,23,2019-03-11,66.21571350097656,66.85438537597656,65.36418151855469,-0.00955317847001702,0.013027501647521644
24,24,24,24,2019-03-12,66.51048278808594,66.62510681152344,66.13383483886719,-0.0017204328656726942,0.005695238301792749
25,25,25,25,2019-03-13,66.81343841552734,66.89531707763672,65.81450653076172,-0.0012239819719270795,0.015177989434574268
26,26,26,26,2019-03-14,67.17615509033203,66.12564849853516,66.10928344726562,0.015886522335128994,0.01613800040530511
27,27,27,27,2019-03-15,67.24210357666016,65.87183380126953,66.01103210449219,0.020802059033677933,0.01864948074466155
28,28,28,28,2019-03-18,67.06075286865234,65.339599609375,66.55963897705078,0.026341656048813444,0.007528795217389028
29,29,29,29,2019-03-19,67.52237701416016,66.21571350097656,66.85438537597656,0.019733435526060106,0.009991740024636098
30,30,30,30,2019-03-20,67.66251373291016,66.51048278808594,66.62510681152344,0.017321043187955576,0.015570810630314735
31,31,31,31,2019-03-21,68.37969970703125,66.81343841552734,66.89531707763672,0.02344230934146796,0.02218963440552657
32,32,32,32,2019-03-22,67.83564758300781,67.17615509033203,66.12564849853516,0.009817359921671098,0.025859845964467665
33,33,33,33,2019-03-25,67.88510131835938,67.24210357666016,65.87183380126953,0.009562427519331784,0.030563404734772037
34,34,34,34,2019-03-26,68.35497283935547,67.06075286865234,65.339599609375,0.019299216238118255,0.04614924560308786
35,35,35,35,2019-03-27,67.83564758300781,67.52237701416016,66.21571350097656,0.004639507415178157,0.02446449636168846
36,36,36,36,2019-03-28,68.11590576171875,67.66251373291016,66.51048278808594,0.006700786060037656,0.024137893852732573
