,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DD,DD_6m,DD_12m,DD_6m_ret,DD_12m_ret
0,0,0,0,2019-02-05,70.06669616699219,,,,
1,1,1,1,2019-02-06,68.71080780029297,,,,
2,2,2,2,2019-02-07,67.38076782226562,,,,
3,3,3,3,2019-02-08,66.77384185791016,,,,
4,4,4,4,2019-02-11,67.14833068847656,,,,
5,5,5,5,2019-02-12,68.90452575683594,,,,
6,6,6,6,2019-02-13,68.62042999267578,70.06669616699219,,-0.020641278288182408,
7,7,7,7,2019-02-14,68.0005874633789,68.71080780029297,,-0.010336370065365919,
8,8,8,8,2019-02-15,70.04088592529297,67.38076782226562,,0.03947889270190719,
9,9,9,9,2019-02-19,70.49282836914062,66.77384185791016,,0.05569526041566086,
10,10,10,10,2019-02-20,72.62350463867188,67.14833068847656,,0.08153849684806702,
11,11,11,11,2019-02-21,71.3580093383789,68.90452575683594,,0.035607001929035986,
12,12,12,12,2019-02-22,70.9835205078125,68.62042999267578,70.06669616699219,0.03443712776776464,0.01308502314188198
13,13,13,13,2019-02-25,72.41688537597656,68.0005874633789,68.71080780029297,0.06494499646750862,0.053937330884760604
14,14,14,14,2019-02-26,72.15862274169922,70.04088592529297,67.38076782226562,0.030235722869997206,0.07090828843085362
15,15,15,15,2019-02-27,71.14451599121094,70.49282836914062,66.77384185791016,0.009244736480960913,0.06545488490240325
16,16,16,16,2019-02-28,69.207275390625,72.62350463867188,67.14833068847656,-0.047040269745227126,0.03066263421648663
17,17,17,17,2019-03-01,69.35029602050781,71.3580093383789,68.90452575683594,-0.02813578092335145,0.006469390200071867
18,18,18,18,2019-03-04,70.53343963623047,70.9835205078125,68.62042999267578,-0.006340638902694207,0.02787813547304907
19,19,19,19,2019-03-05,69.7923583984375,72.41688537597656,68.0005874633789,-0.03624192015319283,0.026349344937991015
20,20,20,20,2019-03-06,70.81947326660156,72.15862274169922,70.04088592529297,-0.01855841234513733,0.011116183512285271
21,21,21,21,2019-03-07,70.88446807861328,71.14451599121094,70.49282836914062,-0.0036552067151568446,0.005555738342938987
22,22,22,22,2019-03-08,71.09251403808594,69.207275390625,72.62350463867188,0.02724046910993283,-0.021081199650211935
23,23,23,23,2019-03-11,72.26264190673828,69.35029602050781,71.3580093383789,0.04199471456285142,0.01267737955062076
24,24,24,24,2019-03-12,72.24964141845703,70.53343963623047,70.9835205078125,0.024331746630785522,0.017836828908833535
25,25,25,25,2019-03-13,72.67868041992188,69.7923583984375,72.41688537597656,0.041355845936694946,0.0036151105171966513
26,26,26,26,2019-03-14,71.54755401611328,70.81947326660156,72.15862274169922,0.010280798711546968,-0.00846840893531653
27,27,27,27,2019-03-15,71.8725814819336,70.88446807861328,71.14451599121094,0.013939773128077482,0.010233613660574958
28,28,28,28,2019-03-18,71.78157806396484,71.09251403808594,69.207275390625,0.00969249765889213,0.03719699495190021
29,29,29,29,2019-03-19,71.61255645751953,72.26264190673828,69.35029602050781,-0.00899614838408136,0.03262077549521547
30,30,30,30,2019-03-20,71.52157592773438,72.24964141845703,70.53343963623047,-0.010077081026684032,0.014009472621782315
31,31,31,31,2019-03-21,72.70468139648438,72.67868041992188,69.7923583984375,0.0003577524579734259,0.041728393550203746
32,32,32,32,2019-03-22,70.10438537597656,71.54755401611328,70.81947326660156,-0.02017076139055296,-0.010097334216720766
33,33,33,33,2019-03-25,69.25926971435547,71.8725814819336,70.88446807861328,-0.03636034373184471,-0.02292742554624816
34,34,34,34,2019-03-26,69.14225769042969,71.78157806396484,71.09251403808594,-0.03676877054978156,-0.027432654113363486
35,35,35,35,2019-03-27,68.46617889404297,71.61255645751953,72.26264190673828,-0.04393611566350086,-0.05253700823165319
36,36,36,36,2019-03-28,68.544189453125,71.52157592773438,72.24964141845703,-0.04162920679513182,-0.051286786931864725
37,37,37,37,2019-03-29,69.311279296875,72.70468139648438,72.67868041992188,-0.046673777182296594,-0.046332722382832925
38,38,38,38,2019-04-01,70.75445556640625,70.10438537597656,71.54755401611328,0.009272889091649583,-0.011084913532172114
39,39,39,39,2019-04-02,70.5472640991211,69.25926971435547,71.8725814819336,0.0185967075609903,-0.018439818850052636
40,40,40,40,2019-04-03,72.20993041992188,69.14225769042969,71.78157806396484,0.04436755223161892,0.005967441333977419
41,41,41,41,2019-04-04,73.04124450683594,68.46617889404297,71.61255645751953,0.06682227176535238,0.019950245040671
42,42,42,42,2019-04-05,73.27326202392578,68.544189453125,71.52157592773438,0.06899304825881458,0.024491715590289953
43,43,43,43,2019-04-08,73.73725128173828,69.311279296875,72.70468139648438,0.06385644630660914,0.014202247577744576
44,44,44,44,2019-04-09,73.89189910888672,70.75445556640625,70.10438537597656,0.04434269923165246,0.054026773255301475
45,45,45,45,2019-04-10,74.43324279785156,70.5472640991211,69.25926971435547,0.055083336658818594,0.07470441292313645
46,46,46,46,2019-04-11,75.187255859375,72.20993041992188,69.14225769042969,0.04123152345029424,0.08742841745218333
47,47,47,47,2019-04-12,76.30857849121094,73.04124450683594,68.46617889404297,0.04473272609791312,0.11454414024338533
48,48,48,48,2019-04-15,75.20658874511719,73.27326202392578,68.544189453125,0.02638515971296762,0.0971986005691754
49,49,49,49,2019-04-16,75.68989562988281,73.73725128173828,69.311279296875,0.026481111164339266,0.09202854712415331
50,50,50,50,2019-04-17,75.78658294677734,73.89189910888672,70.75445556640625,0.02564129303401219,0.07112099641058234
51,51,51,51,2019-04-18,75.39990997314453,74.43324279785156,70.5472640991211,0.012987035616844889,0.06878574153074624
52,52,52,52,2019-04-22,74.08525085449219,75.187255859375,72.20993041992188,-0.014656805761656289,0.0259703952581698
53,53,53,53,2019-04-23,74.00791931152344,76.30857849121094,73.04124450683594,-0.030149417341753804,0.013234643128199108
54,54,54,54,2019-04-24,74.0272445678711,75.20658874511719,73.27326202392578,-0.01568139436882332,0.010290009249200871
55,55,55,55,2019-04-25,72.6932373046875,75.68989562988281,73.73725128173828,-0.039591259840662474,-0.014158569229300033
56,56,56,56,2019-04-26,73.46656799316406,75.78658294677734,73.89189910888672,-0.03061247602682604,-0.0057561264611143415
57,57,57,57,2019-04-29,73.3892593383789,75.39990997314453,74.43324279785156,-0.02666648588150522,-0.014025768866579469
58,58,58,58,2019-04-30,74.33657836914062,74.08525085449219,75.187255859375,0.0033924095788251396,-0.01131411807109206
59,59,59,59,2019-05-01,72.132568359375,74.00791931152344,76.30857849121094,-0.025339868619390193,-0.05472530368675288
60,60,60,60,2019-05-02,67.28103637695312,74.0272445678711,75.20658874511719,-0.09113142371161442,-0.10538375028582359
61,61,61,61,2019-05-03,67.70797729492188,72.6932373046875,75.68989562988281,-0.06857941941518342,-0.10545553364205762
62,62,62,62,2019-05-06,65.24341583251953,73.46656799316406,75.78658294677734,-0.11193053364640204,-0.13911653889530773
63,63,63,63,2019-05-07,62.37129974365234,73.3892593383789,75.39990997314453,-0.1501304100089852,-0.17279344543160124
64,64,64,64,2019-05-08,61.47863006591797,74.33657836914062,74.08525085449219,-0.17296933199390274,-0.17016370523377677
65,65,65,65,2019-05-09,60.13960266113281,72.132568359375,74.00791931152344,-0.16626284036486094,-0.18738963045311896
66,66,66,66,2019-05-10,61.09049224853516,67.28103637695312,74.0272445678711,-0.09201023738300362,-0.17475663716586132
67,67,67,67,2019-05-13,58.68413543701172,67.70797729492188,72.6932373046875,-0.13327590364432507,-0.19271533896554682
68,68,68,68,2019-05-14,59.69327163696289,65.24341583251953,73.46656799316406,-0.08506826512278132,-0.18747706245761686
69,69,69,69,2019-05-15,58.41245269775391,62.37129974365234,73.3892593383789,-0.06347225506233456,-0.20407354939461653
70,70,70,70,2019-05-16,59.77088165283203,61.47863006591797,74.33657836914062,-0.02777791911197225,-0.1959425229928966
71,71,71,71,2019-05-17,60.10077667236328,60.13960266113281,72.132568359375,-0.0006455976935582086,-0.16680109915215513
72,72,72,72,2019-05-20,60.21723175048828,61.09049224853516,67.28103637695312,-0.01429454021248,-0.10498953355725249
73,73,73,73,2019-05-21,62.0802116394043,58.68413543701172,67.70797729492188,0.05787043086010413,-0.0831182067513877
74,74,74,74,2019-05-22,61.556243896484375,59.69327163696289,65.24341583251953,0.03120908284021584,-0.056514084815855736
75,75,75,75,2019-05-23,60.04256820678711,58.41245269775391,62.37129974365234,0.027906986160433522,-0.037336588245497127
76,76,76,76,2019-05-24,60.31425476074219,59.77088165283203,61.47863006591797,0.009090933459309447,-0.01893951286694784
77,77,77,77,2019-05-28,59.712669372558594,60.10077667236328,60.13960266113281,-0.006457608724766306,-0.007099037401025909
78,78,78,78,2019-05-29,60.33366394042969,60.21723175048828,61.09049224853516,0.0019335360752523734,-0.01238864314640753
79,79,79,79,2019-05-30,60.48890686035156,62.0802116394043,58.68413543701172,-0.025633043719243465,0.030753991856572238
80,80,80,80,2019-05-31,59.22751235961914,61.556243896484375,59.69327163696289,-0.03783095571557826,-0.007802542306214355
81,81,81,81,2019-06-03,69.77909851074219,60.04256820678711,58.41245269775391,0.16216045706809856,0.19459285285970096
82,82,82,82,2019-06-04,67.95439147949219,60.31425476074219,59.77088165283203,0.12667215650856178,0.13691465811383785
83,83,83,83,2019-06-05,68.64209747314453,59.712669372558594,60.10077667236328,0.1495399250178142,0.1421166459685519
84,84,84,84,2019-06-06,66.62483215332031,60.33366394042969,60.21723175048828,0.10427293490914447,0.1064080864657162
85,85,85,85,2019-06-07,67.5234375,60.48890686035156,62.0802116394043,0.11629455721342086,0.0876805300248158
86,86,86,86,2019-06-10,67.6242904663086,59.22751235961914,61.556243896484375,0.14177158168834914,0.09857727154419149
87,87,87,87,2019-06-11,67.60596466064453,69.77909851074219,60.04256820678711,-0.031143048512773608,0.12596723757399952
88,88,88,88,2019-06-12,67.35839080810547,67.95439147949219,60.31425476074219,-0.008770598314703282,0.11679056759146467
89,89,89,89,2019-06-13,68.61458587646484,68.64209747314453,59.712669372558594,-0.0004007977275235497,0.14907919202816933
90,90,90,90,2019-06-14,68.84382629394531,66.62483215332031,60.33366394042969,0.0333058120959846,0.14105164178190988
91,91,91,91,2019-06-17,68.54125213623047,67.5234375,60.48890686035156,0.01507350149687614,0.13312102489253186
