,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PG,PG_6m,PG_12m,PG_6m_ret,PG_12m_ret
0,0,0,0,2019-02-05,85.99188232421875,,,,
1,1,1,1,2019-02-06,86.41548156738281,,,,
2,2,2,2,2019-02-07,85.72711944580078,,,,
3,3,3,3,2019-02-08,86.23015594482422,,,,
4,4,4,4,2019-02-11,86.72435760498047,,,,
5,5,5,5,2019-02-12,87.59805297851562,,,,
6,6,6,6,2019-02-13,87.58039855957031,85.99188232421875,,0.01847286269839188,
7,7,7,7,2019-02-14,86.89204406738281,86.41548156738281,,0.005514781510861599,
8,8,8,8,2019-02-15,86.90970611572266,85.72711944580078,,0.01379477903336701,
9,9,9,9,2019-02-19,88.24229431152344,86.23015594482422,,0.023334509194054,
10,10,10,10,2019-02-20,87.61570739746094,86.72435760498047,,0.010277963620560548,
11,11,11,11,2019-02-21,88.05694580078125,87.59805297851562,,0.005238618972252418,
12,12,12,12,2019-02-22,88.47174072265625,87.58039855957031,85.99188232421875,0.010177416154137031,0.028838284863768715
13,13,13,13,2019-02-25,87.87163543701172,86.89204406738281,86.41548156738281,0.011273660093313653,0.016850613376417467
14,14,14,14,2019-02-26,88.10107421875,86.90970611572266,85.72711944580078,0.013708113354347295,0.027691992782401975
15,15,15,15,2019-02-27,87.2891845703125,88.24229431152344,86.23015594482422,-0.010801053493080692,0.01228141841893371
16,16,16,16,2019-02-28,86.97147369384766,87.61570739746094,86.72435760498047,-0.007352947579259639,0.0028494427135774547
17,17,17,17,2019-03-01,86.87439727783203,88.05694580078125,87.59805297851562,-0.01342936110485371,-0.008261093438470368
18,18,18,18,2019-03-04,87.25386810302734,88.47174072265625,87.58039855957031,-0.013765668106912599,-0.0037283508857391956
19,19,19,19,2019-03-05,87.44802856445312,87.87163543701172,86.89204406738281,-0.004820746426897227,0.006398566209803391
20,20,20,20,2019-03-06,87.30683135986328,88.10107421875,86.90970611572266,-0.009015132516031032,0.0045694003798821825
21,21,21,21,2019-03-07,86.97147369384766,87.2891845703125,88.24229431152344,-0.0036397507667049744,-0.014401491117053022
22,22,22,22,2019-03-08,86.84791564941406,86.97147369384766,87.61570739746094,-0.001420673229805658,-0.00876317467327925
23,23,23,23,2019-03-11,87.88046264648438,86.87439727783203,88.05694580078125,0.01158068890463615,-0.002004193453360781
24,24,24,24,2019-03-12,88.29524230957031,87.25386810302734,88.47174072265625,0.011934991871229483,-0.0019949693726409867
25,25,25,25,2019-03-13,89.29247283935547,87.44802856445312,87.87163543701172,0.021091890865703178,0.016169465781278536
26,26,26,26,2019-03-14,89.416015625,87.30683135986328,88.10107421875,0.02415829588916174,0.014925373134328401
27,27,27,27,2019-03-15,90.40443420410156,86.97147369384766,87.2891845703125,0.039472258712534014,0.03568883876191653
28,28,28,28,2019-03-18,89.58370208740234,86.84791564941406,86.97147369384766,0.03150088770157766,0.030035462003899394
29,29,29,29,2019-03-19,89.9278793334961,87.88046264648438,86.87439727783203,0.023297745885201282,0.03514823873711337
30,30,30,30,2019-03-20,89.76905059814453,88.29524230957031,87.25386810302734,0.01669181996700253,0.028826028573854412
31,31,31,31,2019-03-21,90.44856262207033,89.29247283935547,87.44802856445312,0.012947225515803185,0.034312197849099224
32,32,32,32,2019-03-22,89.71609497070312,89.416015625,87.30683135986328,0.0033559910224765233,0.02759536193576073
33,33,33,33,2019-03-25,89.9808349609375,90.40443420410156,86.97147369384766,-0.0046856025027237624,0.03460170489559866
34,34,34,34,2019-03-26,90.91627502441406,89.58370208740234,86.84791564941406,0.01487517155421414,0.046844640364462675
35,35,35,35,2019-03-27,90.81040954589844,89.9278793334961,87.88046264648438,0.00981375541092766,0.03334013967587235
36,36,36,36,2019-03-28,91.38402557373048,89.76905059814453,88.29524230957031,0.01799033146530049,0.03498244280626861
37,37,37,37,2019-03-29,91.82528686523438,90.44856262207033,89.29247283935547,0.015221073760083303,0.028365369950450914
38,38,38,38,2019-04-01,91.46344757080078,89.71609497070312,89.416015625,0.01947646741276743,0.022897821285030817
39,39,39,39,2019-04-02,91.56053161621094,89.9808349609375,90.40443420410156,0.017555923502590387,0.012788060920765343
40,40,40,40,2019-04-03,91.50758361816406,90.91627502441406,89.58370208740234,0.0065038805603421235,0.021475798453659323
41,41,41,41,2019-04-04,91.2781219482422,90.81040954589844,89.9278793334961,0.005150427188717499,0.01501472763233691
42,42,42,42,2019-04-05,91.47227478027344,91.38402557373048,89.76905059814453,0.0009656962033453009,0.018973400863438572
43,43,43,43,2019-04-08,92.63719940185548,91.82528686523438,90.44856262207033,0.008841927581589859,0.024197584973573827
44,44,44,44,2019-04-09,92.3636245727539,91.46344757080078,89.71609497070312,0.009841931677201599,0.02951008515155884
45,45,45,45,2019-04-10,92.35478973388672,91.56053161621094,89.9808349609375,0.008674677873267811,0.02638289335701094
46,46,46,46,2019-04-11,92.44303894042967,91.50758361816406,90.91627502441406,0.0102227081655768,0.016793075998831064
47,47,47,47,2019-04-12,92.7165985107422,91.2781219482422,90.81040954589844,0.015759269930155417,0.02099086409119555
48,48,48,48,2019-04-15,93.3079071044922,91.47227478027344,91.38402557373048,0.020067636107532705,0.021052711550876957
49,49,49,49,2019-04-16,93.91682434082033,92.63719940185548,91.82528686523438,0.013813294737181181,0.02277735847050022
50,50,50,50,2019-04-17,94.07324981689452,92.3636245727539,91.46344757080078,0.01850972449434307,0.0285338276153817
51,51,51,51,2019-04-18,94.25101470947266,92.35478973388672,91.56053161621094,0.02053196137471347,0.0293847473990132
52,52,52,52,2019-04-22,94.21544647216795,92.44303894042967,91.50758361816406,0.019172969128377737,0.029591676962021696
53,53,53,53,2019-04-23,91.68254089355467,92.7165985107422,91.2781219482422,-0.011152885608370577,0.00443062298698238
54,54,54,54,2019-04-24,92.15357208251952,93.3079071044922,91.47227478027344,-0.012371245458115188,0.007448128997367132
55,55,55,55,2019-04-25,91.78917694091795,93.91682434082033,92.63719940185548,-0.022654592665753093,-0.009154232494214876
56,56,56,56,2019-04-26,94.08212280273438,94.07324981689452,92.3636245727539,9.431996722897296e-05,0.01860579029817977
57,57,57,57,2019-04-29,93.12228393554688,94.25101470947266,92.35478973388672,-0.01197579439759966,0.00831028042911064
58,58,58,58,2019-04-30,94.6331558227539,94.21544647216795,92.44303894042967,0.004433554859917255,0.023691528398753103
59,59,59,59,2019-05-01,93.25563049316406,91.68254089355467,92.7165985107422,0.01715800614029428,0.005813759252173201
60,60,60,60,2019-05-02,93.81552124023438,92.15357208251952,93.3079071044922,0.018034560355692397,0.005440204924687775
61,61,61,61,2019-05-03,94.27767181396484,91.78917694091795,93.91682434082033,0.027110983625538543,0.003842202668981054
62,62,62,62,2019-05-06,93.92217254638672,94.08212280273438,94.07324981689452,-0.0017001131732862218,-0.0016059535606759434
63,63,63,63,2019-05-07,93.05119323730467,93.12228393554688,94.25101470947266,-0.0007634123137637561,-0.012730064242453154
64,64,64,64,2019-05-08,93.3800277709961,94.6331558227539,94.21544647216795,-0.013241955642955605,-0.008867109719833954
65,65,65,65,2019-05-09,92.6423797607422,93.25563049316406,91.68254089355467,-0.006576018297005826,0.010469156480969799
66,66,66,66,2019-05-10,94.21544647216795,93.81552124023438,92.15357208251952,0.004262889835781936,0.022374329535507442
67,67,67,67,2019-05-13,94.3043212890625,94.27767181396484,91.78917694091795,0.0002826700594626974,0.027401317148354698
