,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ETN,ETN_6m,ETN_12m,ETN_6m_ret,ETN_12m_ret
0,0,0,0,2019-02-05,68.66951751708984,,,,
1,1,1,1,2019-02-06,68.48260498046875,,,,
2,2,2,2,2019-02-07,67.96637725830078,,,,
3,3,3,3,2019-02-08,67.49462890625,,,,
4,4,4,4,2019-02-11,67.31661224365234,,,,
5,5,5,5,2019-02-12,68.24229431152344,,,,
6,6,6,6,2019-02-13,69.13236999511719,68.66951751708984,,0.006740290230117907,
7,7,7,7,2019-02-14,68.71401977539062,68.48260498046875,,0.0033791762884585186,
8,8,8,8,2019-02-15,70.07583618164062,67.96637725830078,,0.031036800965910105,
9,9,9,9,2019-02-19,70.1381607055664,67.49462890625,,0.0391665506152834,
10,10,10,10,2019-02-20,70.95702362060547,67.31661224365234,,0.05407894508678868,
11,11,11,11,2019-02-21,70.9303207397461,68.24229431152344,,0.03938944983226844,
12,12,12,12,2019-02-22,71.90940856933594,69.13236999511719,68.66951751708984,0.040169873742428974,0.047180920580077945
13,13,13,13,2019-02-25,72.02513122558594,68.71401977539062,68.48260498046875,0.04818683961465986,0.05172884772896014
14,14,14,14,2019-02-26,71.64237976074219,70.07583618164062,67.96637725830078,0.02235497518775209,0.05408560306916255
15,15,15,15,2019-02-27,71.77588653564453,70.1381607055664,67.49462890625,0.02334999682916039,0.06343108627711991
16,16,16,16,2019-02-28,71.00152587890625,70.95702362060547,67.31661224365234,0.0006271719983454993,0.05474003388519266
17,17,17,17,2019-03-01,71.41098022460938,70.9303207397461,68.24229431152344,0.006776502345546831,0.046432874876993546
18,18,18,18,2019-03-04,72.36334991455078,71.90940856933594,69.13236999511719,0.006312683614650316,0.04673613706085589
19,19,19,19,2019-03-05,71.91830444335938,72.02513122558594,68.71401977539062,-0.0014831876097799457,0.04663218188140905
20,20,20,20,2019-03-06,72.05181121826172,71.64237976074219,70.07583618164062,0.005714933798777633,0.02819766618980113
21,21,21,21,2019-03-07,71.77345275878906,71.77588653564453,70.1381607055664,-3.3908001321081294e-05,0.023315297076116126
22,22,22,22,2019-03-08,71.27957916259766,71.00152587890625,70.95702362060547,0.0039161592691068225,0.004545787372886911
23,23,23,23,2019-03-11,72.11466979980469,71.41098022460938,70.9303207397461,0.00985408088478823,0.01669735943256412
24,24,24,24,2019-03-12,72.15958404541016,72.36334991455078,71.90940856933594,-0.0028158711472208164,0.0034790367637775876
25,25,25,25,2019-03-13,72.36609649658203,71.91830444335938,72.02513122558594,0.006226398921505671,0.004733976393991979
26,26,26,26,2019-03-14,72.72527313232422,72.05181121826172,71.64237976074219,0.00934691165531465,0.01511526243542538
27,27,27,27,2019-03-15,72.35712432861328,71.77345275878906,71.77588653564453,0.008132137265093986,0.008097953519252021
28,28,28,28,2019-03-18,73.72203063964844,71.27957916259766,71.00152587890625,0.03426579541777652,0.03831614499922198
29,29,29,29,2019-03-19,73.82975769042969,72.11466979980469,71.41098022460938,0.023782787820927354,0.03387122622056893
30,30,30,30,2019-03-20,72.94078826904297,72.15958404541016,72.36334991455078,0.010826063286911491,0.007979707340443065
31,31,31,31,2019-03-21,73.64120483398438,72.36609649658203,71.91830444335938,0.017620244826423326,0.02395635442131283
32,32,32,32,2019-03-22,70.95631408691406,72.72527313232422,72.05181121826172,-0.02432385564494921,-0.015204296919464566
33,33,33,33,2019-03-25,70.90243530273438,72.35712432861328,71.77345275878906,-0.020104295732820576,-0.012135649360243805
34,34,34,34,2019-03-26,71.40528106689453,73.72203063964844,71.27957916259766,-0.03142547149953212,0.0017635051409343738
35,35,35,35,2019-03-27,71.2706069946289,73.82975769042969,72.11466979980469,-0.034662861911742615,-0.011704453580928198
36,36,36,36,2019-03-28,71.7105941772461,72.94078826904297,72.15958404541016,-0.016865653922730983,-0.006222179272562189
37,37,37,37,2019-03-29,72.33916473388672,73.64120483398438,72.36609649658203,-0.017680863628357968,-0.0003721599478090365
38,38,38,38,2019-04-01,73.84773254394531,70.95631408691406,72.72527313232422,0.04074927642788162,0.015434241265464443
