,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,SBAC,SBAC_6m,SBAC_12m,SBAC_6m_ret,SBAC_12m_ret
0,0,0,0,2019-02-05,177.2475128173828,,,,
1,1,1,1,2019-02-06,174.20364379882812,,,,
2,2,2,2,2019-02-07,176.34487915039062,,,,
3,3,3,3,2019-02-08,175.93203735351562,,,,
4,4,4,4,2019-02-11,176.65219116210938,,,,
5,5,5,5,2019-02-12,175.9224090576172,,,,
6,6,6,6,2019-02-13,177.00747680664062,177.2475128173828,,-0.0013542419124915606,
7,7,7,7,2019-02-14,176.86346435546875,174.20364379882812,,0.015268455347077659,
8,8,8,8,2019-02-15,178.12132263183594,176.34487915039062,,0.010073689068851976,
9,9,9,9,2019-02-19,176.24891662597656,175.93203735351562,,0.001801145926731973,
10,10,10,10,2019-02-20,175.71116638183594,176.65219116210938,,-0.005326991836800299,
11,11,11,11,2019-02-21,175.39434814453125,175.9224090576172,,-0.003001669405931051,
12,12,12,12,2019-02-22,175.28871154785156,177.00747680664062,177.2475128173828,-0.009710128011522379,-0.01105122006168513
13,13,13,13,2019-02-25,173.88677978515625,176.86346435546875,174.20364379882812,-0.016830409724022055,-0.0018189287362886386
14,14,14,14,2019-02-26,173.79074096679688,178.12132263183594,176.34487915039062,-0.024312539347072226,-0.014483767240076939
15,15,15,15,2019-02-27,173.2338104248047,176.24891662597656,175.93203735351562,-0.01710709069247973,-0.015336757132466738
16,16,16,16,2019-02-28,173.37783813476562,175.71116638183594,176.65219116210938,-0.013279339583915695,-0.018535592487154307
17,17,17,17,2019-03-01,174.86618041992188,175.39434814453125,175.9224090576172,-0.0030113155309551276,-0.00600394596318532
18,18,18,18,2019-03-04,175.22149658203125,175.28871154785156,177.00747680664062,-0.0003834529059332237,-0.010089857540652614
19,19,19,19,2019-03-05,174.8566131591797,173.88677978515625,176.86346435546875,0.005577384176196132,-0.01134689520869947
20,20,20,20,2019-03-06,175.0486297607422,173.79074096679688,178.12132263183594,0.007237950577503094,-0.017250561727776947
21,21,21,21,2019-03-07,176.08567810058594,173.2338104248047,176.24891662597656,0.016462535048948457,-0.0009261817236416725
22,22,22,22,2019-03-08,176.1720733642578,173.37783813476562,175.71116638183594,0.016116449827458634,0.002623094433396922
23,23,23,23,2019-03-11,178.5150604248047,174.86618041992188,175.39434814453125,0.02086669930183427,0.017792547555191884
24,24,24,24,2019-03-12,179.67689514160156,175.22149658203125,175.28871154785156,0.02542723721963247,0.025034034165697383
25,25,25,25,2019-03-13,181.4437255859375,174.8566131591797,173.88677978515625,0.037671508716466295,0.043459001369271055
26,26,26,26,2019-03-14,181.90460205078125,175.0486297607422,173.79074096679688,0.03916610086814076,0.04668753374804102
27,27,27,27,2019-03-15,183.35455322265625,176.08567810058594,173.2338104248047,0.041280331259638814,0.05842244520878137
28,28,28,28,2019-03-18,183.9402618408203,176.1720733642578,173.37783813476562,0.044094323965301774,0.06092141775262294
29,29,29,29,2019-03-19,184.25714111328125,178.5150604248047,174.86618041992188,0.032165805365734323,0.05370369885593673
30,30,30,30,2019-03-20,184.94854736328125,179.67689514160156,175.22149658203125,0.02933962220086861,0.055512884954136865
31,31,31,31,2019-03-21,188.2709197998047,181.4437255859375,174.8566131591797,0.03762706145842243,0.07671603834859453
