,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,POOL,POOL_6m,POOL_12m,POOL_6m_ret,POOL_12m_ret
0,0,0,0,2019-02-05,149.42994689941406,,,,
1,1,1,1,2019-02-06,148.20223999023438,,,,
2,2,2,2,2019-02-07,148.94459533691406,,,,
3,3,3,3,2019-02-08,149.05877685546875,,,,
4,4,4,4,2019-02-11,147.86917114257812,,,,
5,5,5,5,2019-02-12,150.9811248779297,,,,
6,6,6,6,2019-02-13,150.20074462890625,149.42994689941406,,0.005158254723941269,
7,7,7,7,2019-02-14,143.23460388183594,148.20223999023438,,-0.03351930516519708,
8,8,8,8,2019-02-15,144.65255737304688,148.94459533691406,,-0.028816339083392428,
9,9,9,9,2019-02-19,147.03175354003906,149.05877685546875,,-0.013598818923592382,
10,10,10,10,2019-02-20,145.33773803710938,147.86917114257812,,-0.01711941093541325,
11,11,11,11,2019-02-21,147.86917114257812,150.9811248779297,,-0.02061154159414047,
12,12,12,12,2019-02-22,151.0572509765625,150.20074462890625,149.42994689941406,0.0057024107954484204,0.010890080006813019
13,13,13,13,2019-02-25,152.40859985351562,143.23460388183594,148.20223999023438,0.06404874047927644,0.028382566036508017
14,14,14,14,2019-02-26,153.4839630126953,144.65255737304688,148.94459533691406,0.06105253719692616,0.030476887499765626
15,15,15,15,2019-02-27,152.89395141601562,147.03175354003906,149.05877685546875,0.03987028471628884,0.025729277010407614
16,16,16,16,2019-02-28,151.82809448242188,145.33773803710938,147.86917114257812,0.04465706245996004,0.026773148921126255
17,17,17,17,2019-03-01,151.52354431152344,147.86917114257812,150.9811248779297,0.02471355686048793,0.003592630761178217
18,18,18,18,2019-03-04,151.5426025390625,151.0572509765625,150.20074462890625,0.003213030552073892,0.008933763367628522
19,19,19,19,2019-03-05,152.0184326171875,152.40859985351562,143.23460388183594,-0.00256000800941103,0.0613247671812458
20,20,20,20,2019-03-06,150.1817169189453,153.4839630126953,144.65255737304688,-0.021515251684482872,0.0382237248086752
21,21,21,21,2019-03-07,149.2776641845703,152.89395141601562,147.03175354003906,-0.023652258300301265,0.015275004143371351
22,22,22,22,2019-03-08,148.57339477539062,151.82809448242188,145.33773803710938,-0.02143674211368085,0.02226301841477052
23,23,23,23,2019-03-11,150.9049835205078,151.52354431152344,147.86917114257812,-0.0040822750934593754,0.020530394229385962
24,24,24,24,2019-03-12,151.333251953125,151.5426025390625,151.0572509765625,-0.001381463578095432,0.0018271282892956542
25,25,25,25,2019-03-13,153.0797119140625,152.0184326171875,152.40859985351562,0.006981254040077545,0.004403373964408264
26,26,26,26,2019-03-14,151.8390350341797,150.1817169189453,153.4839630126953,0.011035418619756765,-0.010717262873773725
27,27,27,27,2019-03-15,149.8157958984375,149.2776641845703,152.89395141601562,0.0036049044363517524,-0.02013261799482602
28,28,28,28,2019-03-18,151.58139038085938,148.57339477539062,151.82809448242188,0.0202458563325969,-0.0016248909821565682
29,29,29,29,2019-03-19,150.6652069091797,150.9049835205078,151.52354431152344,-0.0015889244061680907,-0.005664713073098793
30,30,30,30,2019-03-20,150.04486083984375,151.333251953125,151.5426025390625,-0.008513602243083507,-0.009883304589761721
31,31,31,31,2019-03-21,152.46893310546875,153.0797119140625,152.0184326171875,-0.003989939626595551,0.0029634596313441453
32,32,32,32,2019-03-22,149.0904541015625,151.8390350341797,150.1817169189453,-0.018101938885468183,-0.007266282739141761
33,33,33,33,2019-03-25,151.12327575683594,149.8157958984375,149.2776641845703,0.008727249690578587,0.012363615028057273
34,34,34,34,2019-03-26,150.2643585205078,151.58139038085938,148.57339477539062,-0.008688611821295655,0.011381336124637542
