,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,CRL,CRL_6m,CRL_12m,CRL_6m_ret,CRL_12m_ret
0,0,0,0,2019-02-05,126.4000015258789,,,,
1,1,1,1,2019-02-06,126.48999786376952,,,,
2,2,2,2,2019-02-07,125.37999725341795,,,,
3,3,3,3,2019-02-08,125.43000030517578,,,,
4,4,4,4,2019-02-11,126.06999969482422,,,,
5,5,5,5,2019-02-12,129.1999969482422,,,,
6,6,6,6,2019-02-13,139.1199951171875,126.4000015258789,,0.10063285947591005,
7,7,7,7,2019-02-14,139.6999969482422,126.48999786376952,,0.1044351277379254,
8,8,8,8,2019-02-15,140.86000061035156,125.37999725341795,,0.12346469688977124,
9,9,9,9,2019-02-19,141.1300048828125,125.43000030517578,,0.12516945339582253,
10,10,10,10,2019-02-20,141.6699981689453,126.06999969482422,,0.12374076712845072,
11,11,11,11,2019-02-21,142.38999938964844,129.1999969482422,,0.1020898045894707,
12,12,12,12,2019-02-22,144.6699981689453,139.1199951171875,126.4000015258789,0.039893640357612004,0.14454111093761224
13,13,13,13,2019-02-25,145.30999755859375,139.6999969482422,126.48999786376952,0.04015748556122034,0.1487864654333657
14,14,14,14,2019-02-26,140.7100067138672,140.86000061035156,125.37999725341795,-0.0010648437869831273,0.12226838248739336
15,15,15,15,2019-02-27,142.57000732421875,141.1300048828125,125.43000030517578,0.010203375551513405,0.13664997988791128
16,16,16,16,2019-02-28,142.1699981689453,141.6699981689453,126.06999969482422,0.0035293287672930607,0.12770681774485704
17,17,17,17,2019-03-01,144.08999633789062,142.38999938964844,129.1999969482422,0.01193901928175567,0.11524767601669073
18,18,18,18,2019-03-04,141.1999969482422,144.6699981689453,139.1199951171875,-0.02398563119252184,0.014951135020545347
19,19,19,19,2019-03-05,140.77999877929688,145.30999755859375,139.6999969482422,-0.03117472201092175,0.007730865101269968
20,20,20,20,2019-03-06,138.02999877929688,140.7100067138672,140.86000061035156,-0.019046320849234855,-0.02009088327979691
21,21,21,21,2019-03-07,138.47999572753906,142.57000732421875,141.1300048828125,-0.02868774206750646,-0.018777078322032792
22,22,22,22,2019-03-08,137.9499969482422,142.1699981689453,141.6699981689453,-0.029682783112146893,-0.026258214645184963
23,23,23,23,2019-03-11,140.35000610351562,144.08999633789062,142.38999938964844,-0.025955932607595655,-0.014326801705718095
24,24,24,24,2019-03-12,140.49000549316406,141.1999969482422,144.6699981689453,-0.00502826820413016,-0.028893293209970583
25,25,25,25,2019-03-13,141.50999450683594,140.77999877929688,145.30999755859375,0.005185365349260174,-0.02615100898494971
26,26,26,26,2019-03-14,140.99000549316406,138.02999877929688,140.7100067138672,0.021444662320109886,0.001989899551822605
27,27,27,27,2019-03-15,143.47999572753906,138.47999572753906,142.57000732421875,0.03610629805215737,0.006382747819118073
28,28,28,28,2019-03-18,144.89999389648438,137.9499969482422,142.1699981689453,0.05038055166358402,0.01920233356333667
29,29,29,29,2019-03-19,145.80999755859375,140.35000610351562,144.08999633789062,0.03890268056740287,0.011936992604745011
30,30,30,30,2019-03-20,145.1199951171875,140.49000549316406,141.1999969482422,0.03295600713923186,0.027762027292268288
31,31,31,31,2019-03-21,146.72999572753906,141.50999450683594,140.77999877929688,0.036887862506778335,0.042264504900089594
32,32,32,32,2019-03-22,141.02999877929688,140.99000549316406,138.02999877929688,0.0002836604338933846,0.02173440575622143
33,33,33,33,2019-03-25,142.35000610351562,143.47999572753906,138.47999572753906,-0.007875590031165225,0.02794634961999032
34,34,34,34,2019-03-26,143.1999969482422,144.89999389648438,137.9499969482422,-0.011732208556590074,0.03805726796768072
35,35,35,35,2019-03-27,141.24000549316406,145.80999755859375,140.35000610351562,-0.031342103709954716,0.00634128500850939
36,36,36,36,2019-03-28,143.33999633789062,145.1199951171875,140.49000549316406,-0.012265703136631778,0.020286075402461634
37,37,37,37,2019-03-29,145.25,146.72999572753906,141.50999450683594,-0.010086524709557287,0.026429267460563732
38,38,38,38,2019-04-01,145.5,141.02999877929688,140.99000549316406,0.03169539289083034,0.03198804405362332
39,39,39,39,2019-04-02,147.5800018310547,142.35000610351562,143.47999572753906,0.03674039693216358,0.028575454597178362
40,40,40,40,2019-04-03,148.5500030517578,143.1999969482422,144.89999389648438,0.03736037861403951,0.02518985030379639
41,41,41,41,2019-04-04,143.88999938964844,141.24000549316406,145.80999755859375,0.018762346314215028,-0.013167808799761871
42,42,42,42,2019-04-05,143.89999389648438,143.33999633789062,145.1199951171875,0.00390677810032658,-0.008406844416704584
43,43,43,43,2019-04-08,144.80999755859375,145.25,146.72999572753906,-0.0030292767050343894,-0.013085246540254336
44,44,44,44,2019-04-09,144.11000061035156,145.5,141.02999877929688,-0.009553260409954856,0.02183933813879335
45,45,45,45,2019-04-10,145.22000122070312,147.5800018310547,142.35000610351562,-0.01599133067536629,0.020161538420310654
46,46,46,46,2019-04-11,144.2100067138672,148.5500030517578,143.1999969482422,-0.02921572701939612,0.007053140971714278
47,47,47,47,2019-04-12,144.38999938964844,143.88999938964844,141.24000549316406,0.0034748766566188305,0.022302419810064533
48,48,48,48,2019-04-15,143.24000549316406,143.89999389648438,143.33999633789062,-0.004586438021638051,-0.0006975781169329398
49,49,49,49,2019-04-16,138.0,144.80999755859375,145.25,-0.047027122943208766,-0.04991394148020656
50,50,50,50,2019-04-17,133.5,144.11000061035156,145.5,-0.07362431868305352,-0.08247422680412375
51,51,51,51,2019-04-18,135.13999938964844,145.22000122070312,147.5800018310547,-0.06941193875721885,-0.08429328016710014
52,52,52,52,2019-04-22,133.72000122070312,144.2100067138672,148.5500030517578,-0.07274117609589814,-0.09983171677140668
53,53,53,53,2019-04-23,136.0399932861328,144.38999938964844,143.88999938964844,-0.0578295320923331,-0.05455560592684494
54,54,54,54,2019-04-24,137.0,143.24000549316406,143.89999389648438,-0.043563287167437736,-0.04794992487246341
55,55,55,55,2019-04-25,140.0,138.0,144.80999755859375,0.01449275362318847,-0.03321592182644373
56,56,56,56,2019-04-26,142.72999572753906,133.5,144.11000061035156,0.06913854477557346,-0.009576052161319404
57,57,57,57,2019-04-29,142.52000427246094,135.13999938964844,145.22000122070312,0.054610070416929446,-0.018592459203596756
58,58,58,58,2019-04-30,140.47000122070312,133.72000122070312,144.2100067138672,0.05047861156431788,-0.025934438104456614
59,59,59,59,2019-05-01,137.36000061035156,136.0399932861328,144.38999938964844,0.009703082838605992,-0.04868757399413681
60,60,60,60,2019-05-02,139.72999572753906,137.0,143.24000549316406,0.019926976113423756,-0.024504395636821608
61,61,61,61,2019-05-03,142.41000366210938,140.0,138.0,0.017214311872209898,0.031956548276154795
62,62,62,62,2019-05-06,142.32000732421875,142.72999572753906,133.5,-0.0028724754122668728,0.06606747059339879
63,63,63,63,2019-05-07,134.25999450683594,142.52000427246094,135.13999938964844,-0.057956844779726624,-0.006511801737361211
64,64,64,64,2019-05-08,136.27999877929688,140.47000122070312,133.72000122070312,-0.02982845023844638,0.01914446257271951
65,65,65,65,2019-05-09,136.67999267578125,137.36000061035156,136.0399932861328,-0.0049505527922883985,0.004704494422477223
66,66,66,66,2019-05-10,136.5399932861328,139.72999572753906,137.0,-0.022829761246300095,-0.0033577132399065235
67,67,67,67,2019-05-13,131.13999938964844,142.41000366210938,140.0,-0.0791377289702262,-0.06328571864536825
68,68,68,68,2019-05-14,131.6699981689453,142.32000732421875,142.72999572753906,-0.07483142641365725,-0.07748895039348602
69,69,69,69,2019-05-15,131.6300048828125,134.25999450683594,142.52000427246094,-0.019588780959539864,-0.07641032180177043
70,70,70,70,2019-05-16,132.17999267578125,136.27999877929688,140.47000122070312,-0.030085163928974756,-0.05901622035225018
71,71,71,71,2019-05-17,129.0800018310547,136.67999267578125,137.36000061035156,-0.05560426728112655,-0.06027954821276327
72,72,72,72,2019-05-20,128.72999572753906,136.5399932861328,139.72999572753906,-0.057199340432272816,-0.07872325439305827
73,73,73,73,2019-05-21,130.0399932861328,131.13999938964844,142.41000366210938,-0.008388028890005117,-0.08686194830333971
74,74,74,74,2019-05-22,129.44000244140625,131.6699981689453,142.32000732421875,-0.016936247881447986,-0.09050031070804121
75,75,75,75,2019-05-23,128.44000244140625,131.6300048828125,134.25999450683594,-0.024234614624881634,-0.043348669026895825
76,76,76,76,2019-05-24,129.89999389648438,132.17999267578125,136.27999877929688,-0.017249197349324952,-0.04681541634840203
77,77,77,77,2019-05-28,127.72000122070312,129.0800018310547,136.67999267578125,-0.010536106221408215,-0.06555452103609727
78,78,78,78,2019-05-29,125.5199966430664,128.72999572753906,136.5399932861328,-0.024935906090346793,-0.08070892914117067
79,79,79,79,2019-05-30,125.70999908447266,130.0399932861328,131.13999938964844,-0.03329740406962867,-0.04140613337233556
80,80,80,80,2019-05-31,125.4499969482422,129.44000244140625,131.6699981689453,-0.030825134563561285,-0.04723932032506184
81,81,81,81,2019-06-03,123.4000015258789,128.44000244140625,131.6300048828125,-0.039240118496778886,-0.06252376397205639
82,82,82,82,2019-06-04,126.5199966430664,129.89999389648438,132.17999267578125,-0.0260199954752226,-0.0428203687875669
83,83,83,83,2019-06-05,127.58999633789062,127.72000122070312,129.0800018310547,-0.0010178897711397017,-0.011543271397797539
84,84,84,84,2019-06-06,127.5500030517578,125.5199966430664,128.72999572753906,0.016172772968310323,-0.00916641586999467
85,85,85,85,2019-06-07,128.27999877929688,125.70999908447266,130.0399932861328,0.020443876489866675,-0.013534255595994527
86,86,86,86,2019-06-10,130.58999633789062,125.4499969482422,129.44000244140625,0.04097249513500634,0.00888437789550367
87,87,87,87,2019-06-11,131.32000732421875,123.4000015258789,128.44000244140625,0.06418156969535294,0.022422958798419046
88,88,88,88,2019-06-12,132.86000061035156,126.5199966430664,129.89999389648438,0.05011068712854416,0.022786811800976414
89,89,89,89,2019-06-13,131.97000122070312,127.58999633789062,127.72000122070312,0.03432874840134903,0.033275915748355755
90,90,90,90,2019-06-14,129.41000366210938,127.5500030517578,125.5199966430664,0.014582521096426992,0.030991133867735332
91,91,91,91,2019-06-17,130.77999877929688,128.27999877929688,125.70999908447266,0.019488618832162574,0.04033091823839219
92,92,92,92,2019-06-18,132.75999450683594,130.58999633789062,125.4499969482422,0.016616879009098362,0.058270209138463924
93,93,93,93,2019-06-19,137.44000244140625,131.32000732421875,123.4000015258789,0.046603676331495425,0.11377634312737772
94,94,94,94,2019-06-20,139.19000244140625,132.86000061035156,126.5199966430664,0.047644150248193684,0.10014231848333033
95,95,95,95,2019-06-21,138.25999450683594,131.97000122070312,127.58999633789062,0.04766229618815876,0.08362723156358154
96,96,96,96,2019-06-24,137.10000610351562,129.41000366210938,127.5500030517578,0.05942355477776595,0.0748726211153643
97,97,97,97,2019-06-25,134.0800018310547,130.77999877929688,128.27999877929688,0.025233239658664308,0.04521361948043512
98,98,98,98,2019-06-26,137.0399932861328,132.75999450683594,130.58999633789062,0.032238618231311245,0.049391202458979766
99,99,99,99,2019-06-27,140.1199951171875,137.44000244140625,131.32000732421875,0.01949936429114807,0.06701178268473806
100,100,100,100,2019-06-28,141.89999389648438,139.19000244140625,132.86000061035156,0.01946972776452771,0.06804149664762593
101,101,101,101,2019-07-01,143.6699981689453,138.25999450683594,131.97000122070312,0.039129204954813535,0.08865648889913569
102,102,102,102,2019-07-02,141.3800048828125,137.10000610351562,129.41000366210938,0.031218078692610174,0.09249672267962294
103,103,103,103,2019-07-03,142.3699951171875,134.0800018310547,130.77999877929688,0.0618287080319293,0.0886220862981486
104,104,104,104,2019-07-05,142.44000244140625,137.0399932861328,132.75999450683594,0.03940462215288121,0.07291359095432837
105,105,105,105,2019-07-08,140.3300018310547,140.1199951171875,137.44000244140625,0.0014987633541634349,0.021027352577940306
106,106,106,106,2019-07-09,139.44000244140625,141.89999389648438,139.19000244140625,-0.017336092747633813,0.0017961060105968762
107,107,107,107,2019-07-10,137.97000122070312,143.6699981689453,138.25999450683594,-0.03967423276180049,-0.0020974489921484762
108,108,108,108,2019-07-11,136.50999450683594,141.3800048828125,137.10000610351562,-0.03444624563433307,-0.004303512548600508
109,109,109,109,2019-07-12,134.8699951171875,142.3699951171875,134.0800018310547,-0.05267963937082809,0.005891954619214879
110,110,110,110,2019-07-15,136.1199951171875,142.44000244140625,137.0399932861328,-0.04436960977179516,-0.006713355327042425
111,111,111,111,2019-07-16,135.1999969482422,140.3300018310547,140.1199951171875,-0.03655672212552652,-0.035112748646833336
112,112,112,112,2019-07-17,135.22999572753906,139.44000244140625,141.89999389648438,-0.0301922449810359,-0.047004922169419205
113,113,113,113,2019-07-18,137.25,137.97000122070312,143.6699981689453,-0.00521853456789767,-0.044685725974575874
114,114,114,114,2019-07-19,135.63999938964844,136.50999450683594,141.3800048828125,-0.006373123963051119,-0.04059983940389489
