Stock Code,Price_t_1,Price_t_7,Price_t_13
MMM,99.06999969482422,90.51077270507812,137.73634338378906
AOS,75.06465148925781,63.13075256347656,58.191287994384766
ABT,103.78860473632812,100.46894073486328,113.55970764160156
ABBV,141.0424346923828,133.81658935546875,137.60670471191406
ACN,331.9279479980469,302.4503173828125,290.3944396972656
ADBE,611.010009765625,417.7900085449219,416.4800109863281
AMD,121.16000366210938,118.20999908447266,101.86000061035156
AES,17.0345516204834,19.174001693725582,20.84883117675781
AFL,82.70999908447266,63.51845169067383,58.46185302734375
A,127.58421325683594,115.02268981933594,126.00959777832033
APD,268.8234558105469,264.21307373046875,235.6421356201172
ABNB,126.33999633789062,109.7699966430664,120.87000274658205
AKAM,115.52999877929688,92.12000274658205,101.04000091552734
ALB,120.92366027832033,192.2194976806641,257.02996826171875
ARE,108.32521057128906,109.7141571044922,154.96043395996094
ALGN,213.8000030517578,282.6600036621094,277.6400146484375
ALLE,105.68739318847656,103.50383758544922,108.9475326538086
LNT,50.07653427124024,50.06666946411133,60.11030578613281
ALL,137.8699951171875,105.96583557128906,130.07716369628906
GOOGL,132.52999877929688,122.87000274658205,113.76200103759766
GOOG,133.9199981689453,123.37000274658205,114.03900146484376
MO,41.06923675537109,41.57208251953125,46.5959358215332
AMZN,146.08999633789062,120.58000183105467,120.20950317382812
AMCR,9.479999542236328,9.387990951538086,12.215042114257812
AEE,76.96475219726562,79.17589569091797,90.48053741455078
AAL,12.43000030517578,14.779999732971191,17.8700008392334
AEP,79.55000305175781,81.34002685546875,96.36832427978516
AXP,170.22007751464844,156.86474609375,164.57736206054688
AIG,65.45612335205078,51.89727783203125,56.286354064941406
AMT,207.1386566162109,179.68679809570312,242.64224243164065
AWK,131.83999633789062,142.90567016601562,146.9766387939453
AMP,353.510009765625,296.1156005859375,269.4574584960937
AME,154.98199462890625,144.35914611816406,120.04698944091795
AMGN,269.6400146484375,217.1690673828125,244.55349731445312
APH,90.78836822509766,74.90574645996094,69.5511245727539
ADI,182.5200042724609,175.18089294433594,163.73255920410156
ANSS,293.3599853515625,323.5899963378906,260.3599853515625
AON,327.8139038085937,306.4523010253906,271.9881896972656
APA,35.70664978027344,31.133031845092773,45.06989669799805
AAPL,189.9499969482422,176.77806091308594,147.56259155273438
AMAT,149.77999877929688,132.72630310058594,115.6348648071289
APTV,82.83999633789062,88.08000183105469,106.23999786376952
ACGL,83.69000244140625,69.69999694824219,47.459999084472656
ADM,73.7300033569336,69.84274291992188,87.97811889648438
ANET,219.7100067138672,166.33999633789062,102.27999877929688
AJG,249.0,198.8566131591797,158.91204833984375
AIZ,167.30545043945312,118.36180114746094,170.71832275390625
T,16.30403709411621,14.921339988708496,19.033567428588867
ATO,113.80999755859376,113.73320770263672,111.94094848632812
ADSK,218.42999267578125,199.38999938964844,207.75
ADP,228.53463745117188,205.5028839111328,214.9799346923828
AZO,2609.929931640625,2386.840087890625,2059.64990234375
AVB,171.43411254882812,169.30569458007812,195.0584259033203
AVY,193.6942138671875,158.9953155517578,168.22410583496094
AXON,229.8699951171875,192.9100036621093,101.36000061035156
BKR,33.75,26.94395065307617,34.62376022338867
BALL,55.290000915527344,50.78598785400391,69.35104370117188
BAC,30.489999771118164,27.12565040588379,35.428184509277344
BK,47.948577880859375,39.12708282470703,43.85100936889648
BBWI,32.619998931884766,34.63854217529297,39.47918319702149
BAX,36.08000183105469,39.83076095581055,72.82868194580078
BDX,235.2188873291016,239.0887451171875,249.3771209716797
BBY,70.05792236328125,70.01170349121094,75.42086029052734
BIO,304.9200134277344,373.3500061035156,537.7899780273438
TECH,62.900001525878906,81.59892272949219,91.85672760009766
BIIB,234.0800018310547,296.4100036621094,200.0
BLK,746.2503662109375,643.7525024414062,636.5302734375
BX,111.52022552490234,83.61122131347656,110.40853881835938
BA,231.6300048828125,205.6999969482422,131.39999389648438
BKNG,3125.699951171875,2508.77001953125,2243.56005859375
BWA,33.689998626708984,38.79207611083984,34.664794921875
BXP,56.15220260620117,46.39159393310547,100.08699035644533
BSX,55.88999938964844,51.47999954223633,41.0099983215332
BMY,48.8134994506836,62.50538635253906,70.98028564453125
AVGO,921.4927368164062,795.6663208007812,553.2623901367188
BR,193.01785278320312,144.82290649414062,141.56138610839844
BRO,74.6147232055664,62.00767135620117,58.63317489624024
BLDR,134.11000061035156,115.9499969482422,65.08999633789062
BG,109.87000274658205,91.5162353515625,113.90364837646484
CDNS,273.2699890136719,230.9100036621093,153.72999572753906
CZR,44.720001220703125,41.0099983215332,50.16999816894531
CPT,89.34001159667969,101.36813354492188,134.7488250732422
CPB,39.84770965576172,49.2716064453125,45.37335205078125
COF,111.66000366210938,103.0610580444336,123.52767181396484
CAH,106.54502868652344,80.98198699951172,53.80001831054688
KMX,63.93999862670898,72.20999908447266,99.2699966430664
CCL,15.0600004196167,11.229999542236328,13.880000114440918
CARR,51.78676986694336,40.447547912597656,38.2070541381836
CTLT,38.84999847412109,37.22999954223633,103.05999755859376
CAT,249.5637969970703,202.7443389892578,207.6983184814453
CBOE,182.19000244140625,132.4199981689453,112.30999755859376
CBRE,78.95999908447266,74.91999816894531,82.83999633789062
CDW,210.8800048828125,170.70596313476562,166.83651733398438
CE,138.66000366210938,102.82046508789062,150.76925659179688
COR,203.3699951171875,169.26589965820312,152.13040161132812
CNC,73.68000030517578,62.40999984741211,81.44000244140625
CNP,28.270000457763672,27.81773567199707,30.83039283752441
CF,75.1500015258789,60.89543914794922,96.0002899169922
