,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PPG,PPG_6m,PPG_12m,PPG_6m_ret,PPG_12m_ret
25,25,25,25,2019-03-13,102.47246551513672,101.93861389160156,103.38369750976562,0.005236991196513996,-0.00881407820167035
26,26,26,26,2019-03-14,100.95375061035156,101.7545394897461,102.60133361816406,-0.00786980987197361,-0.016058105189393213
27,27,27,27,2019-03-15,101.27588653564452,101.10098266601562,103.2456512451172,0.0017299917865949421,-0.019078427863234992
28,28,28,28,2019-03-18,102.12269592285156,100.90771484375,103.06153106689452,0.0120405172288649,-0.009109462418461223
29,29,29,29,2019-03-19,102.0766830444336,102.44486236572266,103.78868865966795,-0.003593926652706969,-0.01649510787103381
30,30,30,30,2019-03-20,102.00306701660156,102.3067855834961,102.50007629394533,-0.002968704032311309,-0.004848867389312561
31,31,31,31,2019-03-21,103.67823028564452,102.47246551513672,101.93861389160156,0.01176671962020559,0.017065333023782436
32,32,32,32,2019-03-22,98.20162963867188,100.95375061035156,101.7545394897461,-0.027261205800089283,-0.03491647516553553
33,33,33,33,2019-03-25,98.54217529296876,101.27588653564452,101.10098266601562,-0.02699271599773767,-0.025309421388116538
34,34,34,34,2019-03-26,99.73875427246094,102.12269592285156,100.90771484375,-0.02334389656332192,-0.011584451923216554
35,35,35,35,2019-03-27,101.32191467285156,102.0766830444336,102.44486236572266,-0.007394131050021291,-0.01096148373807393
36,36,36,36,2019-03-28,102.83143615722656,102.00306701660156,102.3067855834961,0.00812102189525521,0.005128208952496882
37,37,37,37,2019-03-29,103.88993072509766,103.67823028564452,102.47246551513672,0.00204189865963067,0.013832644728857035
38,38,38,38,2019-04-01,105.1325454711914,98.20162963867188,100.95375061035156,0.07057841970669432,0.04139316108193558
39,39,39,39,2019-04-02,105.15093994140624,98.54217529296876,101.27588653564452,0.06706534160413469,0.038262349887185465
40,40,40,40,2019-04-03,105.46389770507812,99.73875427246094,102.12269592285156,0.057401393012966206,0.032717524268558895
41,41,41,41,2019-04-04,105.85047912597656,101.32191467285156,102.0766830444336,0.04469481718487889,0.036970206799335825
42,42,42,42,2019-04-05,105.81363677978516,102.83143615722656,102.00306701660156,0.029000865241237017,0.03735740379809749
43,43,43,43,2019-04-08,105.29821014404295,103.88993072509766,103.67823028564452,0.013555494831079873,0.015625072437436716
