,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EOG,EOG_6m,EOG_12m,EOG_6m_ret,EOG_12m_ret
0,0,0,0,2019-02-05,78.4510269165039,,,,
1,1,1,1,2019-02-06,76.7201156616211,,,,
2,2,2,2,2019-02-07,74.17552947998047,,,,
3,3,3,3,2019-02-08,73.7846908569336,,,,
4,4,4,4,2019-02-11,75.148681640625,,,,
5,5,5,5,2019-02-12,76.2813949584961,,,,
6,6,6,6,2019-02-13,77.17478942871094,78.4510269165039,,-0.01626795133161585,
7,7,7,7,2019-02-14,77.34229278564453,76.7201156616211,,0.008109700026621258,
8,8,8,8,2019-02-15,79.96663665771484,74.17552947998047,,0.07807301435303349,
9,9,9,9,2019-02-19,79.535888671875,73.7846908569336,,0.07794567881422476,
10,10,10,10,2019-02-20,78.79405212402344,75.148681640625,,0.0485087749221107,
11,11,11,11,2019-02-21,76.05803680419922,76.2813949584961,,-0.00292808166943459,
12,12,12,12,2019-02-22,76.20160675048828,77.17478942871094,78.4510269165039,-0.012610111221898701,-0.028672921877870405
13,13,13,13,2019-02-25,75.5794448852539,77.34229278564453,76.7201156616211,-0.022792806327534,-0.014867949122993829
14,14,14,14,2019-02-26,74.90940856933594,79.96663665771484,74.17552947998047,-0.0632417255464377,0.009893816660298205
15,15,15,15,2019-02-27,75.8107681274414,79.535888671875,73.7846908569336,-0.0468357191531682,0.027459317738910416
16,16,16,16,2019-02-28,74.981201171875,78.79405212402344,75.148681640625,-0.048390085918502246,-0.0022286547826736447
17,17,17,17,2019-03-01,76.91153717041016,76.05803680419922,76.2813949584961,0.011221698614285236,0.008260758894838238
18,18,18,18,2019-03-04,77.2226333618164,76.20160675048828,77.17478942871094,0.013399016830069499,0.000619942515679428
19,19,19,19,2019-03-05,76.17768096923828,75.5794448852539,77.34229278564453,0.007915327836723662,-0.015057891025211712
20,20,20,20,2019-03-06,73.33797454833984,74.90940856933594,79.96663665771484,-0.020977792389611283,-0.08289284614717496
21,21,21,21,2019-03-07,72.8673324584961,75.8107681274414,79.535888671875,-0.03882608950745969,-0.08384336083664079
22,22,22,22,2019-03-08,68.9507827758789,74.981201171875,78.79405212402344,-0.08042573740813941,-0.12492401498340289
23,23,23,23,2019-03-11,68.80718231201172,76.91153717041016,76.05803680419922,-0.10537242079093945,-0.09533317972502775
24,24,24,24,2019-03-12,69.38151550292969,77.2226333618164,76.20160675048828,-0.1015391151211873,-0.08950062260353708
25,25,25,25,2019-03-13,70.64981842041016,76.17768096923828,75.5794448852539,-0.07256538238621835,-0.06522443334067884
26,26,26,26,2019-03-14,71.54320526123047,73.33797454833984,74.90940856933594,-0.024472577790192074,-0.04493698952368208
27,27,27,27,2019-03-15,70.8731689453125,72.8673324584961,75.8107681274414,-0.027367044269384078,-0.06513057846648607
28,28,28,28,2019-03-18,73.32202911376953,68.9507827758789,74.981201171875,0.06339661657067985,-0.02212784047433769
29,29,29,29,2019-03-19,74.0877914428711,68.80718231201172,76.91153717041016,0.07674502796690641,-0.03671420220457422
30,30,30,30,2019-03-20,76.48878479003906,69.38151550292969,77.2226333618164,0.10243750421982734,-0.009503024435064233
31,31,31,31,2019-03-21,77.2705078125,70.64981842041016,76.17768096923828,0.09371134335678888,0.01434576150595901
32,32,32,32,2019-03-22,74.72592163085938,71.54320526123047,73.33797454833984,0.0444866337482035,0.01892535335298473
33,33,33,33,2019-03-25,74.00801086425781,70.8731689453125,72.8673324584961,0.044231716538091215,0.015654180924098204
34,34,34,34,2019-03-26,75.59538269042969,73.32202911376953,68.9507827758789,0.031005055426558403,0.0963672876078685
35,35,35,35,2019-03-27,75.45179748535156,74.0877914428711,68.80718231201172,0.018410672202750833,0.0965686277227471
36,36,36,36,2019-03-28,75.97029876708984,76.48878479003906,69.38151550292969,-0.006778588839820854,0.09496453365712276
