,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,TRV,TRV_6m,TRV_12m,TRV_6m_ret,TRV_12m_ret
0,0,0,0,2019-02-05,112.3469696044922,,,,
1,1,1,1,2019-02-06,111.78602600097656,,,,
2,2,2,2,2019-02-07,112.86337280273438,,,,
3,3,3,3,2019-02-08,111.99972534179688,,,,
4,4,4,4,2019-02-11,111.67027282714844,,,,
5,5,5,5,2019-02-12,113.30854034423828,,,,
6,6,6,6,2019-02-13,114.0030517578125,112.3469696044922,,0.014740781697542893,
7,7,7,7,2019-02-14,113.01473236083984,111.78602600097656,,0.010991591738421347,
8,8,8,8,2019-02-15,114.62631225585938,112.86337280273438,,0.015620120233393209,
9,9,9,9,2019-02-19,114.94683074951172,111.99972534179688,,0.026313505669062653,
10,10,10,10,2019-02-20,115.51666259765624,111.67027282714844,,0.03444416918781523,
11,11,11,11,2019-02-21,115.58789825439452,113.30854034423828,,0.020116382253547727,
12,12,12,12,2019-02-22,116.65635681152344,114.0030517578125,112.3469696044922,0.023273982694319573,0.03835784108999163
13,13,13,13,2019-02-25,117.9651870727539,113.01473236083984,111.78602600097656,0.04380362284191386,0.055276686119277274
14,14,14,14,2019-02-26,118.65967559814452,114.62631225585938,112.86337280273438,0.03518706362359625,0.051356810021450316
15,15,15,15,2019-02-27,118.0809097290039,114.94683074951172,111.99972534179688,0.027265466642763414,0.054296422322900106
16,16,16,16,2019-02-28,118.33916473388672,115.51666259765624,111.67027282714844,0.024433723003764785,0.059719491480610065
17,17,17,17,2019-03-01,118.44601440429688,115.58789825439452,113.30854034423828,0.024726776704703024,0.04534057225034083
18,18,18,18,2019-03-04,117.66243743896484,116.65635681152344,114.0030517578125,0.008624310367131516,0.032099015111686
19,19,19,19,2019-03-05,118.1432876586914,117.9651870727539,113.01473236083984,0.0015097724197874474,0.045379528763354715
20,20,20,20,2019-03-06,117.35084533691406,118.65967559814452,114.62631225585938,-0.011030118316377013,0.023768827832244988
21,21,21,21,2019-03-07,117.07483673095705,118.0809097290039,114.94683074951172,-0.00852020026231004,0.018512959144411756
22,22,22,22,2019-03-08,117.34351348876952,118.33916473388672,115.51666259765624,-0.008413539569559703,0.015814609338881125
23,23,23,23,2019-03-11,118.10478973388672,118.44601440429688,115.58789825439452,-0.0028808455238134023,0.021774697156901723
24,24,24,24,2019-03-12,118.86605072021484,117.66243743896484,116.65635681152344,0.010229375724724044,0.01894190740296753
25,25,25,25,2019-03-13,119.1168212890625,118.1432876586914,117.9651870727539,0.008240278814515278,0.009762492179988147
26,26,26,26,2019-03-14,119.17058563232422,117.35084533691406,118.65967559814452,0.015506835849249168,0.004305675298742262
27,27,27,27,2019-03-15,120.17365264892578,117.07483673095705,118.0809097290039,0.02646867597253144,0.017722957290257302
28,28,28,28,2019-03-18,120.85431671142578,117.34351348876952,118.33916473388672,0.029919022520083827,0.02125375807066887
29,29,29,29,2019-03-19,119.05413818359376,118.10478973388672,118.44601440429688,0.008038187543842223,0.005134185243423683
30,30,30,30,2019-03-20,117.62117004394533,118.86605072021484,117.66243743896484,-0.010472970782883118,-0.00035072701125138384
31,31,31,31,2019-03-21,120.34383392333984,119.1168212890625,118.1432876586914,0.010300918216241906,0.0186260794689046
32,32,32,32,2019-03-22,120.81848907470705,119.17058563232422,117.35084533691406,0.013828105598701068,0.029549371611575337
33,33,33,33,2019-03-25,120.8633041381836,120.17365264892578,117.07483673095705,0.005738791108168773,0.03235936528301653
34,34,34,34,2019-03-26,120.89015197753906,120.85431671142578,117.34351348876952,0.0002965162278716349,0.030224410223654852
35,35,35,35,2019-03-27,122.11714935302734,119.05413818359376,118.10478973388672,0.025727884945167645,0.03397287805330551
36,36,36,36,2019-03-28,122.60972595214844,117.62117004394533,118.86605072021484,0.04241205818934879,0.031494907160206864
37,37,37,37,2019-03-29,122.84259033203124,120.34383392333984,119.1168212890625,0.02076347684155655,0.03127827793462812
38,38,38,38,2019-04-01,123.61280059814452,120.81848907470705,119.17058563232422,0.02312817802008471,0.03727610250675295
39,39,39,39,2019-04-02,122.52910614013672,120.8633041381836,120.17365264892578,0.01378252906315236,0.019600415226556755
40,40,40,40,2019-04-03,122.34105682373048,120.89015197753906,120.85431671142578,0.012001844835640485,0.01230191980527029
41,41,41,41,2019-04-04,122.26939392089844,122.11714935302734,119.05413818359376,0.0012467091532817332,0.027006669288105023
42,42,42,42,2019-04-05,122.16195678710938,122.60972595214844,117.62117004394533,-0.003651987324511441,0.03860518256592349
43,43,43,43,2019-04-08,121.6961898803711,122.84259033203124,120.34383392333984,-0.009332271881938747,0.011237434548518
44,44,44,44,2019-04-09,121.07823181152344,123.61280059814452,120.81848907470705,-0.020504096455679854,0.002149859171436841
45,45,45,45,2019-04-10,121.32005310058594,122.52910614013672,120.8633041381836,-0.009867476207391812,0.0037790540781521553
46,46,46,46,2019-04-11,122.05442810058594,122.34105682373048,120.89015197753906,-0.0023428661692658226,0.009630859950140458
47,47,47,47,2019-04-12,123.3441162109375,122.26939392089844,122.11714935302734,0.008789789951313187,0.010047457416182626
48,48,48,48,2019-04-15,122.51121520996094,122.16195678710938,122.60972595214844,0.002858978621799624,-0.0008034496563995575
49,49,49,49,2019-04-16,123.89942169189452,121.6961898803711,122.84259033203124,0.01810436147334782,0.008603134767890985
50,50,50,50,2019-04-17,121.68724822998048,121.07823181152344,123.61280059814452,0.0050299414630126105,-0.015577289397591176
51,51,51,51,2019-04-18,124.42779541015624,121.32005310058594,122.52910614013672,0.02561606453463794,0.015495822419923533
52,52,52,52,2019-04-22,122.3499984741211,122.05442810058594,122.34105682373048,0.002421627614293209,7.308789561544238e-05
53,53,53,53,2019-04-23,123.60385131835938,123.3441162109375,122.26939392089844,0.002105776225091116,0.010914075507107324
54,54,54,54,2019-04-24,124.6517333984375,122.51121520996094,122.16195678710938,0.017472018254068633,0.020380949002536397
55,55,55,55,2019-04-25,124.66070556640624,123.89942169189452,121.6961898803711,0.006144369877729039,0.024359971244369172
56,56,56,56,2019-04-26,125.60108947753906,121.68724822998048,121.07823181152344,0.03216311737250965,0.037354837433174026
57,57,57,57,2019-04-29,126.69373321533205,124.42779541015624,121.32005310058594,0.018210865166472745,0.044293420398446415
58,58,58,58,2019-04-30,128.7446746826172,122.3499984741211,122.05442810058594,0.0522654375827285,0.05481363262394523
59,59,59,59,2019-05-01,128.1446533203125,123.60385131835938,123.3441162109375,0.036736735575153334,0.03891987114460593
60,60,60,60,2019-05-02,127.8042984008789,124.6517333984375,122.51121520996094,0.025290984060081456,0.04320488684931112
61,61,61,61,2019-05-03,128.38645935058594,124.66070556640624,123.89942169189452,0.02988715463506675,0.0362151622454665
62,62,62,62,2019-05-06,128.45806884765625,125.60108947753906,121.68724822998048,0.02274645372903472,0.055641167962639626
63,63,63,63,2019-05-07,126.91765594482422,126.69373321533205,124.42779541015624,0.0017674333513528762,0.020010485008277845
64,64,64,64,2019-05-08,126.7564468383789,128.7446746826172,122.3499984741211,-0.01544318511922671,0.03601510763557414
