,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MET,MET_6m,MET_12m,MET_6m_ret,MET_12m_ret
0,0,0,0,2019-02-05,38.13039779663086,,,,
1,1,1,1,2019-02-06,38.13039779663086,,,,
2,2,2,2,2019-02-07,36.71316146850586,,,,
3,3,3,3,2019-02-08,36.02985000610352,,,,
4,4,4,4,2019-02-11,36.51070022583008,,,,
5,5,5,5,2019-02-12,37.37960052490234,,,,
6,6,6,6,2019-02-13,37.30366897583008,38.13039779663086,,-0.021681620664178558,
7,7,7,7,2019-02-14,36.949363708496094,38.13039779663086,,-0.030973558010955804,
8,8,8,8,2019-02-15,37.84357452392578,36.71316146850586,,0.03079040350119766,
9,9,9,9,2019-02-19,37.74234008789063,36.02985000610352,,0.04752975883876864,
10,10,10,10,2019-02-20,38.003849029541016,36.51070022583008,,0.04089619740173012,
11,11,11,11,2019-02-21,37.75920486450195,37.37960052490234,,0.01015538781231018,
12,12,12,12,2019-02-22,37.74234008789063,37.30366897583008,38.13039779663086,0.011759462918909724,-0.010177121959491164
13,13,13,13,2019-02-25,38.18100738525391,36.949363708496094,38.13039779663086,0.03333328515409906,0.0013272767017271647
14,14,14,14,2019-02-26,37.66641998291016,37.84357452392578,36.71316146850586,-0.004681231708268396,0.02596503477974932
15,15,15,15,2019-02-27,37.96167755126953,37.74234008789063,36.02985000610352,0.005811443139670969,0.0536174184693734
16,16,16,16,2019-02-28,38.12196731567383,38.003849029541016,36.51070022583008,0.0031080611345708498,0.044131366417996976
17,17,17,17,2019-03-01,38.42565155029297,37.75920486450195,37.37960052490234,0.017649913131977835,0.027984542656996902
18,18,18,18,2019-03-04,38.5184440612793,37.74234008789063,37.30366897583008,0.020563218167748865,0.032564493488195456
19,19,19,19,2019-03-05,38.42565155029297,38.18100738525391,36.949363708496094,0.006407483243449974,0.03995435086362309
20,20,20,20,2019-03-06,37.91106414794922,37.66641998291016,37.84357452392578,0.006495020369603921,0.001783383966035501
21,21,21,21,2019-03-07,37.38803863525391,37.96167755126953,37.74234008789063,-0.015111000172236433,-0.00938737375084997
22,22,22,22,2019-03-08,37.253055572509766,38.12196731567383,38.003849029541016,-0.022792940772676462,-0.019755721491463873
23,23,23,23,2019-03-11,37.598934173583984,38.42565155029297,37.75920486450195,-0.02151472631835394,-0.0042445462369532505
24,24,24,24,2019-03-12,37.598934173583984,38.5184440612793,37.74234008789063,-0.023871937460206216,-0.003799603150538622
25,25,25,25,2019-03-13,37.70859909057617,38.42565155029297,38.18100738525391,-0.01866077557014978,-0.012372860933475338
26,26,26,26,2019-03-14,37.826698303222656,37.91106414794922,37.66641998291016,-0.002225362084201099,0.004255204513336164
27,27,27,27,2019-03-15,38.22319030761719,37.38803863525391,37.96167755126953,0.022337402625228764,0.006888861958075143
28,28,28,28,2019-03-18,38.56906127929688,37.253055572509766,38.12196731567383,0.03532611450423517,0.01172798769593486
29,29,29,29,2019-03-19,37.995418548583984,37.598934173583984,38.42565155029297,0.010545096123457665,-0.01119650505199321
30,30,30,30,2019-03-20,36.59506607055664,37.598934173583984,38.5184440612793,-0.026699376593835367,-0.04993394820576702
31,31,31,31,2019-03-21,36.4600830078125,37.70859909057617,38.42565155029297,-0.03310958542280318,-0.05115251045015745
32,32,32,32,2019-03-22,35.25374984741211,37.826698303222656,37.91106414794922,-0.06801937708613981,-0.07009337142758243
33,33,33,33,2019-03-25,35.32122802734375,38.22319030761719,37.38803863525391,-0.07592150882536697,-0.0552799955106853
34,34,34,34,2019-03-26,35.818946838378906,38.56906127929688,37.253055572509766,-0.0713036394897737,-0.03849640551872302
35,35,35,35,2019-03-27,35.85269546508789,37.995418548583984,37.598934173583984,-0.056394248710702755,-0.04644383536070962
36,36,36,36,2019-03-28,35.82738494873047,36.59506607055664,37.598934173583984,-0.02097772197886061,-0.04711700647350159
37,37,37,37,2019-03-29,35.911739349365234,36.4600830078125,37.70859909057617,-0.01503956143845775,-0.04765119321709288
38,38,38,38,2019-04-01,37.22775650024414,35.25374984741211,37.826698303222656,0.055994232142001055,-0.01583383773485425
39,39,39,39,2019-04-02,37.05903625488281,35.32122802734375,38.22319030761719,0.049200107827331196,-0.03045674741865756
40,40,40,40,2019-04-03,37.27836990356445,35.818946838378906,38.56906127929688,0.04074444376521469,-0.033464422854005194
41,41,41,41,2019-04-04,37.74234008789063,35.85269546508789,37.995418548583984,0.05270578957285954,-0.006660762543508891
42,42,42,42,2019-04-05,38.012298583984375,35.82738494873047,36.59506607055664,0.06098445751428838,0.03872742054066136
43,43,43,43,2019-04-08,37.97011566162109,35.911739349365234,36.4600830078125,0.057317644579424565,0.041416050903806845
44,44,44,44,2019-04-09,37.37117004394531,37.22775650024414,35.25374984741211,0.0038523284017997206,0.060062268714618394
45,45,45,45,2019-04-10,37.81826400756836,37.05903625488281,35.32122802734375,0.020486980488746864,0.07069504996518083
46,46,46,46,2019-04-11,38.19788360595703,37.27836990356445,35.818946838378906,0.024666145670298123,0.06641559782068085
47,47,47,47,2019-04-12,38.68716812133789,37.74234008789063,35.85269546508789,0.025033636792181735,0.07905884395805352
48,48,48,48,2019-04-15,38.17257308959961,38.012298583984375,35.82738494873047,0.004216385527466171,0.06545797702581813
49,49,49,49,2019-04-16,38.965553283691406,37.97011566162109,35.911739349365234,0.026216344215050036,0.08503664789436471
50,50,50,50,2019-04-17,38.64499282836914,37.37117004394531,37.22775650024414,0.0340857078578467,0.03806934560012243
51,51,51,51,2019-04-18,38.23162460327149,37.81826400756836,37.05903625488281,0.010930184305139035,0.031641091266483734
52,52,52,52,2019-04-22,38.13882827758789,38.19788360595703,37.27836990356445,-0.0015460366594742814,0.02308197424536962
53,53,53,53,2019-04-23,38.32442474365234,38.68716812133789,37.74234008789063,-0.00937632283003631,0.015422590501972033
54,54,54,54,2019-04-24,37.90261459350586,38.17257308959961,38.012298583984375,-0.007072053944597756,-0.0028854869230330316
55,55,55,55,2019-04-25,37.7170295715332,38.965553283691406,37.97011566162109,-0.03204172934664218,-0.006665402137389198
56,56,56,56,2019-04-26,38.0460319519043,38.64499282836914,37.37117004394531,-0.01549905518484529,0.018058356405898035
57,57,57,57,2019-04-29,38.56906127929688,38.23162460327149,37.81826400756836,0.008826113970488159,0.019852769328022823
58,58,58,58,2019-04-30,38.91493606567383,38.13882827758789,38.19788360595703,0.020349544627777938,0.01877204682630551
