,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,EXPD,EXPD_6m,EXPD_12m,EXPD_6m_ret,EXPD_12m_ret
0,0,0,0,2019-02-05,66.72594451904297,,,,
1,1,1,1,2019-02-06,66.51866912841797,,,,
2,2,2,2,2019-02-07,67.27241516113281,,,,
3,3,3,3,2019-02-08,67.00860595703125,,,,
4,4,4,4,2019-02-11,67.05571746826172,,,,
5,5,5,5,2019-02-12,68.80818939208984,,,,
6,6,6,6,2019-02-13,69.50541687011719,66.72594451904297,,0.04165504694026456,
7,7,7,7,2019-02-14,69.68441009521484,66.51866912841797,,0.04759176646612162,
8,8,8,8,2019-02-15,69.38292694091797,67.27241516113281,,0.03137261795536839,
9,9,9,9,2019-02-19,70.68315124511719,67.00860595703125,,0.05483691587976347,
10,10,10,10,2019-02-20,71.18251037597656,67.05571746826172,,0.06154274480275457,
11,11,11,11,2019-02-21,71.15424346923828,68.80818939208984,,0.03409556475581588,
12,12,12,12,2019-02-22,71.41805267333984,69.50541687011719,66.72594451904297,0.02751779486189898,0.07031909683882831
13,13,13,13,2019-02-25,71.05061340332031,69.68441009521484,66.51866912841797,0.01960558044817673,0.06813041112042062
14,14,14,14,2019-02-26,70.36279296875,69.38292694091797,67.27241516113281,0.014122581318404492,0.04593826162201897
15,15,15,15,2019-02-27,70.42874908447266,70.68315124511719,67.00860595703125,-0.003599190983468059,0.05104035636309989
16,16,16,16,2019-02-28,70.61719512939453,71.18251037597656,67.05571746826172,-0.007941771702010936,0.053112214671604985
17,17,17,17,2019-03-01,71.04117584228516,71.15424346923828,68.80818939208984,-0.0015890496678810928,0.032452335542083155
18,18,18,18,2019-03-04,70.97522735595703,71.41805267333984,69.50541687011719,-0.006200467540164678,0.021146704127916305
19,19,19,19,2019-03-05,70.63603973388672,71.05061340332031,69.68441009521484,-0.005834906267174089,0.013656277456773891
20,20,20,20,2019-03-06,70.55123138427734,70.36279296875,69.38292694091797,0.0026780974372497823,0.01683850040449042
21,21,21,21,2019-03-07,70.0518798828125,70.42874908447266,70.68315124511719,-0.0053510705011690085,-0.008931001959937346
22,22,22,22,2019-03-08,70.20264434814453,70.61719512939453,71.18251037597656,-0.005870394320963923,-0.01376554469147706
23,23,23,23,2019-03-11,71.76667022705078,71.04117584228516,71.15424346923828,0.010212308230599376,0.008607030697716178
24,24,24,24,2019-03-12,72.14353942871094,70.97522735595703,71.41805267333984,0.016460842976867784,0.0101583105141414
25,25,25,25,2019-03-13,72.42620086669922,70.63603973388672,71.05061340332031,0.025343452712761394,0.019360669774521888
26,26,26,26,2019-03-14,72.54869079589844,70.55123138427734,70.36279296875,0.0283121835356972,0.03106610375911667
27,27,27,27,2019-03-15,71.61590576171875,70.0518798828125,70.42874908447266,0.022326679619771195,0.016856137481899847
28,28,28,28,2019-03-18,72.11526489257812,70.20264434814453,70.61719512939453,0.02724428064203166,0.021213951650708163
29,29,29,29,2019-03-19,71.79492950439453,71.76667022705078,71.04117584228516,0.00039376603727525605,0.01061009552801817
30,30,30,30,2019-03-20,70.49470520019531,72.14353942871094,70.97522735595703,-0.022854911771343467,-0.00677027990839385
31,31,31,31,2019-03-21,71.50284576416016,72.42620086669922,70.63603973388672,-0.012748909807356879,0.012271441512562653
32,32,32,32,2019-03-22,69.8351821899414,72.54869079589844,70.55123138427734,-0.037402585438667035,-0.010149350766619158
33,33,33,33,2019-03-25,69.45831298828125,71.61590576171875,70.0518798828125,-0.030127284581392688,-0.008473247192283928
34,34,34,34,2019-03-26,69.77864074707031,72.11526489257812,70.20264434814453,-0.03240124194216598,-0.006039709828757012
35,35,35,35,2019-03-27,69.98593139648438,71.79492950439453,71.76667022705078,-0.025196739106755794,-0.024812894689590803
36,36,36,36,2019-03-28,70.63603973388672,70.49470520019531,72.14353942871094,0.0020048957335170314,-0.020895837752926805
