,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MRO,MRO_6m,MRO_12m,MRO_6m_ret,MRO_12m_ret
0,0,0,0,2019-02-05,14.895864486694336,,,,
1,1,1,1,2019-02-06,14.86782932281494,,,,
2,2,2,2,2019-02-07,14.269752502441406,,,,
3,3,3,3,2019-02-08,14.138922691345217,,,,
4,4,4,4,2019-02-11,14.269752502441406,,,,
5,5,5,5,2019-02-12,14.437960624694824,,,,
6,6,6,6,2019-02-13,14.53140926361084,14.895864486694336,,-0.024466872896772407,
7,7,7,7,2019-02-14,15.802321434020996,14.86782932281494,,0.06285329828020436,
8,8,8,8,2019-02-15,15.961191177368164,14.269752502441406,,0.11853314727339326,
9,9,9,9,2019-02-19,15.961193084716797,14.138922691345217,,0.12888325604093143,
10,10,10,10,2019-02-20,16.008054733276367,14.269752502441406,,0.12181726561393091,
11,11,11,11,2019-02-21,15.633155822753906,14.437960624694824,,0.08278144186200431,
12,12,12,12,2019-02-22,15.82997703552246,14.53140926361084,14.895864486694336,0.08936282423504904,0.06270952247602102
13,13,13,13,2019-02-25,15.623785972595217,15.802321434020996,14.86782932281494,-0.01129805276846274,0.0508451256311
14,14,14,14,2019-02-26,15.483199119567873,15.961191177368164,14.269752502441406,-0.029947141945022904,0.08503627634178379
15,15,15,15,2019-02-27,15.73625373840332,15.961193084716797,14.138922691345217,-0.014092890495063348,0.11297402793183586
16,16,16,16,2019-02-28,15.55817985534668,16.008054733276367,14.269752502441406,-0.028103032218806723,0.09029079885476898
17,17,17,17,2019-03-01,16.008054733276367,15.633155822753906,14.437960624694824,0.02398101284046561,0.10874763752271499
18,18,18,18,2019-03-04,16.195497512817383,15.82997703552246,14.53140926361084,0.02309039845570826,0.11451664590947197
19,19,19,19,2019-03-05,16.186128616333008,15.623785972595217,15.802321434020996,0.0359927257531667,0.024288025269863844
20,20,20,20,2019-03-06,15.801859855651855,15.483199119567873,15.961191177368164,0.02058106555519612,-0.009982420481387977
21,21,21,21,2019-03-07,15.801859855651855,15.73625373840332,15.961193084716797,0.0041691064683602175,-0.009982538787624007
22,22,22,22,2019-03-08,15.248889923095703,15.55817985534668,16.008054733276367,-0.019879570433471216,-0.04742392644389004
23,23,23,23,2019-03-11,15.530062675476074,16.008054733276367,15.633155822753906,-0.029859471732482157,-0.006594519267042687
24,24,24,24,2019-03-12,15.839349746704102,16.195497512817383,15.82997703552246,-0.021990541867047964,0.0005920862146930883
25,25,25,25,2019-03-13,16.232988357543945,16.186128616333008,15.623785972595217,0.0028950555331466177,0.03899198222615796
26,26,26,26,2019-03-14,16.176753997802734,15.801859855651855,15.483199119567873,0.023724684662153273,0.04479402950765765
27,27,27,27,2019-03-15,16.186128616333008,15.801859855651855,15.73625373840332,0.024317945114777695,0.02858843568541336
28,28,28,28,2019-03-18,16.298595428466797,15.248889923095703,15.55817985534668,0.0688381587554927,0.04759011529653123
29,29,29,29,2019-03-19,16.045543670654297,15.530062675476074,16.008054733276367,0.033192460709912774,0.0023418796351315496
30,30,30,30,2019-03-20,16.495418548583984,15.839349746704102,16.195497512817383,0.041420185321458636,0.018518791134958246
31,31,31,31,2019-03-21,16.57976722717285,16.232988357543945,16.186128616333008,0.021362602004685538,0.024319503456968317
32,32,32,32,2019-03-22,15.633155822753906,16.176753997802734,15.801859855651855,-0.03360366208960486,-0.010676213714021054
33,33,33,33,2019-03-25,15.66127109527588,16.186128616333008,15.801859855651855,-0.032426377764446235,-0.008896975524415263
34,34,34,34,2019-03-26,16.03616714477539,16.298595428466797,15.248889923095703,-0.016101282153004104,0.05162849398547298
35,35,35,35,2019-03-27,15.989307403564451,16.045543670654297,15.530062675476074,-0.00350479037944329,0.0295713377135034
36,36,36,36,2019-03-28,15.764373779296877,16.495418548583984,15.839349746704102,-0.04431804910763315,-0.0047335255932982045
37,37,37,37,2019-03-29,15.66127109527588,16.57976722717285,16.232988357543945,-0.05539861442636129,-0.035219470973277156
38,38,38,38,2019-04-01,16.298595428466797,15.633155822753906,16.176753997802734,0.042565916521112745,0.007531883756197955
39,39,39,39,2019-04-02,16.05491065979004,15.66127109527588,16.186128616333008,0.025134585955344235,-0.008106815388242983
40,40,40,40,2019-04-03,15.86746883392334,16.03616714477539,16.298595428466797,-0.010519864836094128,-0.026451763677160844
41,41,41,41,2019-04-04,16.06428337097168,15.989307403564451,16.045543670654297,0.004689131649974643,0.0011679068470367149
42,42,42,42,2019-04-05,16.589141845703125,15.764373779296877,16.495418548583984,0.052318479500238935,0.005681777448877545
43,43,43,43,2019-04-08,16.495418548583984,15.66127109527588,16.57976722717285,0.05326179773235129,-0.0050874464902394
44,44,44,44,2019-04-09,16.176753997802734,16.298595428466797,15.633155822753906,-0.007475578567417984,0.03477213310044713
45,45,45,45,2019-04-10,16.354833602905273,16.05491065979004,15.66127109527588,0.018681072070142246,0.04428519903717154
