,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,DAY,DAY_6m,DAY_12m,DAY_6m_ret,DAY_12m_ret
0,0,0,0,2019-02-05,43.54999923706055,,,,
1,1,1,1,2019-02-06,46.040000915527344,,,,
2,2,2,2,2019-02-07,43.43999862670898,,,,
3,3,3,3,2019-02-08,44.90999984741211,,,,
4,4,4,4,2019-02-11,45.130001068115234,,,,
5,5,5,5,2019-02-12,45.459999084472656,,,,
6,6,6,6,2019-02-13,45.36000061035156,43.54999923706055,,0.04156145591274152,
7,7,7,7,2019-02-14,45.59999847412109,46.040000915527344,,-0.009556959875251958,
8,8,8,8,2019-02-15,45.7599983215332,43.43999862670898,,0.05340699282153705,
9,9,9,9,2019-02-19,46.59000015258789,44.90999984741211,,0.03740815655497243,
10,10,10,10,2019-02-20,47.52999877929688,45.130001068115234,,0.05317965110524381,
11,11,11,11,2019-02-21,47.619998931884766,45.459999084472656,,0.04751429588457423,
12,12,12,12,2019-02-22,48.400001525878906,45.36000061035156,43.54999923706055,0.0670194196345224,0.11136630020170157
13,13,13,13,2019-02-25,48.70000076293945,45.59999847412109,46.040000915527344,0.06798250860858435,0.057775842626341056
14,14,14,14,2019-02-26,48.970001220703125,45.7599983215332,43.43999862670898,0.07014866732762526,0.12730208952156907
15,15,15,15,2019-02-27,49.5099983215332,46.59000015258789,44.90999984741211,0.06267435413998634,0.10242704274660919
16,16,16,16,2019-02-28,49.02000045776367,47.52999877929688,45.130001068115234,0.031348658041956634,0.0861954198444892
17,17,17,17,2019-03-01,49.380001068115234,47.619998931884766,45.459999084472656,0.03695930650372259,0.08622969781320333
18,18,18,18,2019-03-04,47.68000030517578,48.400001525878906,45.36000061035156,-0.01487605781000123,0.05114637706364533
19,19,19,19,2019-03-05,47.66999816894531,48.70000076293945,45.59999847412109,-0.021149950264024775,0.04539473166866426
20,20,20,20,2019-03-06,48.16999816894531,48.970001220703125,45.7599983215332,-0.01633659448265634,0.05266608251333871
21,21,21,21,2019-03-07,48.27000045776367,49.5099983215332,46.59000015258789,-0.02504540306619696,0.036059246612439866
22,22,22,22,2019-03-08,48.900001525878906,49.02000045776367,47.52999877929688,-0.0024479586039204415,0.028823959220861006
23,23,23,23,2019-03-11,49.27000045776367,49.380001068115234,47.619998931884766,-0.0022276348313525762,0.03464933983385965
24,24,24,24,2019-03-12,49.650001525878906,47.68000030517578,48.400001525878906,0.04131713943150461,0.02582644546677626
25,25,25,25,2019-03-13,49.66999816894531,47.66999816894531,48.70000076293945,0.041955109645942956,0.019917810899584776
26,26,26,26,2019-03-14,50.290000915527344,48.16999816894531,48.970001220703125,0.0440108537921593,0.02695527183826485
27,27,27,27,2019-03-15,51.380001068115234,48.27000045776367,49.5099983215332,0.06442926415699568,0.03777020420072841
28,28,28,28,2019-03-18,49.84000015258789,48.900001525878906,49.02000045776367,0.019222875201987843,0.01672785979532465
29,29,29,29,2019-03-19,50.810001373291016,49.27000045776367,49.380001068115234,0.031256360893430424,0.02895909830385035
30,30,30,30,2019-03-20,49.93000030517578,49.650001525878906,47.68000030517578,0.005639451574859011,0.04718959701339931
31,31,31,31,2019-03-21,50.33000183105469,49.66999816894531,47.66999816894531,0.01328777303080364,0.05580037265120419
32,32,32,32,2019-03-22,49.59999847412109,50.290000915527344,48.16999816894531,-0.013720469851755679,0.029686534347798332
33,33,33,33,2019-03-25,49.720001220703125,51.380001068115234,48.27000045776367,-0.0323082875224433,0.030039377443308757
34,34,34,34,2019-03-26,50.13999938964844,49.84000015258789,48.900001525878906,0.0060192463110368966,0.025357828733671983
35,35,35,35,2019-03-27,49.75,50.810001373291016,49.27000045776367,-0.020862061496582096,0.009742227273730197
36,36,36,36,2019-03-28,50.150001525878906,49.93000030517578,49.650001525878906,0.004406193057449714,0.010070493144685777
37,37,37,37,2019-03-29,51.29999923706055,50.33000183105469,49.66999816894531,0.019272747282265135,0.03281661220463561
38,38,38,38,2019-04-01,51.43000030517578,49.59999847412109,50.290000915527344,0.036895199341780316,0.022668510019781207
39,39,39,39,2019-04-02,51.47999954223633,49.720001220703125,51.380001068115234,0.03539819546103207,0.001946252861858122
40,40,40,40,2019-04-03,51.77999877929688,50.13999938964844,49.84000015258789,0.03270840465919567,0.03892453091431736
41,41,41,41,2019-04-04,51.560001373291016,49.75,50.810001373291016,0.036381937151578114,0.014760873444775058
42,42,42,42,2019-04-05,51.869998931884766,50.150001525878906,49.93000030517578,0.03429705590573695,0.038854368412809315
43,43,43,43,2019-04-08,51.31999969482422,51.29999923706055,50.33000183105469,0.0003898724768249817,0.019670133672808232
44,44,44,44,2019-04-09,51.02000045776367,51.43000030517578,49.59999847412109,-0.007971997763547511,0.02862907313159435
45,45,45,45,2019-04-10,51.290000915527344,51.47999954223633,49.720001220703125,-0.0036907270473672815,0.03157682333624878
46,46,46,46,2019-04-11,51.59000015258789,51.77999877929688,50.13999938964844,-0.0036693439781415593,0.028919042293383157
47,47,47,47,2019-04-12,51.47999954223633,51.560001373291016,49.75,-0.001551625851897831,0.034773860145453916
48,48,48,48,2019-04-15,51.84999847412109,51.869998931884766,50.150001525878906,-0.0003855881660985716,0.03389824320074908
49,49,49,49,2019-04-16,50.95000076293945,51.31999969482422,51.29999923706055,-0.007209644078039257,-0.006822582443008041
50,50,50,50,2019-04-17,50.09999847412109,51.02000045776367,51.43000030517578,-0.0180321829750707,-0.025860428216269105
51,51,51,51,2019-04-18,49.900001525878906,51.290000915527344,51.47999954223633,-0.0271007869923362,-0.030691492432145973
52,52,52,52,2019-04-22,50.709999084472656,51.59000015258789,51.77999877929688,-0.017057589949843965,-0.02066434376302151
53,53,53,53,2019-04-23,51.91999816894531,51.47999954223633,51.560001373291016,0.008546981946804255,0.006982094376762005
54,54,54,54,2019-04-24,51.869998931884766,51.84999847412109,51.869998931884766,0.00038573690168308694,0.0
55,55,55,55,2019-04-25,52.29999923706055,50.95000076293945,51.31999969482422,0.026496534914736802,0.019095860250661012
56,56,56,56,2019-04-26,52.47999954223633,50.09999847412109,51.02000045776367,0.04750501278646979,0.028616210728600544
57,57,57,57,2019-04-29,52.84999847412109,49.900001525878906,51.290000915527344,0.05911817350771553,0.03041523748777064
58,58,58,58,2019-04-30,53.150001525878906,50.709999084472656,51.59000015258789,0.048116791273091764,0.030238444828009303
59,59,59,59,2019-05-01,51.7599983215332,51.91999816894531,51.47999954223633,-0.0030816612683898237,0.005438981775187424
60,60,60,60,2019-05-02,49.4900016784668,51.869998931884766,51.84999847412109,-0.04588388861436765,-0.04551585082171583
61,61,61,61,2019-05-03,49.70000076293945,52.29999923706055,50.95000076293945,-0.04971316466633324,-0.024533856354899908
62,62,62,62,2019-05-06,50.150001525878906,52.47999954223633,50.09999847412109,-0.044397828442857,0.0009980649357435034
63,63,63,63,2019-05-07,49.400001525878906,52.84999847412109,49.900001525878906,-0.06527903591012463,-0.010020039773760203
64,64,64,64,2019-05-08,49.83000183105469,53.150001525878906,50.709999084472656,-0.06246471494845962,-0.017353525326475938
65,65,65,65,2019-05-09,49.86000061035156,51.7599983215332,51.91999816894531,-0.036707839505303874,-0.03967637964644399
66,66,66,66,2019-05-10,50.36000061035156,49.4900016784668,51.869998931884766,0.017579286772651415,-0.02911120787791266
67,67,67,67,2019-05-13,47.61000061035156,49.70000076293945,52.29999923706055,-0.04205231630793804,-0.08967492724905402
68,68,68,68,2019-05-14,49.04999923706055,50.150001525878906,52.47999954223633,-0.021934242379847646,-0.06535823809250019
69,69,69,69,2019-05-15,50.15999984741211,49.400001525878906,52.84999847412109,0.015384580932352065,-0.050898745588917715
70,70,70,70,2019-05-16,51.97999954223633,49.83000183105469,53.150001525878906,0.04314665125783179,-0.02201320696242881
