,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AVGO,AVGO_6m,AVGO_12m,AVGO_6m_ret,AVGO_12m_ret
0,0,0,0,2019-02-05,228.75750732421875,,,,
1,1,1,1,2019-02-06,234.01890563964844,,,,
2,2,2,2,2019-02-07,227.98648071289065,,,,
3,3,3,3,2019-02-08,232.1973114013672,,,,
4,4,4,4,2019-02-11,233.60372924804688,,,,
5,5,5,5,2019-02-12,236.7132263183593,,,,
6,6,6,6,2019-02-13,238.348388671875,228.75750732421875,,0.04192597418917954,
7,7,7,7,2019-02-14,238.5008544921875,234.01890563964844,,0.019152080214581257,
8,8,8,8,2019-02-15,238.8651733398437,227.98648071289065,,0.0477163935025291,
9,9,9,9,2019-02-19,238.63641357421875,232.1973114013672,,0.0277311659380981,
10,10,10,10,2019-02-20,240.1275787353516,233.60372924804688,,0.027926992040343324,
11,11,11,11,2019-02-21,238.02639770507807,236.7132263183593,,0.005547520124425498,
12,12,12,12,2019-02-22,234.26461791992188,238.348388671875,228.75750732421875,-0.017133620137768535,0.024074010335747742
13,13,13,13,2019-02-25,236.04380798339844,238.5008544921875,234.01890563964844,-0.010302044887933737,0.00865272973657949
14,14,14,14,2019-02-26,232.9937744140625,238.8651733398437,227.98648071289065,-0.024580389194818753,0.021963116784444958
15,15,15,15,2019-02-27,230.0198669433593,238.63641357421875,232.1973114013672,-0.03610742594478189,-0.009377561027156145
16,16,16,16,2019-02-28,233.2986755371093,240.1275787353516,233.60372924804688,-0.02843864596564538,-0.001305859764822781
17,17,17,17,2019-03-01,231.0873870849609,238.02639770507807,236.7132263183593,-0.029152273390763983,-0.02376647608964655
18,18,18,18,2019-03-04,232.9005889892578,234.26461791992188,238.348388671875,-0.005822599002681339,-0.02285645694092342
19,19,19,19,2019-03-05,234.6967010498047,236.04380798339844,238.5008544921875,-0.0057070208496572405,-0.015950271752621425
20,20,20,20,2019-03-06,229.90126037597656,232.9937744140625,238.8651733398437,-0.013272947081367503,-0.03752708207116395
21,21,21,21,2019-03-07,224.9533233642578,230.0198669433593,238.63641357421875,-0.022026547734457558,-0.05733865173809838
22,22,22,22,2019-03-08,223.83493041992188,233.2986755371093,240.1275787353516,-0.04056493289299479,-0.06784996709347613
23,23,23,23,2019-03-11,227.96109008789065,231.0873870849609,238.02639770507807,-0.013528635363906028,-0.0422865182779375
24,24,24,24,2019-03-12,228.4440460205078,232.9005889892578,234.26461791992188,-0.019134957915265538,-0.024846141731073135
25,25,25,25,2019-03-13,229.78268432617188,234.6967010498047,236.04380798339844,-0.020937732408049525,-0.02652526118230958
26,26,26,26,2019-03-14,227.23245239257807,229.90126037597656,232.9937744140625,-0.011608496530353785,-0.024727364651579764
