,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ENPH,ENPH_6m,ENPH_12m,ENPH_6m_ret,ENPH_12m_ret
0,0,0,0,2019-02-05,7.300000190734863,,,,
1,1,1,1,2019-02-06,7.320000171661377,,,,
2,2,2,2,2019-02-07,7.480000019073486,,,,
3,3,3,3,2019-02-08,7.440000057220459,,,,
4,4,4,4,2019-02-11,7.730000019073486,,,,
5,5,5,5,2019-02-12,7.599999904632568,,,,
6,6,6,6,2019-02-13,7.679999828338623,7.300000190734863,,0.05205474351713768,
7,7,7,7,2019-02-14,7.659999847412109,7.320000171661377,,0.04644804204609265,
8,8,8,8,2019-02-15,7.650000095367432,7.480000019073486,,0.022727282869045018,
9,9,9,9,2019-02-19,7.559999942779541,7.440000057220459,,0.016129016752173708,
10,10,10,10,2019-02-20,7.230000019073486,7.730000019073486,,-0.06468305288050047,
11,11,11,11,2019-02-21,7.369999885559082,7.599999904632568,,-0.030263160784158694,
12,12,12,12,2019-02-22,7.78000020980835,7.679999828338623,7.300000190734863,0.013020883294910135,0.06575342555233088
13,13,13,13,2019-02-25,8.0600004196167,7.659999847412109,7.320000171661377,0.05221939688937827,0.10109292767781031
14,14,14,14,2019-02-26,8.09000015258789,7.650000095367432,7.480000019073486,0.05751634663206184,0.08155081978060763
15,15,15,15,2019-02-27,8.869999885559082,7.559999942779541,7.440000057220459,0.17328041702311192,0.19220427652427508
16,16,16,16,2019-02-28,9.06999969482422,7.230000019073486,7.730000019073486,0.2544951135403355,0.1733505397728765
17,17,17,17,2019-03-01,9.100000381469728,7.369999885559082,7.599999904632568,0.23473548477259043,0.19736848627101122
18,18,18,18,2019-03-04,8.779999732971191,7.78000020980835,7.679999828338623,0.12853463961377898,0.1432291574504534
19,19,19,19,2019-03-05,8.699999809265137,8.0600004196167,7.659999847412109,0.07940438664131899,0.1357702327114778
20,20,20,20,2019-03-06,8.380000114440918,8.09000015258789,7.650000095367432,0.035846718959611,0.0954248379049758
21,21,21,21,2019-03-07,8.289999961853027,8.869999885559082,7.559999942779541,-0.06538894376428694,0.09656084981464841
22,22,22,22,2019-03-08,8.460000038146973,9.06999969482422,7.230000019073486,-0.06725465018762278,0.17012448351709808
23,23,23,23,2019-03-11,8.84000015258789,9.100000381469728,7.369999885559082,-0.028571452525570695,0.19945729848777272
24,24,24,24,2019-03-12,9.0,8.779999732971191,7.78000020980835,0.02505697878356994,0.15681230813510516
25,25,25,25,2019-03-13,9.359999656677246,8.699999809265137,8.0600004196167,0.07586205308984462,0.1612902195261139
26,26,26,26,2019-03-14,9.380000114440918,8.380000114440918,8.09000015258789,0.1193317406137906,0.1594561109421453
27,27,27,27,2019-03-15,9.050000190734863,8.289999961853027,8.869999885559082,0.09167674696972572,0.02029315755334249
28,28,28,28,2019-03-18,9.670000076293944,8.460000038146973,9.06999969482422,0.1430260085923123,0.0661521942290817
29,29,29,29,2019-03-19,9.199999809265137,8.84000015258789,9.100000381469728,0.04072394236009802,0.010988947648731484
30,30,30,30,2019-03-20,9.18000030517578,9.0,8.779999732971191,0.020000033908419868,0.04555815311730371
31,31,31,31,2019-03-21,9.380000114440918,9.359999656677246,8.699999809265137,0.0021368011215048277,0.07816095633147135
