,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,FANG,FANG_6m,FANG_12m,FANG_6m_ret,FANG_12m_ret
0,0,0,0,2019-02-05,84.8873291015625,,,,
1,1,1,1,2019-02-06,84.69569396972656,,,,
2,2,2,2,2019-02-07,81.62116241455078,,,,
3,3,3,3,2019-02-08,80.48799896240234,,,,
4,4,4,4,2019-02-11,81.53783416748047,,,,
5,5,5,5,2019-02-12,82.22106170654297,,,,
6,6,6,6,2019-02-13,84.17074584960938,84.8873291015625,,-0.008441580852376451,
7,7,7,7,2019-02-14,86.51209259033203,84.69569396972656,,0.021446174362237613,
8,8,8,8,2019-02-15,87.9035415649414,81.62116241455078,,0.07696997891898016,
9,9,9,9,2019-02-19,87.3203125,80.48799896240234,,0.0848861150193232,
10,10,10,10,2019-02-20,88.80101013183594,81.53783416748047,,0.08907737173195884,
11,11,11,11,2019-02-21,85.20560455322266,82.22106170654297,,0.03629900641920547,
12,12,12,12,2019-02-22,86.78224182128906,84.17074584960938,84.8873291015625,0.03102617121090656,0.022322680425713726
13,13,13,13,2019-02-25,87.83334350585938,86.51209259033203,84.69569396972656,0.015272441990092256,0.037046151806186645
14,14,14,14,2019-02-26,88.01687622070312,87.9035415649414,81.62116241455078,0.0012893070488859681,0.07835852390423881
15,15,15,15,2019-02-27,88.00016784667969,87.3203125,80.48799896240234,0.007785764013152008,0.09333278229200892
16,16,16,16,2019-02-28,85.8646240234375,88.80101013183594,81.53783416748047,-0.0330670349812352,0.05306481218362635
17,17,17,17,2019-03-01,87.41622924804688,85.20560455322266,82.22106170654297,0.02594459257012116,0.06318536192157298
18,18,18,18,2019-03-04,87.31612396240234,86.78224182128906,84.17074584960938,0.0061519745273774795,0.037369017953255534
19,19,19,19,2019-03-05,85.60601806640625,87.83334350585938,86.51209259033203,-0.0253585409657614,-0.010473385821522019
20,20,20,20,2019-03-06,83.46212768554688,88.01687622070312,87.9035415649414,-0.05174858198483634,-0.050525994747473324
21,21,21,21,2019-03-07,81.55178833007812,88.00016784667969,87.3203125,-0.07327690019678601,-0.06606165283618148
22,22,22,22,2019-03-08,79.6664810180664,85.8646240234375,88.80101013183594,-0.0721850596315341,-0.10286514872081076
23,23,23,23,2019-03-11,81.4016342163086,87.41622924804688,85.20560455322266,-0.06880410060552533,-0.04464460239276813
24,24,24,24,2019-03-12,83.8375015258789,87.31612396240234,86.78224182128906,-0.03983940512546469,-0.03393252160360494
25,25,25,25,2019-03-13,86.27338409423828,85.60601806640625,87.83334350585938,0.007795784022033958,-0.017760446652210438
26,26,26,26,2019-03-14,86.93240356445312,83.46212768554688,88.01687622070312,0.0415790487870249,-0.012321190012818395
27,27,27,27,2019-03-15,85.41415405273438,81.55178833007812,88.00016784667969,0.04736089547200928,-0.02938646433550962
28,28,28,28,2019-03-18,87.20768737792969,79.6664810180664,85.8646240234375,0.09465971464401846,0.015641637866201874
29,29,29,29,2019-03-19,86.07318115234375,81.4016342163086,87.41622924804688,0.057388859339376985,-0.015363830117771093
30,30,30,30,2019-03-20,87.74159240722656,83.8375015258789,87.31612396240234,0.04656735721236327,0.0048727362772931215
31,31,31,31,2019-03-21,88.35054779052734,86.27338409423828,85.60601806640625,0.024076529721149376,0.0320600091688894
32,32,32,32,2019-03-22,84.56327056884766,86.93240356445312,83.46212768554688,-0.027252588200313066,0.013193323892358277
33,33,33,33,2019-03-25,84.23792266845703,85.41415405273438,81.55178833007812,-0.013770918852057501,0.032937773571645845
34,34,34,34,2019-03-26,85.59767150878906,87.20768737792969,79.6664810180664,-0.018461857177376362,0.07445026333443305
35,35,35,35,2019-03-27,85.38078308105469,86.07318115234375,81.4016342163086,-0.008044295122119016,0.0488829112960103
36,36,36,36,2019-03-28,85.53929138183594,87.74159240722656,83.8375015258789,-0.02509985247554314,0.020298670940613883
37,37,37,37,2019-03-29,84.69673919677734,88.35054779052734,86.27338409423828,-0.041355811425333955,-0.018274986127108872
38,38,38,38,2019-04-01,86.49861907958984,84.56327056884766,86.93240356445312,0.02288639615903354,-0.004989905571190945
39,39,39,39,2019-04-02,85.4975814819336,84.23792266845703,85.41415405273438,0.014953583535461945,0.000976740097990314
40,40,40,40,2019-04-03,83.38703918457031,85.59767150878906,87.20768737792969,-0.025825846489197612,-0.04381091057720554
41,41,41,41,2019-04-04,83.28692626953125,85.38078308105469,86.07318115234375,-0.02452374803749069,-0.03237076689289564
42,42,42,42,2019-04-05,85.46419525146484,85.53929138183594,87.74159240722656,-0.0008779138704326783,-0.025955730837341706
43,43,43,43,2019-04-08,87.04917907714844,84.69673919677734,88.35054779052734,0.027774857718024126,-0.01472960548546176
44,44,44,44,2019-04-09,85.78953552246094,86.49861907958984,84.56327056884766,-0.008197628640481014,0.014501153341921702
45,45,45,45,2019-04-10,86.6487808227539,85.4975814819336,84.23792266845703,0.013464700648445405,0.028619629709834005
46,46,46,46,2019-04-11,83.3536605834961,83.38703918457031,85.59767150878906,-0.000400285240975351,-0.026215794024987638
47,47,47,47,2019-04-12,88.6592025756836,83.28692626953125,85.38078308105469,0.06450323654359269,0.03839762738550423
48,48,48,48,2019-04-15,88.39225769042969,85.46419525146484,85.53929138183594,0.034260691630565,0.03335269982373945
49,49,49,49,2019-04-16,89.1513900756836,87.04917907714844,84.69673919677734,0.024149693550493456,0.052595305570816375
50,50,50,50,2019-04-17,90.29424285888672,85.78953552246094,86.49861907958984,0.05250882067366347,0.04388074422095012
51,51,51,51,2019-04-18,89.4933853149414,86.6487808227539,85.4975814819336,0.03282913464190962,0.046735869760855975
52,52,52,52,2019-04-22,92.76346588134766,83.3536605834961,83.38703918457031,0.11289012662408116,0.11244465313156637
53,53,53,53,2019-04-23,93.27235412597656,88.6592025756836,83.28692626953125,0.05203240516803631,0.11989190025011487
54,54,54,54,2019-04-24,92.63002014160156,88.39225769042969,85.46419525146484,0.04794268821612757,0.08384592950360581
55,55,55,55,2019-04-25,91.43710327148438,89.1513900756836,87.04917907714844,0.025638559240190872,0.05040741613941102
56,56,56,56,2019-04-26,89.43500518798828,90.29424285888672,85.78953552246094,-0.009515974038801889,0.042493174060522776
57,57,57,57,2019-04-29,89.17642211914062,89.4933853149414,86.6487808227539,-0.0035417499816923215,0.029171112073200334
58,58,58,58,2019-04-30,88.75098419189453,92.76346588134766,83.3536605834961,-0.043254978146088585,0.06475208851795888
59,59,59,59,2019-05-01,84.56327056884766,93.27235412597656,88.6592025756836,-0.09337261441226352,-0.04619861094892497
60,60,60,60,2019-05-02,82.68630981445312,92.63002014160156,88.39225769042969,-0.10734867931527703,-0.06455257536197478
61,61,61,61,2019-05-03,83.81249237060547,91.43710327148438,89.1513900756836,-0.08338640035698419,-0.05988574828217208
62,62,62,62,2019-05-06,84.00434112548828,89.43500518798828,90.29424285888672,-0.06072190694331592,-0.06966005289205868
63,63,63,63,2019-05-07,81.94385528564453,89.17642211914062,89.4933853149414,-0.08110402572367514,-0.08435852552374545
64,64,64,64,2019-05-08,88.30049896240234,88.75098419189453,92.76346588134766,-0.005075833621384529,-0.04811125669510696
65,65,65,65,2019-05-09,90.29424285888672,84.56327056884766,93.27235412597656,0.0677714124759774,-0.03192919590157994
66,66,66,66,2019-05-10,90.00225830078125,82.68630981445312,92.63002014160156,0.08847835273753302,-0.028368360892109368
67,67,67,67,2019-05-13,89.42666625976562,83.81249237060547,91.43710327148438,0.06698492945819079,-0.021987103044478484
68,68,68,68,2019-05-14,91.01998901367188,84.00434112548828,89.43500518798828,0.08351530164022591,0.017722186322369327
69,69,69,69,2019-05-15,90.9782943725586,81.94385528564453,89.17642211914062,0.11025157475714686,0.020205702478292453
