,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GM,GM_6m,GM_12m,GM_6m_ret,GM_12m_ret
0,0,0,0,2019-02-05,36.6988525390625,,,,
1,1,1,1,2019-02-06,37.26847839355469,,,,
2,2,2,2,2019-02-07,36.09187316894531,,,,
3,3,3,3,2019-02-08,36.13857269287109,,,,
4,4,4,4,2019-02-11,36.07319259643555,,,,
5,5,5,5,2019-02-12,36.44672775268555,,,,
6,6,6,6,2019-02-13,36.41870880126953,36.6988525390625,,-0.0076335830253760895,
7,7,7,7,2019-02-14,36.31598663330078,37.26847839355469,,-0.025557570400261742,
8,8,8,8,2019-02-15,36.50275421142578,36.09187316894531,,0.011384309164479856,
9,9,9,9,2019-02-19,36.91363143920898,36.13857269287109,,0.021446855494953843,
10,10,10,10,2019-02-20,37.30583190917969,36.07319259643555,,0.03417050790414211,
11,11,11,11,2019-02-21,36.99767303466797,36.44672775268555,,0.015116453957703335,
12,12,12,12,2019-02-22,37.34318161010742,36.41870880126953,36.6988525390625,0.02538455753284863,0.017557199379983235
13,13,13,13,2019-02-25,37.48325729370117,36.31598663330078,37.26847839355469,0.03214206107593487,0.00576301768691545
14,14,14,14,2019-02-26,37.45523834228516,36.50275421142578,36.09187316894531,0.026093486681650013,0.037774852165693096
15,15,15,15,2019-02-27,37.35252380371094,36.91363143920898,36.13857269287109,0.011889709773603485,0.03359156215594883
16,16,16,16,2019-02-28,36.86693572998047,37.30583190917969,36.07319259643555,-0.011764814152052772,0.022003684077115837
17,17,17,17,2019-03-01,36.91363143920898,36.99767303466797,36.44672775268555,-0.002271537331016482,0.01281057903720928
18,18,18,18,2019-03-04,36.65216064453125,37.34318161010742,36.41870880126953,-0.018504608760736563,0.006410217466402246
19,19,19,19,2019-03-05,36.68017578125,37.48325729370117,36.31598663330078,-0.021425072697353942,0.010028342383386235
20,20,20,20,2019-03-06,36.11054992675781,37.45523834228516,36.50275421142578,-0.03590121101990862,-0.010744512109861715
21,21,21,21,2019-03-07,35.874778747558594,37.35252380371094,36.91363143920898,-0.039562120726244765,-0.028142793086104567
22,22,22,22,2019-03-08,35.8276252746582,36.86693572998047,37.30583190917969,-0.028190855430306083,-0.039624009407433936
23,23,23,23,2019-03-11,36.4217643737793,36.91363143920898,36.99767303466797,-0.01332480837708172,-0.015566077908441112
24,24,24,24,2019-03-12,36.4217643737793,36.65216064453125,37.34318161010742,-0.006286021525072849,-0.02467430991682651
25,25,25,25,2019-03-13,36.59151458740234,36.68017578125,37.48325729370117,-0.0024171420108892727,-0.023790427264940184
26,26,26,26,2019-03-14,35.8653450012207,36.11054992675781,37.45523834228516,-0.006790395771719138,-0.04244782336011854
27,27,27,27,2019-03-15,35.903072357177734,35.874778747558594,37.35252380371094,0.0007886769091520751,-0.03880464554818652
28,28,28,28,2019-03-18,35.81819152832031,35.8276252746582,36.86693572998047,-0.00026330928342499504,-0.028446741799788677
29,29,29,29,2019-03-19,36.0916862487793,36.4217643737793,36.91363143920898,-0.009062661589168575,-0.022266711737188416
30,30,30,30,2019-03-20,34.89397430419922,36.4217643737793,36.65216064453125,-0.041947173505959,-0.047969514195457474
31,31,31,31,2019-03-21,35.224056243896484,36.59151458740234,36.68017578125,-0.03737091396530057,-0.039697725170058984
