,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GRMN,GRMN_6m,GRMN_12m,GRMN_6m_ret,GRMN_12m_ret
0,0,0,0,2019-02-05,61.34672164916992,,,,
1,1,1,1,2019-02-06,61.46124267578125,,,,
2,2,2,2,2019-02-07,61.29384994506836,,,,
3,3,3,3,2019-02-08,61.89289093017578,,,,
4,4,4,4,2019-02-11,62.14834976196289,,,,
5,5,5,5,2019-02-12,63.02926254272461,,,,
6,6,6,6,2019-02-13,62.89712905883789,61.34672164916992,,0.02527286492234171,
7,7,7,7,2019-02-14,62.8883056640625,61.46124267578125,,0.02321890879768329,
8,8,8,8,2019-02-15,63.090919494628906,61.29384994506836,,0.02931892108541212,
9,9,9,9,2019-02-19,62.51833724975586,61.89289093017578,,0.010105301435760605,
10,10,10,10,2019-02-20,73.16856384277344,62.14834976196289,,0.1773211054359376,
11,11,11,11,2019-02-21,72.6047592163086,63.02926254272461,,0.15192144548880293,
12,12,12,12,2019-02-22,73.17737579345703,62.89712905883789,61.34672164916992,0.16344540503593352,0.1928490036019257
13,13,13,13,2019-02-25,73.60022735595703,62.8883056640625,61.46124267578125,0.1703324899404286,0.19750633328732126
14,14,14,14,2019-02-26,73.68830871582031,63.090919494628906,61.29384994506836,0.1679701184588629,0.20221374219207777
15,15,15,15,2019-02-27,74.14637756347656,62.51833724975586,61.89289093017578,0.18599407510259902,0.1979789027325367
16,16,16,16,2019-02-28,73.97019958496094,73.16856384277344,62.14834976196289,0.010956013075643645,0.1902198508613251
17,17,17,17,2019-03-01,74.60444641113281,72.6047592163086,63.02926254272461,0.027542095262193866,0.18364777567501966
18,18,18,18,2019-03-04,74.64849090576172,73.17737579345703,62.89712905883789,0.020103414427662836,0.18683463017733093
19,19,19,19,2019-03-05,73.97019958496094,73.60022735595703,62.8883056640625,0.005026781061620689,0.1762154951366608
20,20,20,20,2019-03-06,73.54735565185547,73.68830871582031,63.090919494628906,-0.0019128280513049933,0.16573599245318893
21,21,21,21,2019-03-07,73.12451171875,74.14637756347656,62.51833724975586,-0.013781736590594007,0.1696490171615299
22,22,22,22,2019-03-08,72.83380889892578,73.97019958496094,73.16856384277344,-0.015362817626710878,-0.00457511978186409
23,23,23,23,2019-03-11,73.873291015625,74.60444641113281,72.6047592163086,-0.00980042652523061,0.01747174445599531
24,24,24,24,2019-03-12,74.46348571777344,74.64849090576172,73.17737579345703,-0.002478351347006247,0.017575239756430383
25,25,25,25,2019-03-13,73.94377136230469,73.97019958496094,73.60022735595703,-0.0003572820244440722,0.004667703058662598
26,26,26,26,2019-03-14,73.61578369140625,73.54735565185547,73.68830871582031,0.0009303942873852833,-0.000984213448211424
27,27,27,27,2019-03-15,73.80191802978516,73.12451171875,74.14637756347656,0.009263737905568226,-0.0046456690806845335
28,28,28,28,2019-03-18,74.42247772216797,72.83380889892578,73.97019958496094,0.021812244165986705,0.006114329010124653
29,29,29,29,2019-03-19,74.18313598632812,73.873291015625,74.60444641113281,0.004194275988565144,-0.005647256230317921
30,30,30,30,2019-03-20,74.66182708740234,74.46348571777344,74.64849090576172,0.002663605762166954,0.00017865306423225924
31,31,31,31,2019-03-21,74.98983001708984,73.94377136230469,73.97019958496094,0.014146677069793334,0.013784340691926467
32,32,32,32,2019-03-22,74.0944595336914,73.61578369140625,73.54735565185547,0.006502353412302764,0.007438797452157475
33,33,33,33,2019-03-25,74.59092712402344,73.80191802978516,73.12451171875,0.010690902286846438,0.020053677909174006
34,34,34,34,2019-03-26,75.54833221435547,74.42247772216797,72.83380889892578,0.015127882417332428,0.0372700996483204
35,35,35,35,2019-03-27,76.1423110961914,74.18313598632812,73.873291015625,0.02640997962426872,0.03071502635623058
36,36,36,36,2019-03-28,75.89409637451172,74.66182708740234,74.46348571777344,0.01650467628747987,0.019212244000508916
37,37,37,37,2019-03-29,76.55010986328125,74.98983001708984,73.94377136230469,0.020806552646349896,0.03524757329736672
38,38,38,38,2019-04-01,77.90644836425781,74.0944595336914,73.61578369140625,0.051447690617583364,0.0582845750965284
39,39,39,39,2019-04-02,78.23446655273438,74.59092712402344,73.80191802978516,0.048846951890714196,0.06006007216723441
40,40,40,40,2019-04-03,78.50927734375,75.54833221435547,74.42247772216797,0.0391927265977674,0.054913511974685525
41,41,41,41,2019-04-04,78.19013214111328,76.1423110961914,74.18313598632812,0.026894653123082035,0.0540149199883333
42,42,42,42,2019-04-05,78.16354370117188,75.89409637451172,74.66182708740234,0.029902817677164295,0.04690103029048931
43,43,43,43,2019-04-08,78.98799133300781,76.55010986328125,74.98983001708984,0.03184687094611127,0.053316047189422955
44,44,44,44,2019-04-09,78.21673583984375,77.90644836425781,74.0944595336914,0.003982821474997289,0.055635419059611335
45,45,45,45,2019-04-10,78.72205352783203,78.23446655273438,74.59092712402344,0.006232380644776159,0.05538376533301048
46,46,46,46,2019-04-11,78.908203125,78.50927734375,75.54833221435547,0.005081256569249959,0.044473131466509
47,47,47,47,2019-04-12,78.85501098632812,78.19013214111328,76.1423110961914,0.00850336004055996,0.03562670808231361
48,48,48,48,2019-04-15,78.59793853759766,78.16354370117188,75.89409637451172,0.005557512055575753,0.03562651500247638
49,49,49,49,2019-04-16,77.80892181396484,78.98799133300781,76.55010986328125,-0.01492719968117806,0.01644428666310005
50,50,50,50,2019-04-17,76.40825653076172,78.21673583984375,77.90644836425781,-0.023121385591762134,-0.0192306524678314
51,51,51,51,2019-04-18,76.70968627929688,78.72205352783203,78.23446655273438,-0.02556294149292848,-0.019489878829936358
52,52,52,52,2019-04-22,76.3018798828125,78.908203125,78.50927734375,-0.03302981361847479,-0.02811639000665478
53,53,53,53,2019-04-23,77.07313537597656,78.85501098632812,78.19013214111328,-0.02259685957891122,-0.014285648771136805
54,54,54,54,2019-04-24,76.78945922851562,78.59793853759766,78.16354370117188,-0.023009246078597,-0.017579608185492868
55,55,55,55,2019-04-25,75.98274230957031,77.80892181396484,78.98799133300781,-0.023470052814261955,-0.03804691033055374
56,56,56,56,2019-04-26,76.0625228881836,76.40825653076172,78.21673583984375,-0.004524820461502488,-0.027541585934640844
57,57,57,57,2019-04-29,75.7611083984375,76.70968627929688,78.72205352783203,-0.012365816194393475,-0.03761265105143241
58,58,58,58,2019-04-30,76.00931549072266,76.3018798828125,78.908203125,-0.0038343012326718107,-0.03673746859607441
59,59,59,59,2019-05-01,70.97396087646484,77.07313537597656,78.85501098632812,-0.07913489531415652,-0.09994355477586192
60,60,60,60,2019-05-02,69.82148742675781,76.78945922851562,78.59793853759766,-0.09074125370543396,-0.11166261194804228
61,61,61,61,2019-05-03,70.52183532714844,75.98274230957031,77.80892181396484,-0.07187035919515705,-0.09365361088332869
62,62,62,62,2019-05-06,70.3090591430664,76.0625228881836,76.40825653076172,-0.07564124258112137,-0.0798238000004593
63,63,63,63,2019-05-07,69.47576904296875,75.7611083984375,76.70968627929688,-0.08296261087434642,-0.09430252667166084
64,64,64,64,2019-05-08,69.75057220458984,76.00931549072266,76.3018798828125,-0.08234179252537444,-0.08586037052146578
65,65,65,65,2019-05-09,69.6441879272461,70.97396087646484,77.07313537597656,-0.01873606788739479,-0.09638828643068342
