,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WAT,WAT_6m,WAT_12m,WAT_6m_ret,WAT_12m_ret
0,0,0,0,2019-02-05,232.6499938964844,,,,
1,1,1,1,2019-02-06,232.6100006103516,,,,
2,2,2,2,2019-02-07,230.0,,,,
3,3,3,3,2019-02-08,231.0,,,,
4,4,4,4,2019-02-11,232.3500061035156,,,,
5,5,5,5,2019-02-12,234.13999938964844,,,,
6,6,6,6,2019-02-13,234.22999572753903,232.6499938964844,,0.006791325478210153,
7,7,7,7,2019-02-14,231.5,232.6100006103516,,-0.004771938469709136,
8,8,8,8,2019-02-15,234.69000244140625,230.0,,0.020391314962635798,
9,9,9,9,2019-02-19,234.44000244140625,231.0,,0.014891785460633189,
10,10,10,10,2019-02-20,234.0,232.3500061035156,,0.007101329258193845,
11,11,11,11,2019-02-21,234.5800018310547,234.13999938964844,,0.0018792279941626244,
12,12,12,12,2019-02-22,235.4100036621093,234.22999572753903,232.6499938964844,0.005037817342330664,0.011863356277812542
13,13,13,13,2019-02-25,239.0800018310547,231.5,232.6100006103516,0.03274298847107859,0.027814802475071065
14,14,14,14,2019-02-26,238.5200042724609,234.69000244140625,230.0,0.016319407691901544,0.03704349683678654
15,15,15,15,2019-02-27,241.63999938964844,234.44000244140625,231.0,0.030711469345090503,0.046060603418391466
16,16,16,16,2019-02-28,242.22000122070312,234.0,232.3500061035156,0.035128210344885114,0.04247899659098908
17,17,17,17,2019-03-01,244.8000030517578,234.5800018310547,234.13999938964844,0.04356723139623653,0.04552833215126695
18,18,18,18,2019-03-04,240.8699951171875,235.4100036621093,234.22999572753903,0.02319354050440059,0.028348202667314304
19,19,19,19,2019-03-05,241.1600036621093,239.0800018310547,231.5,0.008700024322922717,0.04172787759010488
20,20,20,20,2019-03-06,239.5800018310547,238.5200042724609,234.69000244140625,0.004444061460702198,0.020835993603388836
21,21,21,21,2019-03-07,238.3699951171875,241.63999938964844,234.44000244140625,-0.013532545442478727,0.01676331954809407
22,22,22,22,2019-03-08,238.6000061035156,242.22000122070312,234.0,-0.01494507100546627,0.019658145741519695
23,23,23,23,2019-03-11,239.6999969482422,244.8000030517578,234.5800018310547,-0.020833358006279612,0.021826221660936618
24,24,24,24,2019-03-12,241.009994506836,240.8699951171875,235.4100036621093,0.000581223865514513,0.023788245009181974
25,25,25,25,2019-03-13,241.33999633789065,241.1600036621093,239.0800018310547,0.0007463620544372329,0.009452879745387444
26,26,26,26,2019-03-14,242.4900054931641,239.5800018310547,238.5200042724609,0.012146271140616616,0.016644311376786014
27,27,27,27,2019-03-15,244.97000122070312,238.3699951171875,241.63999938964844,0.027688074165000964,0.013780838600669698
28,28,28,28,2019-03-18,245.2700042724609,238.6000061035156,242.22000122070312,0.027954727570507876,0.01259187117656202
29,29,29,29,2019-03-19,246.5399932861328,239.6999969482422,244.8000030517578,0.028535654672401156,0.007107803156387593
30,30,30,30,2019-03-20,245.259994506836,241.009994506836,240.8699951171875,0.01763412346735449,0.01822559670627588
31,31,31,31,2019-03-21,250.27999877929688,241.33999633789065,241.1600036621093,0.03704318628102432,0.0378171959640774
32,32,32,32,2019-03-22,245.3699951171875,242.4900054931641,239.5800018310547,0.011876735365510038,0.024167264554141532
33,33,33,33,2019-03-25,246.2700042724609,244.97000122070312,238.3699951171875,0.005306784689063093,0.03314179350211255
34,34,34,34,2019-03-26,248.7700042724609,245.2700042724609,238.6000061035156,0.014269987927720607,0.042623629123182516
35,35,35,35,2019-03-27,246.72999572753903,246.5399932861328,239.6999969482422,0.0007706759413499409,0.029328322356277692
36,36,36,36,2019-03-28,248.3099975585937,245.259994506836,241.009994506836,0.01243579515644444,0.0302892129710024
37,37,37,37,2019-03-29,251.7100067138672,250.27999877929688,241.33999633789065,0.005713632497782228,0.0429684699317634
38,38,38,38,2019-04-01,252.97999572753903,245.3699951171875,242.4900054931641,0.03101438954146385,0.04325947460408086
39,39,39,39,2019-04-02,250.6300048828125,246.2700042724609,244.97000122070312,0.017704148027414268,0.023104884818162086
40,40,40,40,2019-04-03,250.5399932861328,248.7700042724609,245.2700042724609,0.007114961543889908,0.021486479886948073
41,41,41,41,2019-04-04,248.3600006103516,246.72999572753903,246.5399932861328,0.006606431771727372,0.007382199131102052
42,42,42,42,2019-04-05,252.3300018310547,248.3099975585937,245.259994506836,0.016189457983915467,0.028826581923541594
43,43,43,43,2019-04-08,253.1499938964844,251.7100067138672,250.27999877929688,0.0057208181804790925,0.01146713733093141
44,44,44,44,2019-04-09,249.4100036621093,252.97999572753903,245.3699951171875,-0.014111756366992134,0.016464965665391462
45,45,45,45,2019-04-10,250.67999267578125,250.6300048828125,246.2700042724609,0.00019944855761422353,0.017907127651816346
46,46,46,46,2019-04-11,250.75,250.5399932861328,248.7700042724609,0.0008382163307050217,0.007959141751553434
47,47,47,47,2019-04-12,250.8800048828125,248.3600006103516,246.72999572753903,0.010146578620824354,0.016820043071926527
48,48,48,48,2019-04-15,248.94000244140625,252.3300018310547,248.3099975585937,-0.013434785261556725,0.0025371708308437046
49,49,49,49,2019-04-16,240.7100067138672,253.1499938964844,251.7100067138672,-0.04914077615069612,-0.043701083415822684
50,50,50,50,2019-04-17,238.08999633789065,249.4100036621093,252.97999572753903,-0.045387142287823146,-0.058858406360655535
51,51,51,51,2019-04-18,239.5800018310547,250.67999267578125,250.6300048828125,-0.044279524369871925,-0.04408890729952497
52,52,52,52,2019-04-22,241.0399932861328,250.75,250.5399932861328,-0.038723855289599984,-0.037918097926786465
53,53,53,53,2019-04-23,211.3600006103516,250.8800048828125,248.3600006103516,-0.1575255241681015,-0.14897729066303544
54,54,54,54,2019-04-24,207.5399932861328,248.94000244140625,252.3300018310547,-0.1663051689132119,-0.17750567994253263
55,55,55,55,2019-04-25,213.3800048828125,240.7100067138672,253.1499938964844,-0.11353911789609128,-0.15710049366990808
56,56,56,56,2019-04-26,214.22999572753903,238.08999633789065,249.4100036621093,-0.10021420881745147,-0.14105291455041524
57,57,57,57,2019-04-29,212.1199951171875,239.5800018310547,250.67999267578125,-0.11461727399614619,-0.15382159998889744
58,58,58,58,2019-04-30,213.5399932861328,241.0399932861328,250.75,-0.11408895107027073,-0.14839484232848332
59,59,59,59,2019-05-01,211.5500030517578,211.3600006103516,250.8800048828125,0.000898951745162524,-0.1567681802677976
60,60,60,60,2019-05-02,216.0800018310547,207.5399932861328,248.94000244140625,0.04114873673117958,-0.1319996797946763
61,61,61,61,2019-05-03,218.0800018310547,213.3800048828125,240.7100067138672,0.02202641691204099,-0.09401356093065494
62,62,62,62,2019-05-06,217.67999267578125,214.22999572753903,238.08999633789065,0.01610417316457391,-0.08572390262522456
63,63,63,63,2019-05-07,213.2100067138672,212.1199951171875,239.5800018310547,0.005138655580665619,-0.11006759711014158
64,64,64,64,2019-05-08,213.57000732421875,213.5399932861328,241.0399932861328,0.00014055464563833553,-0.11396443215672136
65,65,65,65,2019-05-09,216.77999877929688,211.5500030517578,211.3600006103516,0.0247222673225842,0.025643443193100746
66,66,66,66,2019-05-10,216.9600067138672,216.0800018310547,207.5399932861328,0.00407258827913437,0.04538890687322672
67,67,67,67,2019-05-13,209.22999572753903,218.0800018310547,213.3800048828125,-0.04058146565117737,-0.019448913020470804
68,68,68,68,2019-05-14,211.1600036621093,217.67999267578125,214.22999572753903,-0.029952173984969854,-0.014330355816905338
69,69,69,69,2019-05-15,207.8000030517578,213.2100067138672,212.1199951171875,-0.02537406074645332,-0.02036579372464664
70,70,70,70,2019-05-16,210.1199951171875,213.57000732421875,213.5399932861328,-0.016154010810112585,-0.016015726685739362
71,71,71,71,2019-05-17,208.1999969482422,216.77999877929688,211.5500030517578,-0.03957930565259371,-0.015835528504795193
72,72,72,72,2019-05-20,208.25,216.9600067138672,216.0800018310547,-0.040145678670420515,-0.03623658721169709
73,73,73,73,2019-05-21,206.1499938964844,209.22999572753903,218.0800018310547,-0.014720651407293617,-0.05470473144902299
74,74,74,74,2019-05-22,207.2400054931641,211.1600036621093,217.67999267578125,-0.018564112999438276,-0.04796025144197236
75,75,75,75,2019-05-23,205.0500030517578,207.8000030517578,213.2100067138672,-0.013233878535194421,-0.038272142043784485
76,76,76,76,2019-05-24,206.25,210.1199951171875,213.57000732421875,-0.01841802402017545,-0.034274509871165204
77,77,77,77,2019-05-28,204.72000122070312,208.1999969482422,216.77999877929688,-0.016714677130394873,-0.055632427467960266
78,78,78,78,2019-05-29,201.259994506836,208.25,216.9600067138672,-0.03356545254820653,-0.0723636233461995
79,79,79,79,2019-05-30,201.3099975585937,206.1499938964844,209.22999572753903,-0.02347803289444217,-0.03785307236376767
80,80,80,80,2019-05-31,200.7100067138672,207.2400054931641,211.1600036621093,-0.03150935440171221,-0.04948852418549776
