,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,KMI,KMI_6m,KMI_12m,KMI_6m_ret,KMI_12m_ret
0,0,0,0,2019-02-05,13.490257263183594,,,,
1,1,1,1,2019-02-06,13.190796852111816,,,,
2,2,2,2,2019-02-07,13.117757797241213,,,,
3,3,3,3,2019-02-08,13.161581039428713,,,,
4,4,4,4,2019-02-11,13.344179153442385,,,,
5,5,5,5,2019-02-12,13.497560501098633,,,,
6,6,6,6,2019-02-13,13.68746280670166,13.490257263183594,,0.014618367883632688,
7,7,7,7,2019-02-14,13.789715766906738,13.190796852111816,,0.0454043013101999,
8,8,8,8,2019-02-15,13.73128604888916,13.117757797241213,,0.0467708171725032,
9,9,9,9,2019-02-19,13.986921310424805,13.161581039428713,,0.06270829230345387,
10,10,10,10,2019-02-20,14.001531600952148,13.344179153442385,,0.049261362572473155,
11,11,11,11,2019-02-21,14.016138076782228,13.497560501098633,,0.038420096404930826,
12,12,12,12,2019-02-22,14.111087799072266,13.68746280670166,13.490257263183594,0.030949855232716317,0.046020659486086135
13,13,13,13,2019-02-25,14.096476554870604,13.789715766906738,13.190796852111816,0.022245620805328326,0.06865996898540594
14,14,14,14,2019-02-26,14.038045883178713,13.73128604888916,13.117757797241213,0.022340211484733308,0.07015589860418414
15,15,15,15,2019-02-27,14.081873893737791,13.986921310424805,13.161581039428713,0.006788669300814343,0.06992266746313525
16,16,16,16,2019-02-28,13.994227409362791,14.001531600952148,13.344179153442385,-0.0005216708998364572,0.0487139934532963
17,17,17,17,2019-03-01,14.417848587036133,14.016138076782228,13.497560501098633,0.028660570269305463,0.06818180854700318
18,18,18,18,2019-03-04,14.498191833496094,14.111087799072266,13.68746280670166,0.027432614688236656,0.05923150537420896
19,19,19,19,2019-03-05,14.58584213256836,14.096476554870604,13.789715766906738,0.0347154535952936,0.057733341217387935
20,20,20,20,2019-03-06,14.60775089263916,14.038045883178713,13.73128604888916,0.04058292829368115,0.06382977097916509
21,21,21,21,2019-03-07,14.490886688232422,14.081873893737791,13.986921310424805,0.029045338538113086,0.03603118703699293
22,22,22,22,2019-03-08,14.41054344177246,13.994227409362791,14.001531600952148,0.029749125852502,0.029211935699412717
23,23,23,23,2019-03-11,14.534708976745604,14.417848587036133,14.016138076782228,0.008105258492903555,0.036998130092795734
24,24,24,24,2019-03-12,14.505497932434082,14.498191833496094,14.111087799072266,0.0005039317331356763,0.02795037058643679
