,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,WRK,WRK_6m,WRK_12m,WRK_6m_ret,WRK_12m_ret
0,0,0,0,2019-02-05,32.73625564575195,,,,
1,1,1,1,2019-02-06,33.06138610839844,,,,
2,2,2,2,2019-02-07,32.42823028564453,,,,
3,3,3,3,2019-02-08,32.35122299194336,,,,
4,4,4,4,2019-02-11,32.2314338684082,,,,
5,5,5,5,2019-02-12,33.121280670166016,,,,
6,6,6,6,2019-02-13,33.48920440673828,32.73625564575195,,0.023000454576546314,
7,7,7,7,2019-02-14,33.22517395019531,33.06138610839844,,0.004954052478618465,
8,8,8,8,2019-02-15,33.805179595947266,32.42823028564453,,0.04246143863460494,
9,9,9,9,2019-02-19,33.986968994140625,32.35122299194336,,0.050562107114300536,
10,10,10,10,2019-02-20,34.904598236083984,32.2314338684082,,0.08293656368467972,
11,11,11,11,2019-02-21,33.986968994140625,33.121280670166016,,0.02613692183570593,
12,12,12,12,2019-02-22,33.99562072753906,33.48920440673828,32.73625564575195,0.015121778190074986,0.03847004053899883
13,13,13,13,2019-02-25,34.3419075012207,33.22517395019531,33.06138610839844,0.03361106709928374,0.038731630568174635
14,14,14,14,2019-02-26,33.96100616455078,33.805179595947266,32.42823028564453,0.004609547130528968,0.04726671376775027
15,15,15,15,2019-02-27,33.415626525878906,33.986968994140625,32.35122299194336,-0.0168106331682657,0.032901492911121766
16,16,16,16,2019-02-28,32.35947036743164,34.904598236083984,32.2314338684082,-0.0729166928505488,0.003972410893855249
17,17,17,17,2019-03-01,32.50665283203125,33.986968994140625,33.121280670166016,-0.043555403906849754,-0.018556886258579763
18,18,18,18,2019-03-04,33.16457748413086,33.99562072753906,33.48920440673828,-0.024445596980525064,-0.009693479685713435
19,19,19,19,2019-03-05,33.355018615722656,34.3419075012207,33.22517395019531,-0.028737159852374794,0.003908020638867971
20,20,20,20,2019-03-06,32.80097961425781,33.96100616455078,33.805179595947266,-0.03415760253604705,-0.029705506484273836
21,21,21,21,2019-03-07,32.38545608520508,33.415626525878906,33.986968994140625,-0.03082900270853839,-0.04712138082132744
22,22,22,22,2019-03-08,32.636497497558594,32.35947036743164,34.904598236083984,0.00856092905666861,-0.06497999842842062
23,23,23,23,2019-03-11,33.58010482788086,32.50665283203125,33.986968994140625,0.033022532384258785,-0.011971181258614405
24,24,24,24,2019-03-12,34.23802185058594,33.16457748413086,33.99562072753906,0.03236719560105117,0.007130363201472978
