,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PNC,PNC_6m,PNC_12m,PNC_6m_ret,PNC_12m_ret
0,0,0,0,2019-02-05,102.70049285888672,,,,
1,1,1,1,2019-02-06,102.3582000732422,,,,
2,2,2,2,2019-02-07,102.55021667480467,,,,
3,3,3,3,2019-02-08,101.21451568603516,,,,
4,4,4,4,2019-02-11,101.48999786376952,,,,
5,5,5,5,2019-02-12,102.80901336669922,,,,
6,6,6,6,2019-02-13,101.41485595703124,102.70049285888672,,-0.012518312873356696,
7,7,7,7,2019-02-14,100.68854522705078,102.3582000732422,,-0.016311881656737803,
8,8,8,8,2019-02-15,103.64382934570312,102.55021667480467,,0.010664167335368901,
9,9,9,9,2019-02-19,104.31171417236328,101.21451568603516,,0.030600338946792593,
10,10,10,10,2019-02-20,105.62237548828124,101.48999786376952,,0.04071709243760768,
11,11,11,11,2019-02-21,104.27831268310548,102.80901336669922,,0.014291541843374889,
12,12,12,12,2019-02-22,103.64382934570312,101.41485595703124,102.70049285888672,0.021978766006592654,0.009185316063795135
13,13,13,13,2019-02-25,103.25981903076172,100.68854522705078,102.3582000732422,0.025536904897302426,0.00880846827000048
14,14,14,14,2019-02-26,102.8591079711914,103.64382934570312,102.55021667480467,-0.007571327492100766,0.003012097939941505
15,15,15,15,2019-02-27,104.95452117919922,104.31171417236328,101.21451568603516,0.006162366441162748,0.03695127588976921
16,16,16,16,2019-02-28,105.20496368408205,105.62237548828124,101.48999786376952,-0.0039519259273381735,0.03660425557697966
17,17,17,17,2019-03-01,105.7058563232422,104.27831268310548,102.80901336669922,0.01368974625121644,0.028176935675965797
18,18,18,18,2019-03-04,105.46375274658205,103.64382934570312,101.41485595703124,0.01755939945839491,0.03992409939689989
19,19,19,19,2019-03-05,106.70764923095705,103.25981903076172,100.68854522705078,0.03338985321258603,0.05977943161591326
20,20,20,20,2019-03-06,106.39041900634766,102.8591079711914,103.64382934570312,0.034331534706146805,0.0265002719214793
21,21,21,21,2019-03-07,105.1799087524414,104.95452117919922,104.31171417236328,0.0021474784574297967,0.008323078447771692
22,22,22,22,2019-03-08,105.77264404296876,105.20496368408205,105.62237548828124,0.005395946531490559,0.0014226962231520535
23,23,23,23,2019-03-11,107.32542419433594,105.7058563232422,104.27831268310548,0.015321458312973713,0.029220951440693366
24,24,24,24,2019-03-12,106.6158218383789,105.46375274658205,103.64382934570312,0.010923839345686526,0.028675054862771665
25,25,25,25,2019-03-13,107.6343002319336,106.70764923095705,103.25981903076172,0.008684016634748604,0.042363827888064476
26,26,26,26,2019-03-14,108.1936492919922,106.39041900634766,102.8591079711914,0.016949179282177207,0.051862605325090794
27,27,27,27,2019-03-15,108.41069793701172,105.1799087524414,104.95452117919922,0.0307167901445371,0.03293023224708369
28,28,28,28,2019-03-18,110.09709167480467,105.77264404296876,105.20496368408205,0.04088436732355061,0.04650092371509307
29,29,29,29,2019-03-19,108.09346771240234,107.32542419433594,105.7058563232422,0.0071562122752544255,0.022587314196282238
30,30,30,30,2019-03-20,104.73746490478516,106.6158218383789,105.46375274658205,-0.01761799422642152,-0.0068866110192578045
31,31,31,31,2019-03-21,102.60030364990234,107.6343002319336,106.70764923095705,-0.04676944590324683,-0.03849157591472008
32,32,32,32,2019-03-22,99.49475860595705,108.1936492919922,106.39041900634766,-0.08040112098038821,-0.0648146747121956
33,33,33,33,2019-03-25,99.49475860595705,108.41069793701172,105.1799087524414,-0.08224224639006539,-0.05405167406890721
34,34,34,34,2019-03-26,101.3981475830078,110.09709167480467,105.77264404296876,-0.07901157023739613,-0.04135754097424171
35,35,35,35,2019-03-27,101.23954010009766,108.09346771240234,107.32542419433594,-0.06340741727835497,-0.05670496194096997
36,36,36,36,2019-03-28,102.56690979003906,104.73746490478516,106.6158218383789,-0.020723769825050753,-0.03797665279434481
37,37,37,37,2019-03-29,102.39994049072266,102.60030364990234,107.6343002319336,-0.0019528515223832255,-0.048630963641996816
38,38,38,38,2019-04-01,105.94795989990234,99.49475860595705,108.1936492919922,0.0648597110477227,-0.02075620340736639
39,39,39,39,2019-04-02,105.82274627685548,99.49475860595705,108.41069793701172,0.06360121638125737,-0.023871736917143282
40,40,40,40,2019-04-03,105.8644790649414,101.3981475830078,110.09709167480467,0.04404746623479805,-0.03844436347478819
41,41,41,41,2019-04-04,107.20854949951172,101.23954010009766,108.09346771240234,0.058959270197319835,-0.008186602128863796
42,42,42,42,2019-04-05,106.78276824951172,102.56690979003906,104.73746490478516,0.04110349495858645,0.019527905765008846
43,43,43,43,2019-04-08,107.05828094482422,102.39994049072266,102.60030364990234,0.045491632434333296,0.043449942508295036
44,44,44,44,2019-04-09,105.85613250732422,105.94795989990234,99.49475860595705,-0.0008667216684953294,0.06393677406224985
45,45,45,45,2019-04-10,106.26519775390624,105.82274627685548,99.49475860595705,0.004181062130944824,0.06804819914949589
46,46,46,46,2019-04-11,107.4590072631836,105.8644790649414,101.3981475830078,0.015061975577890019,0.0597728836733844
47,47,47,47,2019-04-12,110.7816162109375,107.20854949951172,101.23954010009766,0.03332818817254912,0.09425246402152165
48,48,48,48,2019-04-15,110.20144653320312,106.78276824951172,102.56690979003906,0.03201526182298653,0.07443469593451191
49,49,49,49,2019-04-16,111.95877838134766,107.05828094482422,102.39994049072266,0.04577410914200142,0.09334808052443178
50,50,50,50,2019-04-17,112.56420135498048,105.85613250732422,105.94795989990234,0.06336967626502066,0.06244803072498084
51,51,51,51,2019-04-18,111.99243927001952,106.26519775390624,105.82274627685548,0.05389574044153833,0.05830214401186273
52,52,52,52,2019-04-22,112.5810317993164,107.4590072631836,105.8644790649414,0.047664915827746235,0.06344481920375578
53,53,53,53,2019-04-23,112.84169006347656,110.7816162109375,107.20854949951172,0.018595809692977472,0.05254376251019521
54,54,54,54,2019-04-24,112.81646728515624,110.20144653320312,106.78276824951172,0.02372945940564608,0.05650442608442208
55,55,55,55,2019-04-25,112.87529754638672,111.95877838134766,107.05828094482422,0.008186219770255576,0.05433504582948112
56,56,56,56,2019-04-26,114.4308853149414,112.56420135498048,105.85613250732422,0.01658328258443542,0.08100383609824302
57,57,57,57,2019-04-29,115.20448303222656,111.99243927001952,106.26519775390624,0.028680898310131875,0.08412241700262335
58,58,58,58,2019-04-30,115.1371841430664,112.5810317993164,107.4590072631836,0.022705000148750765,0.07145214789745613
59,59,59,59,2019-05-01,113.6909408569336,112.84169006347656,110.7816162109375,0.0075260375219416975,0.02626179997641942
60,60,60,60,2019-05-02,114.30477142333984,112.81646728515624,110.20144653320312,0.013192259729439604,0.03723476432680406
61,61,61,61,2019-05-03,115.28016662597656,112.87529754638672,111.95877838134766,0.02130553922661016,0.02966617082329881
62,62,62,62,2019-05-06,114.58226013183594,114.4308853149414,112.56420135498048,0.0013228493031223199,0.017928069071367903
63,63,63,63,2019-05-07,111.7906265258789,115.20448303222656,111.99243927001952,-0.02963301788692274,-0.001802021149428068
64,64,64,64,2019-05-08,110.98342895507812,115.1371841430664,112.5810317993164,-0.03607657438301548,-0.01419069286099739
