,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,HLT,HLT_6m,HLT_12m,HLT_6m_ret,HLT_12m_ret
0,0,0,0,2019-02-05,73.47621154785156,,,,
1,1,1,1,2019-02-06,74.4116439819336,,,,
2,2,2,2,2019-02-07,73.53528594970703,,,,
3,3,3,3,2019-02-08,72.7770767211914,,,,
4,4,4,4,2019-02-11,73.25958251953125,,,,
5,5,5,5,2019-02-12,73.1808090209961,,,,
6,6,6,6,2019-02-13,78.15340423583984,73.47621154785156,,0.06365587704453501,
7,7,7,7,2019-02-14,78.9312973022461,74.4116439819336,,0.060738522608233536,
8,8,8,8,2019-02-15,80.49691009521484,73.53528594970703,,0.09467052525326514,
9,9,9,9,2019-02-19,80.14244079589844,72.7770767211914,,0.10120445072180773,
10,10,10,10,2019-02-20,82.06254577636719,73.25958251953125,,0.12016125336899153,
11,11,11,11,2019-02-21,81.97391510009766,73.1808090209961,,0.12015590148202326,
12,12,12,12,2019-02-22,83.72663879394531,78.15340423583984,73.47621154785156,0.07131147532981896,0.13950674687981346
13,13,13,13,2019-02-25,82.26932525634766,78.9312973022461,74.4116439819336,0.04229029634872816,0.10559746907784784
14,14,14,14,2019-02-26,82.21025085449219,80.49691009521484,73.53528594970703,0.02128455312447075,0.11797009820181059
15,15,15,15,2019-02-27,82.21025085449219,80.14244079589844,72.7770767211914,0.025801685574562416,0.12961738171264048
16,16,16,16,2019-02-28,81.9734878540039,82.06254577636719,73.25958251953125,-0.0010852444500805136,0.11894560458557768
17,17,17,17,2019-03-01,82.64427185058594,81.97391510009766,73.1808090209961,0.008177683714017059,0.12931618215473284
18,18,18,18,2019-03-04,82.24970245361328,83.72663879394531,78.15340423583984,-0.017639981272469685,0.05241356096801919
19,19,19,19,2019-03-05,82.87116241455078,82.26932525634766,78.9312973022461,0.007315450276610624,0.04991511918546121
20,20,20,20,2019-03-06,82.82183837890625,82.21025085449219,80.49691009521484,0.007439309794791127,0.02888220530379848
21,21,21,21,2019-03-07,81.79592895507812,82.21025085449219,80.14244079589844,-0.0050397839090333685,0.020631866745744354
22,22,22,22,2019-03-08,81.33229064941406,81.9734878540039,82.06254577636719,-0.007822007107124995,-0.008898762767403978
23,23,23,23,2019-03-11,81.67755889892578,82.64427185058594,81.97391510009766,-0.011697277137463269,-0.0036152500561915657
