,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,BMY,BMY_6m,BMY_12m,BMY_6m_ret,BMY_12m_ret
0,0,0,0,2019-02-05,42.53550720214844,,,,
1,1,1,1,2019-02-06,43.37519836425781,,,,
2,2,2,2,2019-02-07,42.45070266723633,,,,
3,3,3,3,2019-02-08,42.59488677978516,,,,
4,4,4,4,2019-02-11,42.493106842041016,,,,
5,5,5,5,2019-02-12,42.16232299804688,,,,
6,6,6,6,2019-02-13,43.239479064941406,42.53550720214844,,0.01655021672710677,
7,7,7,7,2019-02-14,43.11227035522461,43.37519836425781,,-0.006061713120598888,
8,8,8,8,2019-02-15,43.8247184753418,42.45070266723633,,0.03236732778903906,
9,9,9,9,2019-02-19,43.56178665161133,42.59488677978516,,0.022699904728589182,
10,10,10,10,2019-02-20,43.51090240478516,42.493106842041016,,0.023952015712279673,
11,11,11,11,2019-02-21,42.51854705810547,42.16232299804688,,0.008448871758681031,
12,12,12,12,2019-02-22,43.239479064941406,43.239479064941406,42.53550720214844,0.0,0.01655021672710677
13,13,13,13,2019-02-25,42.9595947265625,43.11227035522461,43.37519836425781,-0.003541349768966806,-0.009581596243206536
14,14,14,14,2019-02-26,42.54399490356445,43.8247184753418,42.45070266723633,-0.029223771796684783,0.002197660591378714
15,15,15,15,2019-02-27,43.22252655029297,43.56178665161133,42.59488677978516,-0.007788020818145447,0.014735096579847617
16,16,16,16,2019-02-28,43.81623458862305,43.51090240478516,42.493106842041016,0.00701737189905538,0.031137467813320274
17,17,17,17,2019-03-01,45.13938522338867,42.51854705810547,42.16232299804688,0.061639880631424004,0.07060953983678031
18,18,18,18,2019-03-04,44.99519729614258,43.239479064941406,43.239479064941406,0.04060451858275771,0.04060451858275771
19,19,19,19,2019-03-05,45.63131713867188,42.9595947265625,43.11227035522461,0.062191518079136365,0.058429926391988296
20,20,20,20,2019-03-06,44.85948181152344,42.54399490356445,43.8247184753418,0.05442570480763642,0.02361140863377953
21,21,21,21,2019-03-07,43.68901062011719,43.22252655029297,43.56178665161133,0.010792614570585668,0.0029205406454821947
22,22,22,22,2019-03-08,43.58723068237305,43.81623458862305,43.51090240478516,-0.005226462483598704,0.001754233384492876
23,23,23,23,2019-03-11,43.17164611816406,45.13938522338867,42.51854705810547,-0.043592510077098634,0.015360333436748697
24,24,24,24,2019-03-12,42.730587005615234,44.99519729614258,43.239479064941406,-0.05033004468504665,-0.011769153336974036
25,25,25,25,2019-03-13,43.23100662231445,45.63131713867188,42.9595947265625,-0.052602262368692365,0.006317841159337867
26,26,26,26,2019-03-14,42.31499481201172,44.85948181152344,42.54399490356445,-0.05672127489573664,-0.00538266545188848
27,27,27,27,2019-03-15,42.374359130859375,43.68901062011719,43.22252655029297,-0.030091125218854597,-0.01962327256475116
28,28,28,28,2019-03-18,42.28955459594727,43.58723068237305,43.81623458862305,-0.029771932424019876,-0.03484279301974025
29,29,29,29,2019-03-19,42.06901550292969,43.17164611816406,45.13938522338867,-0.02554062016112124,-0.06801975049647091
30,30,30,30,2019-03-20,41.72127914428711,42.730587005615234,44.99519729614258,-0.0236202667001858,-0.07276150230673928
31,31,31,31,2019-03-21,41.49226379394531,43.23100662231445,45.63131713867188,-0.040219808980151206,-0.09070641840445104
32,32,32,32,2019-03-22,40.84766387939453,42.31499481201172,44.85948181152344,-0.03467638219349767,-0.08943076848244724
33,33,33,33,2019-03-25,40.27939224243164,42.374359130859375,43.68901062011719,-0.04943949434038908,-0.07804292954429004
34,34,34,34,2019-03-26,41.00033187866211,42.28955459594727,43.58723068237305,-0.030485606424635048,-0.059349923434275365
35,35,35,35,2019-03-27,40.69499206542969,42.06901550292969,43.17164611816406,-0.03266117405110924,-0.05736760757177495
36,36,36,36,2019-03-28,40.57624435424805,41.72127914428711,42.730587005615234,-0.027444862993752484,-0.050416874710475734
37,37,37,37,2019-03-29,40.46598434448242,41.49226379394531,43.23100662231445,-0.024734236111085606,-0.06395923883957899
38,38,38,38,2019-04-01,39.94012069702149,40.84766387939453,42.31499481201172,-0.022217749956340738,-0.05612370096087271
39,39,39,39,2019-04-02,39.60934448242188,40.27939224243164,42.374359130859375,-0.016635001739274236,-0.06525207000532207
40,40,40,40,2019-04-03,39.76201248168945,41.00033187866211,42.28955459594727,-0.030202667642725056,-0.059767527428629896
41,41,41,41,2019-04-04,39.93313980102539,40.69499206542969,42.06901550292969,-0.01872103238598466,-0.05077075553991883
42,42,42,42,2019-04-05,39.90746688842773,40.57624435424805,41.72127914428711,-0.0164819952280848,-0.04347451212093878
43,43,43,43,2019-04-08,40.03581619262695,40.46598434448242,41.49226379394531,-0.010630364213891186,-0.035101666386563535
44,44,44,44,2019-04-09,39.34274673461914,39.94012069702149,40.84766387939453,-0.014956739037769062,-0.036842183906006465
45,45,45,45,2019-04-10,39.26573944091797,39.60934448242188,40.27939224243164,-0.008674847968170751,-0.025165543596406548
46,46,46,46,2019-04-11,39.436859130859375,39.76201248168945,41.00033187866211,-0.008177487268276828,-0.03813317298088548
47,47,47,47,2019-04-12,38.991920471191406,39.93313980102539,40.69499206542969,-0.02356988041821384,-0.04184966030955528
48,48,48,48,2019-04-15,39.78768539428711,39.90746688842773,40.57624435424805,-0.003001480762372166,-0.01943400559885433
49,49,49,49,2019-04-16,39.3769645690918,40.03581619262695,40.46598434448242,-0.016456555309505405,-0.026911980346750464
50,50,50,50,2019-04-17,39.188720703125,39.34274673461914,39.94012069702149,-0.003914979107409566,-0.018813162824330876
51,51,51,51,2019-04-18,38.94914627075195,39.26573944091797,39.60934448242188,-0.008062834793736262,-0.016667738895878914
52,52,52,52,2019-04-22,38.70956039428711,39.436859130859375,39.76201248168945,-0.01844210600440932,-0.026468783185634837
53,53,53,53,2019-04-23,38.77801132202149,38.991920471191406,39.93313980102539,-0.005485986496303941,-0.028926562868824002
54,54,54,54,2019-04-24,38.17905426025391,39.78768539428711,39.90746688842773,-0.04043037734143162,-0.043310507103997975
55,55,55,55,2019-04-25,39.05182647705078,39.3769645690918,40.03581619262695,-0.008257063377003604,-0.024577735866351258
56,56,56,56,2019-04-26,39.26573944091797,39.188720703125,39.34274673461914,0.001965329217466172,-0.001957344112769044
57,57,57,57,2019-04-29,39.6336555480957,38.94914627075195,39.26573944091797,0.017574435973138902,0.009369901405558156
58,58,58,58,2019-04-30,39.727783203125,38.70956039428711,39.436859130859375,0.02630416874969632,0.007376958476847273
59,59,59,59,2019-05-01,39.85613250732422,38.77801132202149,38.991920471191406,0.027802384613015985,0.022163874610159784
60,60,60,60,2019-05-02,40.112831115722656,38.17905426025391,39.78768539428711,0.05065020317912605,0.008172019010742382
61,61,61,61,2019-05-03,41.601661682128906,39.05182647705078,39.3769645690918,0.06529362222216584,0.05649742526835966
62,62,62,62,2019-05-06,41.15670394897461,39.26573944091797,39.188720703125,0.04815812805211328,0.05021810384569858
63,63,63,63,2019-05-07,40.40374755859375,39.6336555480957,38.94914627075195,0.01943025441000601,0.03734616614521524
64,64,64,64,2019-05-08,40.600547790527344,39.727783203125,38.70956039428711,0.021968620371792813,0.04885065541894695
65,65,65,65,2019-05-09,40.41231155395508,39.85613250732422,38.77801132202149,0.013954666738641874,0.042145024363472006
66,66,66,66,2019-05-10,40.224063873291016,40.112831115722656,38.17905426025391,0.002772996930769045,0.053563652967853814
67,67,67,67,2019-05-13,39.27429962158203,41.601661682128906,39.05182647705078,-0.05594396873687035,0.005696869124981685
68,68,68,68,2019-05-14,39.282840728759766,41.15670394897461,39.26573944091797,-0.045529963296818576,0.0004355269526383765
69,69,69,69,2019-05-15,39.8989143371582,40.40374755859375,39.6336555480957,-0.01249471279126857,0.006692766170423248
70,70,70,70,2019-05-16,40.31818389892578,40.600547790527344,39.727783203125,-0.006954681820018238,0.014861153787063985
71,71,71,71,2019-05-17,40.08715057373047,40.41231155395508,39.85613250732422,-0.008046087138333657,0.005796299135742755
72,72,72,72,2019-05-20,39.62510681152344,40.224063873291016,40.112831115722656,-0.014890515877618471,-0.012158810301675538
73,73,73,73,2019-05-21,40.583438873291016,39.27429962158203,41.601661682128906,0.0333332297284199,-0.024475532170276204
74,74,74,74,2019-05-22,40.84867858886719,39.282840728759766,41.15670394897461,0.03986060659205437,-0.007484208659889413
75,75,75,75,2019-05-23,40.472198486328125,39.8989143371582,40.40374755859375,0.014368414747466307,0.001694172740662303
76,76,76,76,2019-05-24,40.05292892456055,40.31818389892578,40.600547790527344,-0.006579040738298292,-0.013487967423300717
77,77,77,77,2019-05-28,39.24006652832031,40.08715057373047,40.41231155395508,-0.021131061531853068,-0.02900712630777591
78,78,78,78,2019-05-29,38.82935333251953,39.62510681152344,40.224063873291016,-0.020082052593293986,-0.03467353634791681
79,79,79,79,2019-05-30,39.25717544555664,40.583438873291016,39.27429962158203,-0.032679917339563436,-0.00043601480332911
80,80,80,80,2019-05-31,38.82080078125,40.84867858886719,39.282840728759766,-0.049643657461415636,-0.011761877169221502
81,81,81,81,2019-06-03,39.4625244140625,40.472198486328125,39.8989143371582,-0.024947349292297583,-0.010937388406312865
82,82,82,82,2019-06-04,39.8989143371582,40.05292892456055,40.31818389892578,-0.0038452765262791955,-0.010399019033661139
83,83,83,83,2019-06-05,39.8989143371582,39.24006652832031,40.08715057373047,0.01679018072923988,-0.004695675144733791
84,84,84,84,2019-06-06,39.48820877075195,38.82935333251953,39.62510681152344,0.01696797349649981,-0.0034548308329523936
85,85,85,85,2019-06-07,40.0015869140625,39.25717544555664,40.583438873291016,0.01896243069087422,-0.014337177316224081
86,86,86,86,2019-06-10,39.368408203125,38.82080078125,40.84867858886719,0.01410603106722852,-0.03623790136862881
87,87,87,87,2019-06-11,40.10426712036133,39.4625244140625,40.472198486328125,0.016262079424147036,-0.009090965643763771
88,88,88,88,2019-06-12,40.75456619262695,39.8989143371582,40.05292892456055,0.02144549218152214,0.017517751807562876
89,89,89,89,2019-06-13,40.49786758422852,39.8989143371582,39.24006652832031,0.01501176803982629,0.032053999067520156
90,90,90,90,2019-06-14,40.694671630859375,39.48820877075195,38.82935333251953,0.03055248383413689,0.048038871066586664
91,91,91,91,2019-06-17,41.25083541870117,40.0015869140625,39.25717544555664,0.0312299736338586,0.050784600535242586
92,92,92,92,2019-06-18,40.89146423339844,39.368408203125,38.82080078125,0.03868726473305917,0.053339019558518386
93,93,93,93,2019-06-19,41.59309387207031,40.10426712036133,39.4625244140625,0.03712389874226352,0.053989689956291276
94,94,94,94,2019-06-20,41.83267593383789,40.75456619262695,39.8989143371582,0.02645371652627193,0.048466521678730556
