,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,IDXX,IDXX_6m,IDXX_12m,IDXX_6m_ret,IDXX_12m_ret
0,0,0,0,2019-02-05,207.97999572753903,,,,
1,1,1,1,2019-02-06,208.8300018310547,,,,
2,2,2,2,2019-02-07,206.8099975585937,,,,
3,3,3,3,2019-02-08,207.7400054931641,,,,
4,4,4,4,2019-02-11,206.63999938964844,,,,
5,5,5,5,2019-02-12,209.5,,,,
6,6,6,6,2019-02-13,210.38999938964844,207.97999572753903,,0.011587670504939362,
7,7,7,7,2019-02-14,206.94000244140625,208.8300018310547,,-0.009050420787610092,
8,8,8,8,2019-02-15,210.259994506836,206.8099975585937,,0.016681964068322452,
9,9,9,9,2019-02-19,211.32000732421875,207.7400054931641,,0.01723308816978175,
10,10,10,10,2019-02-20,211.44000244140625,206.63999938964844,,0.023228818553695074,
11,11,11,11,2019-02-21,205.9900054931641,209.5,,-0.01675415039062489,
12,12,12,12,2019-02-22,209.17999267578125,210.38999938964844,207.97999572753903,-0.005751255845703129,0.005769771001506552
13,13,13,13,2019-02-25,210.1000061035156,206.94000244140625,208.8300018310547,0.015270144123072926,0.0060815221056615965
14,14,14,14,2019-02-26,207.7400054931641,210.259994506836,206.8099975585937,-0.01198510929091634,0.004496919614860095
15,15,15,15,2019-02-27,208.97000122070312,211.32000732421875,207.7400054931641,-0.011120603928004402,0.005920841893784834
16,16,16,16,2019-02-28,211.02999877929688,211.44000244140625,206.63999938964844,-0.0019391016712790865,0.021244673841536832
17,17,17,17,2019-03-01,215.92999267578125,205.9900054931641,209.5,0.048254706138871395,0.03069208914454058
18,18,18,18,2019-03-04,213.4100036621093,209.17999267578125,210.38999938964844,0.02022187175847323,0.014354314754608355
19,19,19,19,2019-03-05,210.8000030517578,210.1000061035156,206.94000244140625,0.003331732165192447,0.018652752318607302
20,20,20,20,2019-03-06,207.8099975585937,207.7400054931641,210.259994506836,0.00033692145748931424,-0.011652225873917454
21,21,21,21,2019-03-07,203.88999938964844,208.97000122070312,211.32000732421875,-0.024309718147962567,-0.03515998332884207
22,22,22,22,2019-03-08,201.7400054931641,211.02999877929688,211.44000244140625,-0.044022145381560684,-0.04587588363715711
23,23,23,23,2019-03-11,204.72000122070312,215.92999267578125,205.9900054931641,-0.05191493463304986,-0.0061653684091149685
24,24,24,24,2019-03-12,205.97000122070312,213.4100036621093,209.17999267578125,-0.03486248214111776,-0.015345595025684222
25,25,25,25,2019-03-13,209.88999938964844,210.8000030517578,210.1000061035156,-0.004316905355480238,-0.0009995559627147266
26,26,26,26,2019-03-14,210.8699951171875,207.8099975585937,207.7400054931641,0.01472497759753355,0.015066860215936728
27,27,27,27,2019-03-15,216.2100067138672,203.88999938964844,208.97000122070312,0.060424774933047765,0.03464614753730877
28,28,28,28,2019-03-18,215.7400054931641,201.7400054931641,211.02999877929688,0.06939625071277389,0.02231913349340031
29,29,29,29,2019-03-19,218.3000030517578,204.72000122070312,215.92999267578125,0.06633451421492742,0.010975827612494493
30,30,30,30,2019-03-20,219.2700042724609,205.97000122070312,213.4100036621093,0.06457252499361021,0.027458884353095847
31,31,31,31,2019-03-21,225.69000244140625,209.88999938964844,210.8000030517578,0.07527754108201234,0.07063566970628776
32,32,32,32,2019-03-22,219.42999267578125,210.8699951171875,207.8099975585937,0.04059372009676698,0.05591643931332624
33,33,33,33,2019-03-25,219.2400054931641,216.2100067138672,203.88999938964844,0.014014146825807261,0.07528572342668305
34,34,34,34,2019-03-26,220.0,215.7400054931641,201.7400054931641,0.01974596457943867,0.09051251120073278
35,35,35,35,2019-03-27,218.83999633789065,218.3000030517578,204.72000122070312,0.0024736293109661744,0.06897223052458434
36,36,36,36,2019-03-28,220.5599975585937,219.2700042724609,205.97000122070312,0.005883127016907741,0.07083554037685791
37,37,37,37,2019-03-29,223.6000061035156,225.69000244140625,209.88999938964844,-0.009260473726270924,0.06531996166437315
38,38,38,38,2019-04-01,225.1199951171875,219.42999267578125,210.8699951171875,0.025930832754542887,0.06757718181802397
39,39,39,39,2019-04-02,224.9199981689453,219.2400054931641,216.2100067138672,0.025907647023655667,0.04028486741876369
40,40,40,40,2019-04-03,227.5800018310547,220.0,215.7400054931641,0.03445455377752138,0.05488085675545129
41,41,41,41,2019-04-04,225.92999267578125,218.83999633789065,218.3000030517578,0.032398082875781054,0.03495185303416792
42,42,42,42,2019-04-05,227.7700042724609,220.5599975585937,219.2700042724609,0.032689548393524115,0.03876499217575624
43,43,43,43,2019-04-08,227.75,223.6000061035156,225.69000244140625,0.018559900640446214,0.009127553441932168
44,44,44,44,2019-04-09,224.77999877929688,225.1199951171875,219.42999267578125,-0.0015102893801753892,0.02438138031303927
45,45,45,45,2019-04-10,224.5200042724609,224.9199981689453,219.2400054931641,-0.0017783829794625339,0.024083190325688397
46,46,46,46,2019-04-11,223.759994506836,227.5800018310547,220.0,-0.016785338313928366,0.017090884121981897
47,47,47,47,2019-04-12,225.32000732421875,225.92999267578125,218.83999633789065,-0.002699886563701459,0.02961072516343366
48,48,48,48,2019-04-15,225.22000122070312,227.7700042724609,220.5599975585937,-0.011195517425145463,0.02112805455971878
49,49,49,49,2019-04-16,222.1699981689453,227.75,223.6000061035156,-0.02450055688717756,-0.006395384148192962
50,50,50,50,2019-04-17,215.52999877929688,224.77999877929688,225.1199951171875,-0.04115134820817501,-0.04259948714417172
51,51,51,51,2019-04-18,218.4900054931641,224.5200042724609,224.9199981689453,-0.026857289615847546,-0.028587910048582854
52,52,52,52,2019-04-22,221.58999633789065,223.759994506836,227.5800018310547,-0.009697882652026313,-0.02632043872471157
53,53,53,53,2019-04-23,224.4499969482422,225.32000732421875,225.92999267578125,-0.0038612211419143394,-0.00655068284653515
54,54,54,54,2019-04-24,224.5800018310547,225.22000122070312,227.7700042724609,-0.0028416632012236986,-0.014005366736483449
55,55,55,55,2019-04-25,227.6699981689453,222.1699981689453,227.75,0.024755817821169535,-0.00035127038882409867
56,56,56,56,2019-04-26,232.47000122070312,215.52999877929688,224.77999877929688,0.07859695883334017,0.03421123980411078
57,57,57,57,2019-04-29,230.67999267578125,218.4900054931641,224.5200042724609,0.05579196702889244,0.027436256396312197
58,58,58,58,2019-04-30,232.0,221.58999633789065,223.759994506836,0.046978671574305686,0.036825195278203715
59,59,59,59,2019-05-01,234.0599975585937,224.4499969482422,225.32000732421875,0.04281577518830426,0.03878923287002545
60,60,60,60,2019-05-02,242.33999633789065,224.5800018310547,225.22000122070312,0.07908092600424999,0.0760145414456812
61,61,61,61,2019-05-03,250.47000122070312,227.6699981689453,222.1699981689453,0.10014496084301272,0.12737994907052008
62,62,62,62,2019-05-06,251.8800048828125,232.47000122070312,215.52999877929688,0.08349465978486337,0.16865404495611824
63,63,63,63,2019-05-07,245.4499969482422,230.67999267578125,218.4900054931641,0.06402811141588716,0.12339233272581707
64,64,64,64,2019-05-08,245.7899932861328,232.0,221.58999633789065,0.05943962623333099,0.10921069248695181
