,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AAPL,AAPL_6m,AAPL_12m,AAPL_6m_ret,AAPL_12m_ret
0,0,0,0,2019-02-05,41.79496383666992,,,,
1,1,1,1,2019-02-06,41.80935287475586,,,,
2,2,2,2,2019-02-07,41.01751327514648,,,,
3,3,3,3,2019-02-08,41.065711975097656,,,,
4,4,4,4,2019-02-11,40.829551696777344,,,,
5,5,5,5,2019-02-12,41.18138885498047,,,,
6,6,6,6,2019-02-13,41.010284423828125,41.79496383666992,,-0.01877449675296372,
7,7,7,7,2019-02-14,41.1596908569336,41.80935287475586,,-0.015538676711126964,
8,8,8,8,2019-02-15,41.068115234375,41.01751327514648,,0.0012336671628307982,
9,9,9,9,2019-02-19,41.19101333618164,41.065711975097656,,0.003051240440198999,
10,10,10,10,2019-02-20,41.45610427856445,40.829551696777344,,0.01534556603609638,
11,11,11,11,2019-02-21,41.22235107421875,41.18138885498047,,0.0009946779449943044,
12,12,12,12,2019-02-22,41.6826286315918,41.010284423828125,41.79496383666992,0.016394526817107957,-0.0026877689263500315
13,13,13,13,2019-02-25,41.98625564575195,41.1596908569336,41.80935287475586,0.020081899829894168,0.00423117696956532
14,14,14,14,2019-02-26,42.01035690307617,41.068115234375,41.01751327514648,0.02294338718306932,0.024205358849271885
15,15,15,15,2019-02-27,42.1404914855957,41.19101333618164,41.065711975097656,0.023050614017792403,0.026172187423654014
16,16,16,16,2019-02-28,41.72599792480469,41.45610427856445,40.829551696777344,0.006510347533542626,0.021955818537632954
17,17,17,17,2019-03-01,42.16458511352539,41.22235107421875,41.18138885498047,0.022857358077665202,0.02387477173261998
18,18,18,18,2019-03-04,42.37666320800781,41.6826286315918,41.010284423828125,0.016650451259928367,0.033317954346734124
19,19,19,19,2019-03-05,42.29954528808594,41.98625564575195,41.1596908569336,0.007461719020083191,0.027693464343897523
20,20,20,20,2019-03-06,42.05614471435547,42.01035690307617,41.068115234375,0.0010899172169600568,0.02405831079273546
21,21,21,21,2019-03-07,41.569366455078125,42.1404914855957,41.19101333618164,-0.01355288014884204,0.009185331659810059
22,22,22,22,2019-03-08,41.66816711425781,41.72599792480469,41.45610427856445,-0.0013859659067014807,0.005115358507118861
23,23,23,23,2019-03-11,43.11164855957031,42.16458511352539,41.22235107421875,0.022461111463447647,0.04583187120865517
24,24,24,24,2019-03-12,43.59601974487305,42.37666320800781,41.6826286315918,0.028774246119378732,0.045903801561858915
25,25,25,25,2019-03-13,43.7888069152832,42.29954528808594,41.98625564575195,0.035207509136433446,0.04293193669708972
26,26,26,26,2019-03-14,44.27558135986328,42.05614471435547,42.01035690307617,0.052773183575959726,0.05392061919429292
27,27,27,27,2019-03-15,44.851539611816406,41.569366455078125,42.1404914855957,0.07895653546428605,0.0643335668533287
28,28,28,28,2019-03-18,45.30940246582031,41.66816711425781,41.72599792480469,0.08738650158472083,0.08587942096611689
29,29,29,29,2019-03-19,44.950340270996094,43.11164855957031,42.16458511352539,0.04264953377705183,0.06606860117253
30,30,30,30,2019-03-20,45.3431396484375,43.59601974487305,42.37666320800781,0.04007521589788987,0.07000259614280147
31,31,31,31,2019-03-21,47.01314926147461,43.7888069152832,42.29954528808594,0.07363393920344619,0.11143391592713647
32,32,32,32,2019-03-22,46.039581298828125,44.27558135986328,42.05614471435547,0.039841372711233225,0.09471711236320113
33,33,33,33,2019-03-25,45.48291778564453,44.851539611816406,41.569366455078125,0.014077068018012673,0.0941450800024961
34,34,34,34,2019-03-26,45.01298904418945,45.30940246582031,41.66816711425781,-0.006541984786810229,0.08027283563397081
35,35,35,35,2019-03-27,45.417850494384766,44.950340270996094,43.11164855957031,0.010400593645568668,0.053493707892608544
36,36,36,36,2019-03-28,45.47809219360352,45.3431396484375,43.59601974487305,0.002976250568715866,0.04317074035071311
37,37,37,37,2019-03-29,45.77450180053711,47.01314926147461,43.7888069152832,-0.026346830203789806,0.04534708810622701
38,38,38,38,2019-04-01,46.08536911010742,46.039581298828125,44.27558135986328,0.000994531444195923,0.040875527653370325
39,39,39,39,2019-04-02,46.75529861450195,45.48291778564453,44.851539611816406,0.0279749165357861,0.04244578935667098
40,40,40,40,2019-04-03,47.07579803466797,45.01298904418945,45.30940246582031,0.04582697204252417,0.03898518790178618
41,41,41,41,2019-04-04,47.15773391723633,45.417850494384766,44.950340270996094,0.0383083612260926,0.04910738457000163
42,42,42,42,2019-04-05,47.473419189453125,45.47809219360352,45.3431396484375,0.04387446569560027,0.046981297667794575
43,43,43,43,2019-04-08,48.220462799072266,45.77450180053711,47.01314926147461,0.053435010810023886,0.025680337449484503
44,44,44,44,2019-04-09,48.07587432861328,46.08536911010742,46.039581298828125,0.0431916952590774,0.044229182202336625
45,45,45,45,2019-04-10,48.34577560424805,46.75529861450195,45.48291778564453,0.034017042706958156,0.06294358317326565
46,46,46,46,2019-04-11,47.94333267211914,47.07579803466797,45.01298904418945,0.018428463747174106,0.06509995648262668
47,47,47,47,2019-04-12,47.92405319213867,47.15773391723633,45.417850494384766,0.016250129326554674,0.05518100637685963
