,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,K,K_6m,K_12m,K_6m_ret,K_12m_ret
53,53,53,53,2019-04-23,45.66170120239258,44.9896354675293,44.114376068115234,0.014938234726270094,0.03507530361277644
54,54,54,54,2019-04-24,45.77110290527344,45.59918212890625,44.38789367675781,0.0037702600867088876,0.031161857748611688
55,55,55,55,2019-04-25,45.27877807617188,45.63043212890625,44.93492889404297,-0.007706568540506997,0.007652158144941357
56,56,56,56,2019-04-26,46.419734954833984,45.39599990844727,44.66922378540039,0.022551217033468518,0.03918830508099691
57,57,57,57,2019-04-29,46.6072883605957,45.67733001708984,44.97400665283203,0.020359297339794802,0.03631612634318904
58,58,58,58,2019-04-30,47.12306213378906,45.60699844360352,44.81770324707031,0.03324190895965806,0.05143857716246192
59,59,59,59,2019-05-01,46.41191864013672,45.66170120239258,44.9896354675293,0.016429905544229406,0.0316135740560497
60,60,60,60,2019-05-02,44.841156005859375,45.77110290527344,45.59918212890625,-0.020317336493696825,-0.01662367804983822
61,61,61,61,2019-05-03,44.130001068115234,45.27877807617188,45.63043212890625,-0.025371201628367146,-0.032882245264570065
62,62,62,62,2019-05-06,44.856781005859375,46.419734954833984,45.39599990844727,-0.03367003173317018,-0.011878114892840186
63,63,63,63,2019-05-07,44.66141128540039,46.6072883605957,45.67733001708984,-0.04175048889650623,-0.022241202174237196
64,64,64,64,2019-05-08,44.73955535888672,47.12306213378906,45.60699844360352,-0.05058047306296076,-0.01901995558399794
65,65,65,65,2019-05-09,45.16154861450195,46.41191864013672,45.66170120239258,-0.02694070967696327,-0.010953437448020797
66,66,66,66,2019-05-10,45.825809478759766,44.841156005859375,45.77110290527344,0.021958699565455486,0.0011952207837233608
67,67,67,67,2019-05-13,45.15373992919922,44.130001068115234,45.27877807617188,0.023198251445854856,-0.0027615176973705413
68,68,68,68,2019-05-14,44.67703628540039,44.856781005859375,46.419734954833984,-0.004007080232429239,-0.03754219344701615
69,69,69,69,2019-05-15,44.83332824707031,44.66141128540039,46.6072883605957,0.003849340106413468,-0.03806186062146433
70,70,70,70,2019-05-16,44.856781005859375,44.73955535888672,47.12306213378906,0.0026201790793920487,-0.04809282388091407
71,71,71,71,2019-05-17,44.55982208251953,45.16154861450195,46.41191864013672,-0.013323868433271602,-0.039905623639000076
72,72,72,72,2019-05-20,44.10655975341797,45.825809478759766,44.841156005859375,-0.037517061780188876,-0.016382188102943118
73,73,73,73,2019-05-21,44.1847038269043,45.15373992919922,44.130001068115234,-0.02146081595487692,0.0012395820862236562
74,74,74,74,2019-05-22,44.41133499145508,44.67703628540039,44.856781005859375,-0.00594715576583893,-0.00993040526795963
75,75,75,75,2019-05-23,44.61452102661133,44.83332824707031,44.66141128540039,-0.00488045900257883,-0.0010499054427416388
76,76,76,76,2019-05-24,44.20034790039063,44.856781005859375,44.73955535888672,-0.014633977087722738,-0.012052141648944303
77,77,77,77,2019-05-28,42.63737106323242,44.55982208251953,45.16154861450195,-0.04314314845618006,-0.055892183255624395
78,78,78,78,2019-05-29,41.261993408203125,44.10655975341797,45.825809478759766,-0.06449304505084208,-0.09959051727546608
79,79,79,79,2019-05-30,40.707130432128906,44.1847038269043,45.15373992919922,-0.07870536845508691,-0.09847710298288848
80,80,80,80,2019-05-31,41.55015182495117,44.41133499145508,44.67703628540039,-0.06442461518111109,-0.06998862772531367
81,81,81,81,2019-06-03,42.53041076660156,44.61452102661133,44.83332824707031,-0.04671372037742272,-0.05136619498284156
82,82,82,82,2019-06-04,43.1628303527832,44.20034790039063,44.856781005859375,-0.023473062925784327,-0.037763535748472465
83,83,83,83,2019-06-05,43.486942291259766,42.63737106323242,44.55982208251953,0.019925506822815242,-0.02407729073228615
84,84,84,84,2019-06-06,44.08774948120117,41.261993408203125,44.10655975341797,0.06848326606625532,-0.0004264733482266525
85,85,85,85,2019-06-07,44.26166534423828,40.707130432128906,44.1847038269043,0.08731971215794387,0.0017418135840738813
86,86,86,86,2019-06-10,43.29721832275391,41.55015182495117,44.41133499145508,0.04204717482533038,-0.025086313413355543
87,87,87,87,2019-06-11,44.00079727172852,42.53041076660156,44.61452102661133,0.03457259120294287,-0.013756143532656862
88,88,88,88,2019-06-12,44.443485260009766,43.1628303527832,44.20034790039063,0.0296703181130471,0.005500801943167266
89,89,89,89,2019-06-13,44.75178909301758,43.486942291259766,42.63737106323242,0.029085668826433597,0.0495907223418961
90,90,90,90,2019-06-14,44.76760482788086,44.08774948120117,41.261993408203125,0.015420504668072876,0.08495981725838764
91,91,91,91,2019-06-17,44.7043571472168,44.26166534423828,40.707130432128906,0.010001697847009439,0.09819475538204481
92,92,92,92,2019-06-18,43.87430953979492,43.29721832275391,41.55015182495117,0.013328597988423896,0.05593620270355015
93,93,93,93,2019-06-19,43.5264778137207,44.00079727172852,42.53041076660156,-0.010779792354184914,0.023420113494444283
94,94,94,94,2019-06-20,43.62923431396485,44.443485260009766,43.1628303527832,-0.01832104168431581,0.01080568529379522
95,95,95,95,2019-06-21,43.94544219970703,44.75178909301758,43.486942291259766,-0.0180182046271834,0.010543392666616969
96,96,96,96,2019-06-24,44.10356140136719,44.76760482788086,44.08774948120117,-0.014833123841821227,0.0003586465708067532
97,97,97,97,2019-06-25,43.10749435424805,44.7043571472168,44.26166534423828,-0.03572051797345144,-0.02607608595415123
98,98,98,98,2019-06-26,42.253719329833984,43.87430953979492,43.29721832275391,-0.03693711028069924,-0.02410083218606085
99,99,99,99,2019-06-27,42.048187255859375,43.5264778137207,44.00079727172852,-0.03396301819292469,-0.044376696263268456
100,100,100,100,2019-06-28,42.34858703613281,43.62923431396485,44.443485260009766,-0.02935296247961261,-0.04713622731478129
101,101,101,101,2019-07-01,42.19839096069336,43.94544219970703,44.75178909301758,-0.03975500419530009,-0.057056895021938114
102,102,102,102,2019-07-02,42.1430549621582,44.10356140136719,44.76760482788086,-0.04445233847142804,-0.058626095271644085
103,103,103,103,2019-07-03,44.799224853515625,43.10749435424805,44.7043571472168,0.03924446374371238,0.0021221131977453567
104,104,104,104,2019-07-05,44.08774948120117,42.253719329833984,43.87430953979492,0.043405176643757315,0.004864804566614422
