,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,PRU,PRU_6m,PRU_12m,PRU_6m_ret,PRU_12m_ret
0,0,0,0,2019-02-05,72.25599670410156,,,,
1,1,1,1,2019-02-06,72.58235931396484,,,,
2,2,2,2,2019-02-07,70.92729187011719,,,,
3,3,3,3,2019-02-08,70.70195007324219,,,,
4,4,4,4,2019-02-11,71.09822845458984,,,,
5,5,5,5,2019-02-12,72.54351043701172,,,,
6,6,6,6,2019-02-13,72.9397964477539,72.25599670410156,,0.009463570843159186,
7,7,7,7,2019-02-14,71.23808288574219,72.58235931396484,,-0.018520704492503537,
8,8,8,8,2019-02-15,73.1573486328125,70.92729187011719,,0.031441448050476994,
9,9,9,9,2019-02-19,73.78567504882812,70.70195007324219,,0.04361584047386846,
10,10,10,10,2019-02-20,74.62599182128906,71.09822845458984,,0.04961816128727303,
11,11,11,11,2019-02-21,74.20975494384766,72.54351043701172,,0.022968898207410327,
12,12,12,12,2019-02-22,74.6181411743164,72.9397964477539,72.25599670410156,0.02301000014120791,0.032691327750804744
13,13,13,13,2019-02-25,75.05010223388672,71.23808288574219,72.58235931396484,0.05351097606400468,0.03399921059671418
14,14,14,14,2019-02-26,75.05795288085938,73.1573486328125,70.92729187011719,0.02597967645856447,0.05823796315678176
15,15,15,15,2019-02-27,75.45063781738281,73.78567504882812,70.70195007324219,0.02256485106970807,0.06716487648814962
16,16,16,16,2019-02-28,75.27786254882812,74.62599182128906,71.09822845458984,0.008735170034324335,0.058786754397232244
17,17,17,17,2019-03-01,75.86688995361328,74.20975494384766,72.54351043701172,0.02233042018558784,0.04581222354116976
18,18,18,18,2019-03-04,75.968994140625,74.6181411743164,72.9397964477539,0.01810354620269683,0.0415301089445852
19,19,19,19,2019-03-05,76.07109069824219,75.05010223388672,71.23808288574219,0.013604091586360001,0.06784303586961471
20,20,20,20,2019-03-06,75.00296783447266,75.05795288085938,73.1573486328125,-0.0007325678928919999,0.025228076688831313
21,21,21,21,2019-03-07,73.91130828857422,75.45063781738281,73.78567504882812,-0.02040180935957514,0.001702677920381701
22,22,22,22,2019-03-08,73.27517700195312,75.27786254882812,74.62599182128906,-0.02660391088516867,-0.018101130536004262
23,23,23,23,2019-03-11,74.26473999023438,75.86688995361328,74.20975494384766,-0.02111790748715936,0.0007409409507999065
24,24,24,24,2019-03-12,74.4061050415039,75.968994140625,74.6181411743164,-0.020572723343263655,-0.0028416163881268552
25,25,25,25,2019-03-13,74.71238708496094,76.07109069824219,75.05010223388672,-0.017860971898916778,-0.004499862610091054
26,26,26,26,2019-03-14,74.82234191894531,75.00296783447266,75.05795288085938,-0.0024082502431900243,-0.0031390539292758257
27,27,27,27,2019-03-15,75.37996673583984,73.91130828857422,75.45063781738281,0.019870551357736632,-0.000936653202508575
