,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,AIG,AIG_6m,AIG_12m,AIG_6m_ret,AIG_12m_ret
0,0,0,0,2019-02-05,37.997676849365234,,,,
1,1,1,1,2019-02-06,37.98896408081055,,,,
2,2,2,2,2019-02-07,37.27531433105469,,,,
3,3,3,3,2019-02-08,36.9445915222168,,,,
4,4,4,4,2019-02-11,37.466773986816406,,,,
5,5,5,5,2019-02-12,38.14561080932617,,,,
6,6,6,6,2019-02-13,38.45022201538086,37.997676849365234,,0.011909811428989725,
7,7,7,7,2019-02-14,34.97769927978516,37.98896408081055,,-0.07926683114127009,
8,8,8,8,2019-02-15,36.831451416015625,37.27531433105469,,-0.011907690733254928,
9,9,9,9,2019-02-19,37.4145622253418,36.9445915222168,,0.01272096087034491,
10,10,10,10,2019-02-20,37.6756477355957,37.466773986816406,,0.005574906151589065,
11,11,11,11,2019-02-21,37.43197250366211,38.14561080932617,,-0.018708267885163554,
12,12,12,12,2019-02-22,37.31012725830078,38.45022201538086,37.997676849365234,-0.02965118788193255,-0.018094516509262304
13,13,13,13,2019-02-25,38.14561080932617,34.97769927978516,37.98896408081055,0.09056946553862844,0.00412347986595285
14,14,14,14,2019-02-26,38.171722412109375,36.831451416015625,37.27531433105469,0.036389307088532385,0.024048303740469734
15,15,15,15,2019-02-27,37.832305908203125,37.4145622253418,36.9445915222168,0.011165269831177715,0.024028263662151828
16,16,16,16,2019-02-28,37.59732055664063,37.6756477355957,37.466773986816406,-0.002078986922926074,0.0034843290716772835
17,17,17,17,2019-03-01,37.62343978881836,37.43197250366211,38.14561080932617,0.005115073354403643,-0.013688888693326406
18,18,18,18,2019-03-04,37.86711883544922,37.31012725830078,38.45022201538086,0.01492869679302733,-0.015165144682347642
19,19,19,19,2019-03-05,37.57122039794922,38.14561080932617,34.97769927978516,-0.015057837564801058,0.07414784767341587
20,20,20,20,2019-03-06,36.98810958862305,38.171722412109375,36.831451416015625,-0.031007582280616286,0.004253380374233728
21,21,21,21,2019-03-07,36.38759231567383,37.832305908203125,37.4145622253418,-0.03818729939525156,-0.027448401065945816
22,22,22,22,2019-03-08,36.727012634277344,37.59732055664063,37.6756477355957,-0.023148136874598935,-0.025178999123672496
23,23,23,23,2019-03-11,37.26660919189453,37.62343978881836,37.43197250366211,-0.009484262973474267,-0.004417702319892469
24,24,24,24,2019-03-12,37.466773986816406,37.86711883544922,37.31012725830078,-0.010572360954433924,0.004198504267518333
