,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ADSK,ADSK_6m,ADSK_12m,ADSK_6m_ret,ADSK_12m_ret
0,0,0,0,2019-02-05,152.4199981689453,,,,
1,1,1,1,2019-02-06,152.27999877929688,,,,
2,2,2,2,2019-02-07,150.55999755859375,,,,
3,3,3,3,2019-02-08,154.30999755859375,,,,
4,4,4,4,2019-02-11,154.57000732421875,,,,
5,5,5,5,2019-02-12,159.5399932861328,,,,
6,6,6,6,2019-02-13,160.02999877929688,152.4199981689453,,0.04992783559750791,
7,7,7,7,2019-02-14,159.94000244140625,152.27999877929688,,0.05030209957652554,
8,8,8,8,2019-02-15,160.35000610351562,150.55999755859375,,0.06502396854192205,
9,9,9,9,2019-02-19,160.67999267578125,154.30999755859375,,0.04128050818462836,
10,10,10,10,2019-02-20,159.8000030517578,154.57000732421875,,0.033835773304770944,
11,11,11,11,2019-02-21,159.8300018310547,159.5399932861328,,0.0018177795983842504,
12,12,12,12,2019-02-22,161.50999450683594,160.02999877929688,152.4199981689453,0.009248239322804608,0.05963781949278801
13,13,13,13,2019-02-25,163.94000244140625,159.94000244140625,152.27999877929688,0.025009378135187887,0.07656950194101664
14,14,14,14,2019-02-26,163.30999755859375,160.35000610351562,150.55999755859375,0.018459565590332794,0.08468384834449849
15,15,15,15,2019-02-27,164.27999877929688,160.67999267578125,154.30999755859375,0.02240481869313804,0.06461020917920357
16,16,16,16,2019-02-28,163.00999450683594,159.8000030517578,154.57000732421875,0.02008755565566811,0.05460300693985132
17,17,17,17,2019-03-01,159.77000427246094,159.8300018310547,159.5399932861328,-0.0003753835819708673,0.0014417136517963502
18,18,18,18,2019-03-04,157.7899932861328,161.50999450683594,160.02999877929688,-0.023032637899976338,-0.013997409924706217
19,19,19,19,2019-03-05,154.7100067138672,163.94000244140625,159.94000244140625,-0.05630105886351899,-0.03269973519886038
20,20,20,20,2019-03-06,153.50999450683594,163.30999755859375,160.35000610351562,-0.06000859223723698,-0.04265675919129086
21,21,21,21,2019-03-07,152.77000427246094,164.27999877929688,160.67999267578125,-0.07006327363259313,-0.04922820988224108
22,22,22,22,2019-03-08,152.3699951171875,163.00999450683594,159.8000030517578,-0.06527206765350968,-0.04649566828959195
23,23,23,23,2019-03-11,154.0399932861328,159.77000427246094,159.8300018310547,-0.03586412238280068,-0.03622604316204725
24,24,24,24,2019-03-12,154.80999755859375,157.7899932861328,161.50999450683594,-0.018885834681133473,-0.0414834819894605
25,25,25,25,2019-03-13,153.3800048828125,154.7100067138672,163.94000244140625,-0.008596740826949167,-0.06441379407913572
26,26,26,26,2019-03-14,153.14999389648438,153.50999450683594,163.30999755859375,-0.002345128156040266,-0.062212992554017243
27,27,27,27,2019-03-15,153.27999877929688,152.77000427246094,164.27999877929688,0.0033383157201880564,-0.06695885124018064
28,28,28,28,2019-03-18,153.85000610351562,152.3699951171875,163.00999450683594,0.009713270550345987,-0.05619280235566282
