,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ALL,ALL_6m,ALL_12m,ALL_6m_ret,ALL_12m_ret
0,0,0,0,2019-02-05,78.56710052490234,,,,
1,1,1,1,2019-02-06,81.74653625488281,,,,
2,2,2,2,2019-02-07,81.54341125488281,,,,
3,3,3,3,2019-02-08,81.6582260131836,,,,
4,4,4,4,2019-02-11,81.72003173828125,,,,
5,5,5,5,2019-02-12,82.0556411743164,,,,
6,6,6,6,2019-02-13,83.0182876586914,78.56710052490234,,0.05665459338642931,
7,7,7,7,2019-02-14,82.3382568359375,81.74653625488281,,0.007238478939459059,
8,8,8,8,2019-02-15,83.35391998291016,81.54341125488281,,0.022203004512138635,
9,9,9,9,2019-02-19,83.56587219238281,81.6582260131836,,0.023361347317185643,
10,10,10,10,2019-02-20,83.95446014404297,81.72003173828125,,0.027342480885442555,
11,11,11,11,2019-02-21,83.57469177246094,82.0556411743164,,0.018512445657666632,
12,12,12,12,2019-02-22,83.52171325683594,83.0182876586914,78.56710052490234,0.00606403254442256,0.06306218122893825
13,13,13,13,2019-02-25,83.81314086914062,82.3382568359375,81.74653625488281,0.01791250009265921,0.025280638286791834
14,14,14,14,2019-02-26,83.0977783203125,83.35391998291016,81.54341125488281,-0.003072940812503755,0.019061835180909315
15,15,15,15,2019-02-27,83.4440689086914,83.56587219238281,81.6582260131836,-0.0014575720984637552,0.02186972437068979
16,16,16,16,2019-02-28,83.7992172241211,83.95446014404297,81.72003173828125,-0.0018491324898703976,0.025442788525813276
17,17,17,17,2019-03-01,84.35858154296875,83.57469177246094,82.0556411743164,0.009379511355447345,0.02806559470737735
18,18,18,18,2019-03-04,83.639404296875,83.52171325683594,83.0182876586914,0.0014091071105923891,0.007481684526392085
19,19,19,19,2019-03-05,83.46182250976562,83.81314086914062,82.3382568359375,-0.0041916858828082715,0.01364573063608665
20,20,20,20,2019-03-06,83.04451751708984,83.0977783203125,83.35391998291016,-0.0006409413620825921,-0.0037119125997163716
21,21,21,21,2019-03-07,82.7870101928711,83.4440689086914,83.56587219238281,-0.007874241086437195,-0.009320335910796729
22,22,22,22,2019-03-08,82.8403091430664,83.7992172241211,83.95446014404297,-0.011442924084721251,-0.013270897091887446
23,23,23,23,2019-03-11,83.55950164794922,84.35858154296875,83.57469177246094,-0.009472419763394302,-0.0001817550766812781
24,24,24,24,2019-03-12,83.52398681640625,83.639404296875,83.52171325683594,-0.0013799414455306636,2.722117975872962e-05
25,25,25,25,2019-03-13,83.06227111816406,83.46182250976562,83.81314086914062,-0.0047872354040053855,-0.008958854699752994
26,26,26,26,2019-03-14,83.32865142822266,83.04451751708984,83.0977783203125,0.003421465012116487,0.0027783306915887263
27,27,27,27,2019-03-15,84.20765686035156,82.7870101928711,83.4440689086914,0.017160260579174746,0.009150895463831077
28,28,28,28,2019-03-18,84.36747741699219,82.8403091430664,83.7992172241211,0.018435086610895324,0.0067812112295904114
29,29,29,29,2019-03-19,83.64827728271484,83.55950164794922,84.35858154296875,0.0010624241769614517,-0.008420059314203976
30,30,30,30,2019-03-20,82.60943603515625,83.52398681640625,83.639404296875,-0.010949558517366675,-0.01231439021328884
31,31,31,31,2019-03-21,83.98566436767578,83.06227111816406,83.46182250976562,0.011116879385564937,0.0062764248629829655
32,32,32,32,2019-03-22,83.61275482177734,83.32865142822266,83.04451751708984,0.0034094322743170036,0.006842562539671082
33,33,33,33,2019-03-25,83.45293426513672,84.20765686035156,82.7870101928711,-0.008962636218063369,0.008043823188133015
34,34,34,34,2019-03-26,83.55061340332031,84.36747741699219,82.8403091430664,-0.0096822145058868,0.008574379642007468
35,35,35,35,2019-03-27,83.59500122070312,83.64827728271484,83.55950164794922,-0.0006369056690989083,0.0004248418438812518
36,36,36,36,2019-03-28,83.40855407714844,82.60943603515625,83.52398681640625,0.009673447493965481,-0.0013820310028009875
37,37,37,37,2019-03-29,83.62164306640625,83.98566436767578,83.06227111816406,-0.0043343266259811,0.006734368573265037
38,38,38,38,2019-04-01,84.42962646484375,83.61275482177734,83.32865142822266,0.009769701342906112,0.013212442752292164
39,39,39,39,2019-04-02,84.18102264404297,83.45293426513672,84.20765686035156,0.008724538990960484,-0.0003162920962491711
40,40,40,40,2019-04-03,84.91797637939453,83.55061340332031,84.36747741699219,0.01636568446809128,0.006525013894648879
41,41,41,41,2019-04-04,85.29977416992188,83.59500122070312,83.64827728271484,0.0203932403172995,0.019743346077831347
42,42,42,42,2019-04-05,85.51285552978516,83.40855407714844,82.60943603515625,0.025228844642125603,0.035146342040070166
43,43,43,43,2019-04-08,84.2342758178711,83.62164306640625,83.98566436767578,0.007326246280264348,0.002960165309962015
